Loading gene coordinates...
Loading synonymous sites...
Loading non-synonymous sites...
Loading polymorphic sites...
Loading divergent sites...
Computing...
Group_5906_0 trappc1  have too few sites, skip
Group_3112_3 unknown  have too few sites, skip
Group_772_1 eno3  have too few sites, skip
Group_1803_1 pfn1  have too few sites, skip
Group_249_7 slc25a11  have too few sites, skip
Group_5098_1 mrps7  have too few sites, skip
Group_4759_0 wdr55  have too few sites, skip
Group_73_8 npy2rl  have too few sites, skip
Group_2663_0 hacd1  have too few sites, skip
Group_2749_0 rnf175  have too few sites, skip
Group_877_1 zgc:92360  have too few sites, skip
Group_705_2 sh3gl2  have too few sites, skip
Group_745_1 loc107376860  have too few sites, skip
Group_2894_0 si:ch211-149b19.3  have too few sites, skip
Group_19_40 cdkl2  have too few sites, skip
Group_12_46 txk  have too few sites, skip
Group_2757_1 otud4  have too few sites, skip
Group_7856_0 unknown  have too few sites, skip
Group_3795_1 si:dkey-9k7.3  have too few sites, skip
Group_3900_0 epoa  have too few sites, skip
Group_5011_0 pop7  have too few sites, skip
Group_1096_0 kdm6ba  have too few sites, skip
Group_2903_1 tmem88b  have too few sites, skip
Group_106_1 cabp4  have too few sites, skip
Group_4042_0 nagk  have too few sites, skip
Group_866_1 znf219  have too few sites, skip
Group_6429_0 tnip2  have too few sites, skip
Group_1030_1 lpcat4  have too few sites, skip
Group_4594_0 supt16h  have too few sites, skip
Group_1124_1 si:cabz01101003.1  have too few sites, skip
Group_288_7 fam19a4a  have too few sites, skip
Group_488_2 lmod3  have too few sites, skip
Group_145_5 gpr185b  have too few sites, skip
Group_352_9 rasal2  have too few sites, skip
Group_386_2 ccnb3  have too few sites, skip
Group_5962_0 tnfsf10l  have too few sites, skip
Group_8168_0 zgc:194626  have too few sites, skip
Group_5816_0 rps4x  have too few sites, skip
Group_514_6 irs4a  have too few sites, skip
Group_5035_0 ankrd46b  have too few sites, skip
Group_4555_0 loc107394437  have too few sites, skip
Group_5943_0 vps52  have too few sites, skip
Group_7045_0 rps18  have too few sites, skip
Group_1173_1 pacs1a  have too few sites, skip
Group_592_4 rbm14b  have too few sites, skip
Group_4385_0 pfdn2  have too few sites, skip
Group_6924_0 trmt10b  have too few sites, skip
Group_235_2 f13a1b  have too few sites, skip
Group_5559_0 tex261  have too few sites, skip
Group_2269_0 vax2  have too few sites, skip
Group_3238_1 si:ch211-74f19.2  have too few sites, skip
Group_754_1 fam117ba  have too few sites, skip
Group_1175_2 ddit4l  have too few sites, skip
Group_8964_0 loc107377100  have too few sites, skip
Group_147_19 ppp3ca  have too few sites, skip
Group_361_5 gata6  have too few sites, skip
Group_1998_0 mib1  have too few sites, skip
Group_2551_1 greb1l  have too few sites, skip
Group_6_79 rock1  have too few sites, skip
Group_360_4 aqp1a.1  have too few sites, skip
Group_89_7 kcnj6  have too few sites, skip
Group_9019_0 si:dkey-183i3.6  have too few sites, skip
Group_4_69 rab24  have too few sites, skip
Group_2933_1 pcbd2  have too few sites, skip
Group_1063_2 endou2  have too few sites, skip
Group_97_7 fgf1b  have too few sites, skip
Group_2896_1 yipf5  have too few sites, skip
Group_609_4 kctd16b  have too few sites, skip
Group_4205_0 grxcr2  have too few sites, skip
Group_630_0 cpeb4  have too few sites, skip
Group_290_5 slc7a3a  have too few sites, skip
Group_4_88 rab38c  have too few sites, skip
Group_629_3 loc107386738  have too few sites, skip
Group_2_95 f9b  have too few sites, skip
Group_97_28 loc107386761  have too few sites, skip
Group_24_20 adrb2b  have too few sites, skip
Group_1635_2 ubtd2  have too few sites, skip
Group_7089_0 rpl34  have too few sites, skip
Group_68_20 adamtsl1  have too few sites, skip
Group_6650_0 cdca9  have too few sites, skip
Group_654_1 nfib  have too few sites, skip
Group_452_4 gba3  have too few sites, skip
Group_2293_1 ppargc1a  have too few sites, skip
Group_1990_1 lurap1l  have too few sites, skip
