Loading gene coordinates...
Loading synonymous sites...
Loading non-synonymous sites...
Loading polymorphic sites...
Loading divergent sites...
Computing...
Group_5906_0 trappc1  have too few sites, skip
Group_3112_3 unknown  have too few sites, skip
Group_1122_1 camta2  have too few sites, skip
Group_1803_1 pfn1  have too few sites, skip
Group_249_7 slc25a11  have too few sites, skip
Group_766_0-Group_766_4 psip1  have too few sites, skip
Group_2749_0 rnf175  have too few sites, skip
Group_877_1 zgc:92360  have too few sites, skip
Group_705_2 sh3gl2  have too few sites, skip
Group_745_1 loc107376860  have too few sites, skip
Group_1040_2 arfip1  have too few sites, skip
Group_19_40 cdkl2  have too few sites, skip
Group_12_46 txk  have too few sites, skip
Group_2107_0 ifitm5  have too few sites, skip
Group_3795_1 si:dkey-9k7.3  have too few sites, skip
Group_5011_0 pop7  have too few sites, skip
Group_1096_0 kdm6ba  have too few sites, skip
Group_2903_1 tmem88b  have too few sites, skip
Group_64_24 styx  have too few sites, skip
Group_4042_0 nagk  have too few sites, skip
Group_866_1 znf219  have too few sites, skip
Group_5_27 btr12  have too few sites, skip
Group_6429_0 tnip2  have too few sites, skip
Group_115_11 sfrp2  have too few sites, skip
Group_67_19 plrg1  have too few sites, skip
Group_32_12 fgg  have too few sites, skip
Group_4_51 rab39b  have too few sites, skip
Group_1030_1 lpcat4  have too few sites, skip
Group_10_22 lpar4  have too few sites, skip
Group_1124_1 si:cabz01101003.1  have too few sites, skip
Group_131_1 slc16a7  have too few sites, skip
Group_288_2 fam19a1  have too few sites, skip
Group_288_7 fam19a4a  have too few sites, skip
Group_1780_0 uba3  have too few sites, skip
Group_488_2 lmod3  have too few sites, skip
Group_544_0 mitf  have too few sites, skip
Group_5816_0 rps4x  have too few sites, skip
Group_514_6 irs4a  have too few sites, skip
Group_7045_0 rps18  have too few sites, skip
Group_795_0 pnp5a  have too few sites, skip
Group_102_5 actn3a  have too few sites, skip
Group_592_4 rbm14b  have too few sites, skip
Group_4385_0 pfdn2  have too few sites, skip
Group_6924_0 trmt10b  have too few sites, skip
Group_235_2 f13a1b  have too few sites, skip
Group_5559_0 tex261  have too few sites, skip
Group_2269_0 vax2  have too few sites, skip
Group_3238_1 si:ch211-74f19.2  have too few sites, skip
Group_754_1 fam117ba  have too few sites, skip
Group_147_19 ppp3ca  have too few sites, skip
Group_85_0 mmp16b  have too few sites, skip
Group_1998_0 mib1  have too few sites, skip
Group_2626_1 abhd3  have too few sites, skip
Group_6_79 rock1  have too few sites, skip
Group_360_4 aqp1a.1  have too few sites, skip
Group_89_7 kcnj6  have too few sites, skip
Group_9019_0 si:dkey-183i3.6  have too few sites, skip
Group_2634_1 pgrmc1  have too few sites, skip
Group_167_4 h2afy  have too few sites, skip
Group_1063_2 endou2  have too few sites, skip
Group_97_7 fgf1b  have too few sites, skip
Group_609_4 kctd16b  have too few sites, skip
Group_4205_0 grxcr2  have too few sites, skip
Group_630_0 cpeb4  have too few sites, skip
Group_423_5 fhl1b  have too few sites, skip
Group_290_5 slc7a3a  have too few sites, skip
Group_4_88 rab38c  have too few sites, skip
Group_629_3 loc107386738  have too few sites, skip
Group_2_95 f9b  have too few sites, skip
Group_97_28 loc107386761  have too few sites, skip
Group_1635_2 ubtd2  have too few sites, skip
Group_5055_0 ublcp1  have too few sites, skip
Group_7089_0 rpl34  have too few sites, skip
Group_6027_0 ostc  have too few sites, skip
Group_256_10 slc24a2  have too few sites, skip
Group_68_20 adamtsl1  have too few sites, skip
Group_626_2 zdhhc21  have too few sites, skip
Group_452_4 gba3  have too few sites, skip
Group_2293_1 ppargc1a  have too few sites, skip
Group_1990_1 lurap1l  have too few sites, skip
Group_1490_2 si:dkey-33c12.4  have too few sites, skip
Group_2438_1 rbpms  have too few sites, skip
Group_783_4 filip1l  have too few sites, skip
Group_3012_1 ect2l  have too few sites, skip
Group_2695_0 ccdc28a  have too few sites, skip
Group_123_14 atp1a1a.4  have too few sites, skip
Group_294_7 ctdsp1  have too few sites, skip
Group_38_28 si:dkey-91f15.8  have too few sites, skip
Group_903_4 creb1a  have too few sites, skip
Group_557_4 osbpl11  have too few sites, skip
Group_1469_0 zgc:172295  have too few sites, skip
Group_5786_0 nelfa  have too few sites, skip
Group_9143_0 si:dkeyp-75h12.7  have too few sites, skip
Group_4175_0 msmp  have too few sites, skip
Group_454_1 tm4sf5  have too few sites, skip
Group_6231_0 tbc1d19  have too few sites, skip
Group_1182_1 stim2b  have too few sites, skip
Group_1825_0 nat8l  have too few sites, skip
Group_4668_0 poln  have too few sites, skip
Group_2350_0 gmpr2  have too few sites, skip
Group_7577_0 mrpl52  have too few sites, skip
Group_5896_0 zgc:194312  have too few sites, skip
Group_8013_0 si:ch73-335l21.4  have too few sites, skip
Group_514_3 si:ch73-335l21.1  have too few sites, skip
Group_131_12 slc16a13  have too few sites, skip
Group_767_3 loc107397291  have too few sites, skip
Group_65_13 si:dkey-93n13.3  have too few sites, skip
Group_5_46 si:dkey-219e21.2  have too few sites, skip
Group_100_4 slc2a4  have too few sites, skip
Group_3993_0 gps2  have too few sites, skip
Group_349_6 gabarap  have too few sites, skip
Group_4653_0 phf23b  have too few sites, skip
Group_1232_0 eif4ebp3  have too few sites, skip
Group_2844_0 dok7  have too few sites, skip
Group_7094_0 msantd1  have too few sites, skip
Group_185_10 osbp  have too few sites, skip
Group_5577_0 sec63  have too few sites, skip
Group_847_3 si:ch73-217b7.1  have too few sites, skip
Group_6_22 sgk1  have too few sites, skip
Group_1280_1 tbpl1  have too few sites, skip
Group_2648_1 tcf21  have too few sites, skip
Group_1008_2 eya4  have too few sites, skip
Group_4783_0 rps12  have too few sites, skip
Group_3881_0 tnip1  have too few sites, skip
Group_3242_1 batf  have too few sites, skip
Group_794_1 tgfb3  have too few sites, skip
Group_1531_0 jdp2b  have too few sites, skip
Group_4818_1 eif2b2  have too few sites, skip
Group_3232_0 pdgfrl  have too few sites, skip
Group_7510_0 sybl1  have too few sites, skip
Group_8264_0 polr1d  have too few sites, skip
Group_511_1 ppp2r2ba  have too few sites, skip
Group_6425_0 rpl26  have too few sites, skip
Group_2883_1 bnip1a  have too few sites, skip
Group_119_15 nkx2.5  have too few sites, skip
Group_3017_1 stc2  have too few sites, skip
Group_1275_0 sesn1  have too few sites, skip
Group_1857_1 dynlt1  have too few sites, skip
Group_110_15 sox7  have too few sites, skip
Group_9627_0 unknown  have too few sites, skip
Group_1184_2 fndc4a  have too few sites, skip
Group_4_94 rab32a  have too few sites, skip
Group_354_4 unknown  have too few sites, skip
Group_361_4 gata4  have too few sites, skip
Group_9273_0 loc107377585  have too few sites, skip
Group_4488_0 fdft1  have too few sites, skip
Group_1549_1 ctsbb  have too few sites, skip
Group_2626_0 abhd1  have too few sites, skip
Group_195_10 si:dkey-121b10.7  have too few sites, skip
Group_8160_0 si:ch211-225h24.2  have too few sites, skip
Group_2557_0 fbxo25  have too few sites, skip
Group_7290_0 tmem18  have too few sites, skip
Group_26_30 pdgfra  have too few sites, skip
Group_972_3 rbm24a  have too few sites, skip
Group_6617_0 vps28  have too few sites, skip
Group_19_10 mapk15  have too few sites, skip
Group_213_5 fam83hb  have too few sites, skip
Group_6118_0 snrpd1  have too few sites, skip
Group_1736_0 atp6v1c1b  have too few sites, skip
Group_1659_2 tmem55a  have too few sites, skip
Group_6674_0 gatad1  have too few sites, skip
Group_4597_0 fam91a1  have too few sites, skip
Group_536_1 stmn2  have too few sites, skip
Group_177_17 fabp11a  have too few sites, skip
Group_2847_1 fam8a1a  have too few sites, skip
Group_8233_0 ccdc167  have too few sites, skip
Group_2996_1 mettl24  have too few sites, skip
Group_5675_0 sod2  have too few sites, skip
Group_1595_2 smek1  have too few sites, skip
Group_3102_1 efhc1  have too few sites, skip
Group_1497_1 tram2  have too few sites, skip
Group_2895_1 prep  have too few sites, skip
Group_9628_0 unknown  have too few sites, skip
Group_44_6 grik2  have too few sites, skip
