Loading gene coordinates...
Loading synonymous sites...
Loading non-synonymous sites...
Loading polymorphic sites...
Loading divergent sites...
Computing...
Group_5906_0 trappc1  have too few sites, skip
Group_6023_0 ift46  have too few sites, skip
Group_772_1 eno3  have too few sites, skip
Group_1803_1 pfn1  have too few sites, skip
Group_249_7 slc25a11  have too few sites, skip
Group_5098_1 mrps7  have too few sites, skip
Group_407_3 rbm46  have too few sites, skip
Group_73_8 npy2rl  have too few sites, skip
Group_2663_0 hacd1  have too few sites, skip
Group_3109_1 tmem236  have too few sites, skip
Group_2749_0 rnf175  have too few sites, skip
Group_634_3 trim2b  have too few sites, skip
Group_877_1 zgc:92360  have too few sites, skip
Group_1160_2 lgals2b  have too few sites, skip
Group_1056_3 gtpbp1  have too few sites, skip
Group_705_2 sh3gl2  have too few sites, skip
Group_745_1 loc107376860  have too few sites, skip
Group_2477_1 ifi30  have too few sites, skip
Group_2894_0 si:ch211-149b19.3  have too few sites, skip
Group_12_46 txk  have too few sites, skip
Group_7856_0 unknown  have too few sites, skip
Group_2107_0 ifitm5  have too few sites, skip
Group_2384_1 glg1  have too few sites, skip
Group_6995_0 pih1d1  have too few sites, skip
Group_3900_0 epoa  have too few sites, skip
Group_5011_0 pop7  have too few sites, skip
Group_2903_1 tmem88b  have too few sites, skip
Group_106_1 cabp4  have too few sites, skip
Group_1941_0 dctn1a  have too few sites, skip
Group_6173_0 mrpl48  have too few sites, skip
Group_6702_0 gnpnat1  have too few sites, skip
Group_1040_3 arfip1  have too few sites, skip
Group_6429_0 tnip2  have too few sites, skip
Group_32_12 fgg  have too few sites, skip
Group_4_51 rab39b  have too few sites, skip
Group_3398_0 ripk3  have too few sites, skip
Group_4594_0 supt16h  have too few sites, skip
Group_1124_1 si:cabz01101003.1  have too few sites, skip
Group_288_2 fam19a1  have too few sites, skip
Group_288_7 fam19a4a  have too few sites, skip
Group_1780_0 uba3  have too few sites, skip
Group_145_5 gpr185b  have too few sites, skip
Group_584_4 loc107376887  have too few sites, skip
Group_352_9 rasal2  have too few sites, skip
Group_386_2 ccnb3  have too few sites, skip
Group_5962_0 tnfsf10l  have too few sites, skip
Group_8168_0 zgc:194626  have too few sites, skip
Group_1313_0 hdac8  have too few sites, skip
Group_5816_0 rps4x  have too few sites, skip
Group_1486_1 arhgap6  have too few sites, skip
Group_5035_0 ankrd46b  have too few sites, skip
Group_4555_0 loc107394437  have too few sites, skip
Group_5943_0 vps52  have too few sites, skip
Group_7045_0 rps18  have too few sites, skip
Group_795_0 pnp5a  have too few sites, skip
Group_5945_0 sf3b2  have too few sites, skip
Group_1173_1 pacs1a  have too few sites, skip
Group_932_4 klc2  have too few sites, skip
Group_102_5 actn3a  have too few sites, skip
Group_592_4 rbm14b  have too few sites, skip
Group_4385_0 pfdn2  have too few sites, skip
Group_8157_1 loc107377054  have too few sites, skip
Group_5559_0 tex261  have too few sites, skip
Group_2269_0 vax2  have too few sites, skip
Group_3238_1 si:ch211-74f19.2  have too few sites, skip
Group_754_1 fam117ba  have too few sites, skip
Group_1175_2 ddit4l  have too few sites, skip
Group_8964_0 loc107377100  have too few sites, skip
Group_147_19 ppp3ca  have too few sites, skip
Group_361_5 gata6  have too few sites, skip
Group_1998_0 mib1  have too few sites, skip
Group_2551_1 greb1l  have too few sites, skip
Group_6_79 rock1  have too few sites, skip
Group_360_4 aqp1a.1  have too few sites, skip
Group_89_7 kcnj6  have too few sites, skip
Group_2634_1 pgrmc1  have too few sites, skip
Group_4_69 rab24  have too few sites, skip
Group_26_49 fgfr4  have too few sites, skip
Group_167_4 h2afy  have too few sites, skip
Group_2933_1 pcbd2  have too few sites, skip
Group_1063_2 endou2  have too few sites, skip
Group_1330_3 spry4  have too few sites, skip
Group_97_7 fgf1b  have too few sites, skip
Group_2896_1 yipf5  have too few sites, skip
Group_609_4 kctd16b  have too few sites, skip
Group_24_29 drd1b  have too few sites, skip
Group_630_0 cpeb4  have too few sites, skip
Group_290_5 slc7a3a  have too few sites, skip
Group_4_88 rab38c  have too few sites, skip
Group_629_3 loc107386738  have too few sites, skip
Group_592_3 rbm14a  have too few sites, skip
Group_97_28 loc107386761  have too few sites, skip
Group_24_20 adrb2b  have too few sites, skip
Group_1635_2 ubtd2  have too few sites, skip
Group_7089_0 rpl34  have too few sites, skip
Group_6027_0 ostc  have too few sites, skip
Group_6650_0 cdca9  have too few sites, skip
Group_5212_0 plaa  have too few sites, skip
Group_654_1 nfib  have too few sites, skip
Group_4343_0 caap1  have too few sites, skip
Group_1990_1 lurap1l  have too few sites, skip
Group_394_8 si:dkeyp-67a8.2  have too few sites, skip
Group_3081_1 dctn6  have too few sites, skip
Group_2438_1 rbpms  have too few sites, skip
Group_123_14 atp1a1a.4  have too few sites, skip
Group_294_7 ctdsp1  have too few sites, skip
Group_254_8 igfbp2a  have too few sites, skip
Group_254_10 igfbp5a  have too few sites, skip
Group_903_4 creb1a  have too few sites, skip
Group_843_1 ramp1  have too few sites, skip
Group_240_9 acadl  have too few sites, skip
Group_1292_3 gpd1c  have too few sites, skip
Group_7461_0 mrps9  have too few sites, skip
Group_2932_1 jagn1b  have too few sites, skip
Group_1469_0 zgc:172295  have too few sites, skip
Group_2358_1 mtrf1  have too few sites, skip
Group_8676_0 ccdc122  have too few sites, skip
Group_9143_0 si:dkeyp-75h12.7  have too few sites, skip
Group_4175_0 msmp  have too few sites, skip
Group_6043_0 rgp1  have too few sites, skip
Group_7766_0 si:ch211-212k18.11  have too few sites, skip
Group_6766_0 ttc5  have too few sites, skip
Group_6857_0 mettl3  have too few sites, skip
Group_9395_0 si:dkey-85k7.7  have too few sites, skip
Group_454_1 tm4sf5  have too few sites, skip
Group_25_32 cldn15a  have too few sites, skip
Group_2258_1 dnajc3b  have too few sites, skip
Group_73_28 cckar  have too few sites, skip
Group_1182_1 stim2b  have too few sites, skip
Group_1825_0 nat8l  have too few sites, skip
Group_2350_0 gmpr2  have too few sites, skip
Group_85_28 mmp14a  have too few sites, skip
Group_986_2 per1b  have too few sites, skip
Group_9226_0 si:dkey-19b23.8  have too few sites, skip
Group_8480_0 si:dkey-19b23.7  have too few sites, skip
Group_7277_0 rell1  have too few sites, skip
Group_240_0 acadvl  have too few sites, skip
Group_9060_0 si:ch73-335l21.2  have too few sites, skip
Group_8013_0 si:ch73-335l21.4  have too few sites, skip
Group_1786_2 zgc:114045  have too few sites, skip
Group_440_4 si:dkey-38p12.3  have too few sites, skip
Group_65_13 si:dkey-93n13.3  have too few sites, skip
Group_4868_0 shbg  have too few sites, skip
Group_1148_1 polr2a  have too few sites, skip
Group_1475_1 tp53  have too few sites, skip
Group_100_4 slc2a4  have too few sites, skip
Group_1793_0 eif5al1  have too few sites, skip
Group_3993_0 gps2  have too few sites, skip
Group_349_6 gabarap  have too few sites, skip
Group_4653_0 phf23b  have too few sites, skip
Group_1781_0 plscr3b  have too few sites, skip
Group_12_60 tnk1  have too few sites, skip
Group_1232_0 eif4ebp3  have too few sites, skip
Group_7578_0 si:ch211-160j14.2  have too few sites, skip
Group_24_1 adra2c  have too few sites, skip
