Loading gene coordinates...
Loading synonymous sites...
Loading non-synonymous sites...
Loading polymorphic sites...
Loading divergent sites...
Computing...
Group_5906_0 trappc1  have too few sites, skip
Group_6023_0 ift46  have too few sites, skip
Group_1803_1 pfn1  have too few sites, skip
Group_249_7 slc25a11  have too few sites, skip
Group_5098_1 mrps7  have too few sites, skip
Group_407_3 rbm46  have too few sites, skip
Group_73_8 npy2rl  have too few sites, skip
Group_2749_0 rnf175  have too few sites, skip
Group_634_3 trim2b  have too few sites, skip
Group_877_1 zgc:92360  have too few sites, skip
Group_1160_2 lgals2b  have too few sites, skip
Group_705_2 sh3gl2  have too few sites, skip
Group_745_1 loc107376860  have too few sites, skip
Group_1040_2 arfip1  have too few sites, skip
Group_925_0 rnf150b  have too few sites, skip
Group_12_46 txk  have too few sites, skip
Group_7856_0 unknown  have too few sites, skip
Group_2107_0 ifitm5  have too few sites, skip
Group_2384_1 glg1  have too few sites, skip
Group_5011_0 pop7  have too few sites, skip
Group_2093_0 gigyf1  have too few sites, skip
Group_923_2 efnb3a  have too few sites, skip
Group_2903_1 tmem88b  have too few sites, skip
Group_2151_1 tdrd7  have too few sites, skip
Group_6173_0 mrpl48  have too few sites, skip
Group_64_24 styx  have too few sites, skip
Group_6702_0 gnpnat1  have too few sites, skip
Group_4042_0 nagk  have too few sites, skip
Group_5_27 btr12  have too few sites, skip
Group_6429_0 tnip2  have too few sites, skip
Group_115_11 sfrp2  have too few sites, skip
Group_67_19 plrg1  have too few sites, skip
Group_32_12 fgg  have too few sites, skip
Group_4_51 rab39b  have too few sites, skip
Group_10_77 cysltr1  have too few sites, skip
Group_10_22 lpar4  have too few sites, skip
Group_1124_1 si:cabz01101003.1  have too few sites, skip
Group_288_2 fam19a1  have too few sites, skip
Group_288_7 fam19a4a  have too few sites, skip
Group_1780_0 uba3  have too few sites, skip
Group_1312_0 frmd4bb  have too few sites, skip
Group_544_0 mitf  have too few sites, skip
Group_7763_0 bmp15  have too few sites, skip
Group_5816_0 rps4x  have too few sites, skip
Group_5035_0 ankrd46b  have too few sites, skip
Group_5943_0 vps52  have too few sites, skip
Group_7045_0 rps18  have too few sites, skip
Group_795_0 pnp5a  have too few sites, skip
Group_932_4 klc2  have too few sites, skip
Group_102_5 actn3a  have too few sites, skip
Group_592_4 rbm14b  have too few sites, skip
Group_4385_0 pfdn2  have too few sites, skip
Group_225_8 clcn3  have too few sites, skip
Group_298_2 loc107377055  have too few sites, skip
Group_2743_1 cant1a  have too few sites, skip
Group_5559_0 tex261  have too few sites, skip
Group_2269_0 vax2  have too few sites, skip
Group_3238_1 si:ch211-74f19.2  have too few sites, skip
Group_754_1 fam117ba  have too few sites, skip
Group_147_19 ppp3ca  have too few sites, skip
Group_85_0 mmp16b  have too few sites, skip
Group_373_6 egfra  have too few sites, skip
Group_2414_1 npc1  have too few sites, skip
Group_1453_0 cables1  have too few sites, skip
Group_1998_0 mib1  have too few sites, skip
Group_2626_1 abhd3  have too few sites, skip
Group_360_4 aqp1a.1  have too few sites, skip
Group_89_7 kcnj6  have too few sites, skip
Group_2271_1 kctd7  have too few sites, skip
Group_9019_0 si:dkey-183i3.6  have too few sites, skip
Group_2634_1 pgrmc1  have too few sites, skip
Group_4_69 rab24  have too few sites, skip
