Loading gene coordinates...
Loading synonymous sites...
Loading non-synonymous sites...
Loading polymorphic sites...
Loading divergent sites...
Computing...
Group_5906_0 trappc1  have too few sites, skip
Group_6023_0 ift46  have too few sites, skip
Group_3112_3 unknown  have too few sites, skip
Group_772_1 eno3  have too few sites, skip
Group_1803_1 pfn1  have too few sites, skip
Group_249_7 slc25a11  have too few sites, skip
Group_5098_1 mrps7  have too few sites, skip
Group_2663_0 hacd1  have too few sites, skip
Group_3109_1 tmem236  have too few sites, skip
Group_32_17 fga  have too few sites, skip
Group_2749_0 rnf175  have too few sites, skip
Group_877_1 zgc:92360  have too few sites, skip
Group_3_90 si:ch73-379f7.4  have too few sites, skip
Group_705_2 sh3gl2  have too few sites, skip
Group_745_1 loc107376860  have too few sites, skip
Group_925_0 rnf150b  have too few sites, skip
Group_12_46 txk  have too few sites, skip
Group_12_47 tec  have too few sites, skip
Group_7856_0 unknown  have too few sites, skip
Group_2107_0 ifitm5  have too few sites, skip
Group_2384_1 glg1  have too few sites, skip
Group_1659_1 tmem55bb  have too few sites, skip
Group_6995_0 pih1d1  have too few sites, skip
Group_3900_0 epoa  have too few sites, skip
Group_5011_0 pop7  have too few sites, skip
Group_248_11 si:dkey-85k7.10  have too few sites, skip
Group_2903_1 tmem88b  have too few sites, skip
Group_106_1 cabp4  have too few sites, skip
Group_5_19 zgc:92594  have too few sites, skip
Group_64_24 styx  have too few sites, skip
Group_6702_0 gnpnat1  have too few sites, skip
Group_1217_0 dok1b  have too few sites, skip
Group_5584_0 fam193a  have too few sites, skip
Group_6429_0 tnip2  have too few sites, skip
Group_115_11 sfrp2  have too few sites, skip
Group_32_12 fgg  have too few sites, skip
Group_4_51 rab39b  have too few sites, skip
Group_148_3 slc12a6  have too few sites, skip
Group_614_3 tox4b  have too few sites, skip
Group_4594_0 supt16h  have too few sites, skip
Group_10_77 cysltr1  have too few sites, skip
Group_10_22 lpar4  have too few sites, skip
Group_1124_1 si:cabz01101003.1  have too few sites, skip
Group_288_2 fam19a1  have too few sites, skip
Group_544_0 mitf  have too few sites, skip
Group_145_5 gpr185b  have too few sites, skip
Group_584_4 loc107376887  have too few sites, skip
Group_4960_0 smg7  have too few sites, skip
Group_225_9 clcn5a  have too few sites, skip
Group_8168_0 zgc:194626  have too few sites, skip
Group_5816_0 rps4x  have too few sites, skip
Group_5035_0 ankrd46b  have too few sites, skip
Group_4555_0 loc107394437  have too few sites, skip
Group_5943_0 vps52  have too few sites, skip
Group_7045_0 rps18  have too few sites, skip
Group_3029_0 ring1  have too few sites, skip
Group_795_0 pnp5a  have too few sites, skip
Group_1173_1 pacs1a  have too few sites, skip
Group_932_4 klc2  have too few sites, skip
Group_102_5 actn3a  have too few sites, skip
Group_592_4 rbm14b  have too few sites, skip
Group_2544_1 ccs  have too few sites, skip
Group_2517_1 nit1  have too few sites, skip
Group_2743_1 cant1a  have too few sites, skip
Group_5559_0 tex261  have too few sites, skip
Group_2269_0 vax2  have too few sites, skip
Group_3238_1 si:ch211-74f19.2  have too few sites, skip
Group_754_1 fam117ba  have too few sites, skip
Group_1175_2 ddit4l  have too few sites, skip
Group_8964_0 loc107377100  have too few sites, skip
Group_147_19 ppp3ca  have too few sites, skip
Group_85_0 mmp16b  have too few sites, skip
Group_1453_0 cables1  have too few sites, skip
Group_361_5 gata6  have too few sites, skip
Group_1998_0 mib1  have too few sites, skip
Group_2626_1 abhd3  have too few sites, skip
Group_6_79 rock1  have too few sites, skip
Group_4174_0 usp14  have too few sites, skip
Group_6300_0 thoc1  have too few sites, skip
Group_360_4 aqp1a.1  have too few sites, skip
Group_89_7 kcnj6  have too few sites, skip
Group_2634_1 pgrmc1  have too few sites, skip
Group_2178_1 larp1  have too few sites, skip
Group_7492_0 faxdc2  have too few sites, skip
Group_2933_1 pcbd2  have too few sites, skip
Group_1063_2 endou2  have too few sites, skip
Group_1330_3 spry4  have too few sites, skip
Group_2896_1 yipf5  have too few sites, skip
Group_609_4 kctd16b  have too few sites, skip
Group_4233_0 larsb  have too few sites, skip
Group_24_29 drd1b  have too few sites, skip
Group_630_0 cpeb4  have too few sites, skip
Group_423_5 fhl1b  have too few sites, skip
Group_629_3 loc107386738  have too few sites, skip
Group_4373_0 dpp3  have too few sites, skip
Group_97_28 loc107386761  have too few sites, skip
Group_1635_2 ubtd2  have too few sites, skip
Group_5055_0 ublcp1  have too few sites, skip
Group_7089_0 rpl34  have too few sites, skip
Group_6027_0 ostc  have too few sites, skip
Group_256_10 slc24a2  have too few sites, skip
Group_654_1 nfib  have too few sites, skip
Group_997_3 usp53  have too few sites, skip
Group_4343_0 caap1  have too few sites, skip
Group_182_3 loc107377411  have too few sites, skip
Group_1990_1 lurap1l  have too few sites, skip
Group_4632_0 mfsd8  have too few sites, skip
Group_2438_1 rbpms  have too few sites, skip
Group_2695_0 ccdc28a  have too few sites, skip
Group_294_7 ctdsp1  have too few sites, skip
Group_38_28 si:dkey-91f15.8  have too few sites, skip
Group_254_8 igfbp2a  have too few sites, skip
Group_254_10 igfbp5a  have too few sites, skip
Group_903_4 creb1a  have too few sites, skip
Group_843_1 ramp1  have too few sites, skip
Group_1850_0 lancl1  have too few sites, skip
Group_557_4 osbpl11  have too few sites, skip
Group_1292_3 gpd1c  have too few sites, skip
Group_2932_1 jagn1b  have too few sites, skip
Group_1469_0 zgc:172295  have too few sites, skip
Group_9143_0 si:dkeyp-75h12.7  have too few sites, skip
Group_4175_0 msmp  have too few sites, skip
Group_6043_0 rgp1  have too few sites, skip
Group_175_0 slc7a7  have too few sites, skip
Group_6766_0 ttc5  have too few sites, skip
Group_6857_0 mettl3  have too few sites, skip
Group_9395_0 si:dkey-85k7.7  have too few sites, skip
Group_454_1 tm4sf5  have too few sites, skip
Group_25_32 cldn15a  have too few sites, skip
Group_2350_0 gmpr2  have too few sites, skip
Group_3691_0 dhrs4  have too few sites, skip
Group_9226_0 si:dkey-19b23.8  have too few sites, skip
Group_7277_0 rell1  have too few sites, skip
