num	null_model	altermodel	LogLikelihoodRatio	null_est	alt_est
Obs	-162885.876897	-162381.900641	503.97625600002	lambda: 0.00101637793135_mu: 0.00082194099750	lambda: 0.00097446128778,0.00347107569594_mu: 0.00080393862301,0.00313477451682
1	-143574.426824	-143385.005965	189.42085900001	lambda: 0.00101586281727_mu: 0.00061591965109	lambda: 0.00102615831708,0.00010424331356_mu: 0.00062672830319,0.00000000000308
2	-143773.565225	-143603.364975	170.20024999999	lambda: 0.00100844448797_mu: 0.00060810234558	lambda: 0.00101833728699,0.00016764322427_mu: 0.00061843894819,0.00000000003642
3	-144129.249451	-143946.806624	182.44282700002	lambda: 0.00102409637289_mu: 0.00061410825783	lambda: 0.00103647191943,0.00010340083011_mu: 0.00062384456773,0.00000007915279
4	-143134.208296	-142959.567056	174.64124	lambda: 0.00100149745089_mu: 0.00061968410174	lambda: 0.00101210896680,0.00016914207991_mu: 0.00062904881848,0.00000000000057
5	-143769.137581	-143664.249791	104.88778999998	lambda: 0.00100891432794_mu: 0.00061169525150	lambda: 0.00101226641871,0.00086642789241_mu: 0.00062157479196,0.00000000000526
6	-143354.416396	-143174.421845	179.99455099998	lambda: 0.00099735450192_mu: 0.00060375838939	lambda: 0.00100635590075,0.00011468853065_mu: 0.00061523624822,0.00000000000039
7	-143748.760351	-143654.467103	94.293248000002	lambda: 0.00100658229442_mu: 0.00060281588253	lambda: 0.00101884054642,0.00092904957798_mu: 0.00061232852849,0.00000065505589
8	-144183.225300	-144004.994923	178.230377	lambda: 0.00102668186757_mu: 0.00062414478222	lambda: 0.00103710909925,0.00015873669934_mu: 0.00063465773443,0.00000000019768
9	-143548.006388	-143304.136424	243.86996400001	lambda: 0.00090945156258_mu: 0.00065074763020	lambda: 0.00102074114417,0.00008223977206_mu: 0.00062328758108,0.00000000090627
10	-142996.746051	-142814.317686	182.428365	lambda: 0.00101208313971_mu: 0.00060551020494	lambda: 0.00102235622434,0.00012811559076_mu: 0.00061562191460,0.00000000000277
11	-143836.825297	-143650.329957	186.49533999999	lambda: 0.00100657835606_mu: 0.00060965139280	lambda: 0.00101807762967,0.00010750446682_mu: 0.00061954762064,0.00000000000079
12	-143744.984542	-143479.748694	265.23584799998	lambda: 0.00090949397170_mu: 0.00065095697559	lambda: 0.00101660097263,0.00001802874234_mu: 0.00062765716313,0.00000000000110
13	-143511.144193	-143270.611998	240.53219499998	lambda: 0.00090954283467_mu: 0.00065124511528	lambda: 0.00102781741132,0.00011426482425_mu: 0.00062637254261,0.00000814690913
14	-143720.852492	-143561.149706	159.70278600001	lambda: 0.00099826198691_mu: 0.00061909890733	lambda: 0.00101157119187,0.00017553809824_mu: 0.00062779657576,0.00000000004080
15	-143339.017938	-143204.093366	134.92457200002	lambda: 0.00101357432114_mu: 0.00060509184753	lambda: 0.00094563771916,0.00018248963001_mu: 0.00065988031130,0.00000001683738
16	-143569.472766	-143362.667285	206.80548099999	lambda: 0.00101321355755_mu: 0.00061558361709	lambda: 0.00102590134092,0.00004763721845_mu: 0.00062537222872,0.00000000000096
17	-143927.487137	-143724.265375	203.221762	lambda: 0.00100701907821_mu: 0.00060292256039	lambda: 0.00102203189784,0.00005202063422_mu: 0.00061454434146,0.00000000000131
18	-144101.692580	-143931.786835	169.905745	lambda: 0.00101459087221_mu: 0.00061029974940	lambda: 0.00102513733915,0.00029611522267_mu: 0.00061944790129,0.00000000000172
19	-143854.656571	-143818.433067	36.223503999994	lambda: 0.00101774732857_mu: 0.00061225445095	lambda: 0.00104658474768,0.00114326379592_mu: 0.00061864963993,0.00000000000231
20	-143166.047485	-142989.529404	176.51808099999	lambda: 0.00100598464079_mu: 0.00060356234251	lambda: 0.00101839499142,0.00012969103092_mu: 0.00061304843797,0.00000000002727
21	-143552.362042	-143400.987780	151.374262	lambda: 0.00100217112107_mu: 0.00062294760103	lambda: 0.00101464782806,0.00013238713248_mu: 0.00063183048493,0.00003353952611
22	-143614.986069	-143452.202253	162.78381600001	lambda: 0.00102479479895_mu: 0.00060734688894	lambda: 0.00103904026065,0.00055059932469_mu: 0.00061665874433,0.00000000009540
23	-144012.612126	-143810.835109	201.77701699999	lambda: 0.00099780558234_mu: 0.00061817656676	lambda: 0.00100917220682,0.00010918559303_mu: 0.00062826574086,0.00000000000003
24	-143804.641435	-143620.705805	183.93562999999	lambda: 0.00100393842896_mu: 0.00062633355073	lambda: 0.00101657114285,0.00006242714432_mu: 0.00063700820587,0.00000000000073
25	-143323.686055	-143218.336173	105.34988200001	lambda: 0.00100735136975_mu: 0.00060078224377	lambda: 0.00102137281908,0.00085924987281_mu: 0.00061118895381,0.00000000000004
26	-143230.420847	-143059.397588	171.02325900001	lambda: 0.00101230050006_mu: 0.00060328333639	lambda: 0.00102481458750,0.00011891528762_mu: 0.00061271692502,0.00000000000708
27	-143819.811527	-143644.465379	175.34614800001	lambda: 0.00101256912741_mu: 0.00061003198996	lambda: 0.00101933499985,0.00018386364033_mu: 0.00062059662281,0.00000008340462
28	-143730.635938	-143548.754711	181.88122700001	lambda: 0.00101548093495_mu: 0.00060657852276	lambda: 0.00102636559033,0.00003725775083_mu: 0.00061763824448,0.00000000000374
29	-143283.496667	-143077.640181	205.856486	lambda: 0.00101221468088_mu: 0.00060342473600	lambda: 0.00102377548911,0.00006371475261_mu: 0.00061322275703,0.00000311723714
30	-144083.383757	-143884.781464	198.602293	lambda: 0.00101524372588_mu: 0.00061961650416	lambda: 0.00102708313097,0.00005011464336_mu: 0.00062953822703,0.00000781901810
31	-144358.042754	-144184.302241	173.740513	lambda: 0.00101694033625_mu: 0.00060809284255	lambda: 0.00103041464090,0.00012074291298_mu: 0.00061721754220,0.00000086876370
32	-143640.185192	-143451.076478	189.108714	lambda: 0.00101038316075_mu: 0.00060894896844	lambda: 0.00103572884416,0.00011776172002_mu: 0.00061510625861,0.00000000000007
33	-143352.995755	-143155.619689	197.376066	lambda: 0.00101131158774_mu: 0.00060926824340	lambda: 0.00102313980326,0.00008471101148_mu: 0.00061940336311,0.00000022502759
34	-143005.125461	-142846.151377	158.97408399999	lambda: 0.00100336698962_mu: 0.00061304220701	lambda: 0.00101487008965,0.00040545424707_mu: 0.00062075418484,0.00000000000205
35	-143770.967843	-143666.134542	104.83330099998	lambda: 0.00100388465435_mu: 0.00061177853090	lambda: 0.00101280922992,0.00081883334964_mu: 0.00062050768449,0.00000000001546
36	-143646.581035	-143477.064970	169.516065	lambda: 0.00101653534852_mu: 0.00060578749497	lambda: 0.00102683944450,0.00018673688306_mu: 0.00061406454089,0.00000000001216
37	-144032.641080	-143827.905518	204.73556199999	lambda: 0.00099987691940_mu: 0.00061648335007	lambda: 0.00100806656078,0.00006163700199_mu: 0.00062788500242,0.00000000000084
38	-143086.315134	-148912.674661	-5826.359527	lambda: 0.00101202810596_mu: 0.00060404626930	lambda: 0.00029310319851,0.00005747458698_mu: 0.00078161495924,0.00000000000004
