Species	Genus	Annual	Log_GenomeSize	Log_GenomeSize_nowarning	GenomeSize	GenomeSize_nowarning	Genomesize_BUSCO	CollectionCode	latitude	longitude	precip_month_01	precip_month_02	precip_month_03	precip_month_04	precip_month_05	precip_month_06	precip_month_07	precip_month_08	precip_month_09	precip_month_10	precip_month_11	precip_month_12	bioclim_bio_1	bioclim_bio_2	bioclim_bio_3	bioclim_bio_4	bioclim_bio_5	bioclim_bio_6	bioclim_bio_7	bioclim_bio_8	bioclim_bio_9	bioclim_bio_10	bioclim_bio_11	bioclim_bio_12	bioclim_bio_13	bioclim_bio_14	bioclim_bio_15	bioclim_bio_16	bioclim_bio_17	bioclim_bio_18	bioclim_bio_19	median_relax_k	optional
X4FGR	Fundulopanchax	SemiAnnual	20.60392041	20.60392041	8.88E+08	8.88E+08	1341395182	Udi mountain	6.3207011	7.4056747	13.62162162	19.43243243	57	139.7222222	255.1111111	281.1388889	321.1666667	311.3611111	315.7777778	243.3888889	17	8.055555556	251	89	74	1203	319	199	120	235	258	267	235	1832	311	10	69	794	52	264	794	0.9610913653	TRUE
G2.FAM	Fundulopanchax	SemiAnnual	20.46601882	20.46601882	7.73E+08	7.73E+08	916360783	C89 / 31 Edea-Yahounde	3.7982963	10.1261371	17.08108108	31.75675676	125.3333333	221.7222222	270.9166667	196.2777778	214.9166667	357.1666667	432.5833333	366.8611111	103.9722222	24.27777778	267	73	68	1170	325	218	107	254	277	278	249	2605	463	33	62	1197	116	431	1054	0.9613741292	TRUE
C29FDL	Fundulopanchax	SemiAnnual	20.4052641	NA	7.28E+08	NA	1534992525	Koloware	8.9548136	1.2876749	3.702702703	9.297297297	40.44444444	96.94444444	121.0277778	152.5277778	197.4444444	267.5833333	211.2222222	96.55555556	14	3.472222222	264	123	67	1293	359	177	182	247	263	282	247	1257	237	3	81	677	17	159	677	0.8815868954	TRUE
J3.FFL	Fundulopanchax	SemiAnnual	20.80204702	NA	1.08E+09	NA	1267267683	Ikeja	6.6024083	3.3480053	14.45945946	25.81081081	68.30555556	124.9444444	207.3333333	312.4166667	175.8333333	78.61111111	198.9722222	166.1388889	54.16666667	11.55555556	268	68	70	1093	319	223	96	262	276	282	253	1613	347	17	72	816	76	263	506	0.880483512	TRUE
J1.FSJ	Fundulopanchax	SemiAnnual	20.68707366	NA	9.64E+08	NA	1136901875	Niger Delta	5.5082554	5.7760396	20.91891892	48.62162162	115.8333333	173.2222222	272.5833333	323.4722222	448.4722222	363.5277778	413.8055556	326.9444444	97.86111111	25	267	80	76	919	324	220	104	253	270	277	253	2751	469	30	67	1244	118	384	1244	0.904679802	TRUE
C44APL	Aplocheilus	NonAnnual	20.34990716	20.34990716	6.88E+08	6.88E+08	884480483	India	9.9566514	76.4812648	15.54054054	24.13513514	54.88888889	143.3333333	318.3333333	660.6111111	628.3055556	408.4166667	299.6388889	332.9166667	195.3611111	40.19444444	274	74	66	1018	334	222	112	264	272	290	263	3440	737	17	85	1928	99	574	1509	1.143683197	TRUE
PLPRUN4	Pachypanchax	NonAnnual	20.24508233	20.24508233	6.20E+08	6.20E+08	827623773.9	SEY 05 La Digue	-4.3600838	55.8228481	320.5405405	165.9459459	160.4166667	166.8333333	128.3333333	112.8055556	79.44444444	98.05555556	167.2222222	164.9444444	161.5	253.5555556	264	41	66	600	300	238	62	264	259	272	257	2153	364	66	48	919	224	516	278	1.093517045	TRUE
WGS ALM	Austrofundulus	Annual	21.03075054	21.03075054	1.36E+09	1.36E+09	1.36E+09	Venezuela	10.8940602	-71.292903	6.216216216	5.864864865	5.25	33.41666667	50.77777778	57.94444444	44.86111111	76.55555556	81.91666667	118.0833333	77.88888889	35.63888889	282	82	77	659	334	228	106	285	272	289	272	516	110	2	77	264	9	173	9	NA	TRUE
WGS XMA	Xiphophorus	NonAnnual	20.34337242	20.34337242	6.84E+08	6.84E+08	6.84E+08	Mexico	18.4082999	-96.0091515	32.91891892	28.13513514	20.02777778	28.13888889	79.36111111	251	303.8888889	289.0277778	305.75	189.6111111	70.58333333	42.25	261	97	56	2334	349	176	173	276	254	286	227	1411	286	18	90	822	58	287	87	NA	TRUE
WGS FHT	Fundulus	NonAnnual	21.04171957	21.04171957	1.38E+09	1.38E+09	1.38E+09	New York	40.8604513	-73.4678226	90.10810811	75.10810811	103.4166667	111.0555556	106.3611111	106.3055556	100.1111111	102.4722222	106.6944444	101.7222222	94.30555556	103.3055556	111	94	28	8446	281	-51	332	95	1	219	1	1143	106	81	9	310	267	287	267	NA	TRUE
