OrthoID	GeneSymbol	GeneName	NOR	CTO	PLP	AAU	AvgRPKM	SdRPKM	SdOverAvg
Group_1012_1	prdx2	peroxiredoxin 2	882.089393984147	833.626165129001	1094.09622851619	528.563463906812	834.593812884036	202.022798701197	0.242061222576146
Group_1232_3	eif4ebp1	eukaryotic translation initiation factor 4E binding protein 1 [Source:ZFIN%3BAcc:ZDB-GENE-030131-2332]	394.70534331061	511.223993120895	281.483356282489	189.41939676479	344.208022369696	120.766527089031	0.350853319041245
Group_1244_0	eef1da	eukaryotic translation elongation factor 1 delta a (guanine nucleotide exchange protein) [Source:ZFIN%3BAcc:ZDB-GENE-040426-2740]	813.946488937135	363.283337384013	415.626425018429	694.334501280609	571.797688155047	188.095062533766	0.328953870276514
Group_1244_2	eef1b2	eukaryotic translation elongation factor 1 beta 2	1714.05516069508	1079.22322449278	1542.69425769557	1417.29037508472	1438.31575449204	232.549244110095	0.161681635888236
Group_1285_0	psmb10	proteasome subunit beta 10 [Source:ZFIN%3BAcc:ZDB-GENE-001208-2]	989.109986457894	867.96368500112	820.062377445536	352.081647972595	757.304424219287	241.931472613509	0.319463963072602
Group_1285_1	zgc:92791	zgc:92791 [Source:ZFIN%3BAcc:ZDB-GENE-040718-278]	217.73593905462	400.829466047635	480.70719263782	243.759314695245	335.75797810883	109.130116268999	0.325026130082384
Group_1402_3	zgc:101744	zgc:101744 [Source:ZFIN%3BAcc:ZDB-GENE-050320-111]	427.889679197287	707.930512467536	501.781379859249	288.657833323473	481.564851211887	151.446576610083	0.314488435418321
Group_1427_1	psme2	proteasome activator subunit 2%2C transcript variant X1	621.288009010527	482.053682481864	738.930217918805	375.07765166136	554.337390268139	137.764187714695	0.248520468099865
Group_164_4	anxa5b	annexin A5b [Source:ZFIN%3BAcc:ZDB-GENE-030131-9076]	756.411996232853	585.823582215739	739.016239292599	402.878187974613	621.032501428951	142.371646127779	0.229249911719905
Group_1645_0	tmem54a	transmembrane protein 54a [Source:ZFIN%3BAcc:ZDB-GENE-040426-1304]	437.488129137144	528.320267528312	357.614757545989	191.459297960718	378.720613043041	123.840557605946	0.32699714074415
Group_1732_0	rnf7	ring finger protein 7	885.407790287463	1245.29246427465	662.979425371653	586.110607453074	844.94757184671	255.940443578918	0.302906892814115
Group_177_15	fabp3	fatty acid binding protein 3%2C muscle and heart [Source:ZFIN%3BAcc:ZDB-GENE-020318-2]	1374.73161973184	641.357555110727	897.494868029058	950.087244105826	965.917821744362	263.344069558124	0.272636101777839
Group_1793_1	eif5a	eukaryotic translation initiation factor 5A [Source:ZFIN%3BAcc:ZDB-GENE-040426-2229]	729.447212155512	537.354708365606	655.014028642067	773.547610012014	673.8408897938	89.4656659911281	0.132769719597315
Group_1814_1	rpl22	ribosomal protein L22 [Source:HGNC Symbol%3BAcc:HGNC:10315]	1957.52331704483	828.204515602206	1129.895654192	1056.93353949349	1243.13925658313	427.203729991335	0.343649134824637
Group_19_57	mapk13	mitogen-activated protein kinase 13 [Source:ZFIN%3BAcc:ZDB-GENE-041111-17]	342.230718898959	422.964304567079	327.836719369007	135.270897880343	307.075660178847	105.610077619159	0.34392200787796
Group_1916_1	gstr	glutathione S-transferase rho [Source:ZFIN%3BAcc:ZDB-GENE-090507-1]	428.788703598024	547.806994463491	875.108165226215	398.397691740219	562.525388756987	188.910048145358	0.335824927942884
Group_1984_0	tmem14ca	transmembrane protein 14Ca [Source:ZFIN%3BAcc:ZDB-GENE-060825-156]	724.22998772589	807.046310493688	440.54206410169	338.535372129026	577.588433612573	193.702565971858	0.335364343708079
Group_1986_2	cycsb	cytochrome c%2C somatic b [Source:ZFIN%3BAcc:ZDB-GENE-040625-38]	1357.51632079408	956.255231030706	1690.12564346378	916.512211849952	1230.10235178463	316.696530528646	0.257455430492579
Group_2033_1	cndp2	CNDP dipeptidase 2 (metallopeptidase M20 family)%2C transcript variant X2	412.494831211562	326.788397418235	228.786784503022	142.556386318843	277.656599862915	101.532764068073	0.36567747396677
Group_2116_0	tmem59	transmembrane protein 59	501.255824861215	422.802125002444	284.978608347932	262.86648135736	367.975759892238	98.3691944003857	0.267325202152428
Group_2323_0	cox4i1	cytochrome c oxidase subunit IV isoform 1 [Source:ZFIN%3BAcc:ZDB-GENE-030131-5175]	2926.90923417304	1896.35684787684	1751.33826399759	1775.48543166634	2087.52244442845	487.724658134109	0.233638042760131
Group_2323_2	cox4i2	cytochrome c oxidase subunit IV isoform 2 [Source:ZFIN%3BAcc:ZDB-GENE-040426-1775]	761.613404149112	476.677193854278	619.280191306549	424.553371291302	570.53104015031	131.345892436625	0.230216908797847
Group_2466_1	chmp5b	charged multivesicular body protein 5b [Source:ZFIN%3BAcc:ZDB-GENE-040426-1374]	815.849785807529	779.028201232173	658.952586681215	635.408783961246	722.309839420541	76.7017422411154	0.106189529832029
Group_2477_1	ifi30	interferon%2C gamma-inducible protein 30 [Source:ZFIN%3BAcc:ZDB-GENE-030131-8447]	629.000549812037	705.717754265226	626.401104180389	652.025217315931	653.286156393396	31.8718494218293	0.0487869658799822
Group_25_36	cldn7b	claudin 7b [Source:ZFIN%3BAcc:ZDB-GENE-001103-5]	604.81915542963	273.528286961565	328.579738879035	673.810421861025	470.184400782814	171.985159966719	0.36578236045343
Group_2521_0	rpl7l1	ribosomal protein L7 like 1	476.695146179351	378.992631775035	557.400530007951	269.378486852111	420.616698703612	107.773104772593	0.256226405429842
Group_2536_2	rpl5	ribosomal protein L5 [Source:HGNC Symbol%3BAcc:HGNC:10360]	303.117040447305	454.205208333854	384.332432845906	437.121684841822	394.694091617222	58.8119757217088	0.149006476080582
Group_2620_0	cox6a1	cytochrome c oxidase subunit VIa polypeptide 1 [Source:ZFIN%3BAcc:ZDB-GENE-030131-7715]	1918.83578724293	1240.72909612381	1460.36356809831	2144.84509248775	1691.1933859882	358.406687622137	0.211925312972243
Group_2620_1	cox6a2	cytochrome c oxidase subunit VIa polypeptide 2 [Source:ZFIN%3BAcc:ZDB-GENE-040912-129]	3453.02419419329	1675.07238439976	2322.66536231543	2553.44775050574	2501.05242285355	636.996956640898	0.254691565366759
Group_2623_0	atp5j	ATP synthase%2C H+ transporting%2C mitochondrial Fo complex subunit F6	1121.44270936771	1056.71463846746	2040.99127190013	920.451449022633	1284.90001718948	442.516554162567	0.344397656037473
Group_2635_1	fundc2	fun14 domain containing 2 [Source:ZFIN%3BAcc:ZDB-GENE-041010-26]	702.981116766563	734.234999294338	469.392255744753	706.967637216763	653.394002255604	106.912260533737	0.163626020692968
Group_2684_1	mdh1aa	malate dehydrogenase 1Aa%2C NAD (soluble) [Source:ZFIN%3BAcc:ZDB-GENE-040204-1]	678.289764744384	325.18223415641	304.675187275133	494.052203676011	450.549847462985	150.627338048685	0.334318919198081
Group_2879_1	loc107393895		926.647156370996	1178.72660349149	571.299445488172	1087.18699419187	940.965049885631	231.715922262046	0.246253484430914
Group_292_3	si:rp71-45k5.4	si:rp71-45k5.4 [Source:ZFIN%3BAcc:ZDB-GENE-060503-941]	276.521768494667	418.164206088012	358.277085865233	284.439110526505	334.350542743604	57.9493913386014	0.173319268044496
Group_292_6	psma1	proteasome subunit alpha 1	590.947058956494	581.575918779734	642.360928548775	308.524017457801	530.851980935701	130.430350201493	0.245700034822496
Group_2948_0	rpl19	ribosomal protein L19 [Source:ZFIN%3BAcc:ZDB-GENE-040426-2290]	2733.46605238627	1263.90627051656	1617.50478544277	1423.68104299177	1759.63953783434	576.012141986655	0.327346669361372
Group_2948_1	rpl19	ribosomal protein L19 [Source:ZFIN%3BAcc:ZDB-GENE-040426-2290]	1127.1720982615	509.660616995143	1145.94706531166	805.437178551135	897.054239779858	261.423684980833	0.291424613348896
Group_2990_1	hint1	histidine triad nucleotide binding protein 1	553.187555782846	1298.8352697691	950.190999695653	634.346825978787	859.140162806596	294.007263520722	0.342211057343977
Group_2991_0	sftpb	surfactant protein B%2C transcript variant X1	429.732834126266	385.330049251731	211.931060003992	204.570836807012	307.89119504725	100.902929960402	0.327722687701145
Group_3123_1	rpl3	ribosomal protein L3 [Source:ZFIN%3BAcc:ZDB-GENE-030131-1291]	1134.93505992187	719.957924366096	631.457255845594	1057.67836242977	886.007150640832	214.361903951481	0.241941505547035
Group_3143_1	atp5j2	ATP synthase%2C H+ transporting%2C mitochondrial Fo complex subunit F2	2100.84612564094	1430.8018302882	1466.63795507188	1147.62475343785	1536.47766610972	348.483612714236	0.226806819520246
Group_3157_0	eif3ea	eukaryotic translation initiation factor 3%2C subunit E%2C a [Source:ZFIN%3BAcc:ZDB-GENE-030131-3827]	696.195056542101	380.468261634796	394.224235351686	442.623216344408	478.377692468248	127.858171078124	0.267274526156151
Group_320_8	myl2b	myosin%2C light chain 2b%2C regulatory%2C cardiac%2C slow [Source:ZFIN%3BAcc:ZDB-GENE-060331-137]	2420.32614125958	1440.14530172211	1112.35785036603	2395.33199390886	1842.04032181415	577.603298054651	0.313567130542395
Group_3243_1	si:ch1073-406l10.2	si:ch1073-406l10.2 [Source:ZFIN%3BAcc:ZDB-GENE-141212-315]	1640.58048426429	803.824701515468	1106.1027714903	652.31357400769	1050.70538281944	377.719343595722	0.359491204453678
Group_3285_1	pdap1b	pdgfa associated protein 1b [Source:ZFIN%3BAcc:ZDB-GENE-040426-942]	523.616898040585	512.367926871445	249.389739065581	231.981245025704	379.338952250829	138.846971173334	0.366023500485458
Group_33_23	tspan3b	tetraspanin 3b [Source:ZFIN%3BAcc:ZDB-GENE-070424-42]	489.953830510623	336.354503070875	324.972325315856	221.715920198641	343.249144773999	95.7525035005432	0.278959190309384
Group_3365_1	atp5l	ATP synthase%2C H+ transporting%2C mitochondrial F0 complex%2C subunit g [Source:ZFIN%3BAcc:ZDB-GENE-030131-5177]	3299.36686363314	1833.47941640112	3255.88765585343	1306.46144588141	2423.79884544228	874.05821254237	0.360614996655335
Group_3429_1	smdt1b	single-pass membrane protein with aspartate-rich tail 1b [Source:ZFIN%3BAcc:ZDB-GENE-141212-9]	2135.5061411781	1115.04319400662	1583.10626326876	2968.05624007597	1950.42795963236	689.676407038456	0.353602604819331
Group_35_3	loc107392486		406.678296218369	352.52313756491	434.93093940496	159.088504347194	338.305219383858	107.62456451869	0.318128596167396
Group_3635_1	scoca	short coiled-coil protein a [Source:ZFIN%3BAcc:ZDB-GENE-061013-114]	413.462469107328	367.56709801013	396.259991106641	324.502139649936	375.447924468509	33.6742785308544	0.0896909433672442
Group_380_1	ckba	creatine kinase%2C brain a [Source:ZFIN%3BAcc:ZDB-GENE-060929-902]	130.769064508542	344.319267570065	245.232191653982	389.030650835821	277.337793642103	99.3415500137095	0.358196943550749
Group_380_3	ckmt2	creatine kinase%2C mitochondrial 2 [Source:HGNC Symbol%3BAcc:HGNC:1996]	449.329305906153	410.532098246506	478.834795351358	195.554437955552	383.562659364892	111.216538387732	0.289956635955871
Group_3836_1	cnbpa	CCHC-type zinc finger%2C nucleic acid binding protein a [Source:ZFIN%3BAcc:ZDB-GENE-030131-5045]	388.301798487201	280.059641784407	121.401873702674	338.593754874966	282.089267212312	100.372327782782	0.355817606159535
Group_3880_0	atp5h	ATP synthase%2C H+ transporting%2C mitochondrial Fo complex subunit D%2C transcript variant X2	1875.42086223881	1406.33936360501	1697.05604812299	2634.04278205409	1903.21476400523	453.946217243219	0.238515498002922
Group_39_28	psmc3	proteasome 26S subunit%2C ATPase 3	396.158467946787	427.897506717498	443.256853106522	131.323746049636	349.659143455111	127.195032996925	0.363768645487329
Group_4156_1	rpsa	ribosomal protein SA	799.449475464375	637.14277307789	638.590846961137	1407.38888455533	870.642995014683	316.834033930043	0.36390809521726
