Sample	Strain	Tissue	Age
MZM-0410.brain.12.wk.JM104	MZM-0410	brain	12
MZM-0410.brain.12.wk.JM105	MZM-0410	brain	12
MZM-0410.brain.12.wk.JM107	MZM-0410	brain	12
MZM-0410.brain.12.wk.JM109	MZM-0410	brain	12
MZM-0410.brain.12.wk.JM113	MZM-0410	brain	12
MZM-0410.brain.20.wk.JM75	MZM-0410	brain	20
MZM-0410.brain.20.wk.JM79	MZM-0410	brain	20
MZM-0410.brain.20.wk.JM82	MZM-0410	brain	20
MZM-0410.brain.20.wk.JM84	MZM-0410	brain	20
MZM-0410.brain.20.wk.JM86	MZM-0410	brain	20
MZM-0410.brain.27.wk.JM52	MZM-0410	brain	27
MZM-0410.brain.27.wk.JM62	MZM-0410	brain	27
MZM-0410.brain.27.wk.JM66	MZM-0410	brain	27
MZM-0410.brain.27.wk.JM69	MZM-0410	brain	27
MZM-0410.brain.27.wk.JM72	MZM-0410	brain	27
MZM-0410.brain.39.wk.JM12	MZM-0410	brain	39
MZM-0410.brain.39.wk.JM13	MZM-0410	brain	39
MZM-0410.brain.39.wk.JM15	MZM-0410	brain	39
MZM-0410.brain.39.wk.JM18	MZM-0410	brain	39
MZM-0410.brain.39.wk.JM1	MZM-0410	brain	39
MZM-0410.brain.39.wk.JM24	MZM-0410	brain	39
MZM-0410.brain.39.wk.JM38	MZM-0410	brain	39
MZM-0410.brain.39.wk.JM41	MZM-0410	brain	39
MZM-0410.brain.39.wk.JM46	MZM-0410	brain	39
MZM-0410.brain.39.wk.JM6	MZM-0410	brain	39
MZM-0410.brain.39.wk.JM8	MZM-0410	brain	39
MZM-0410.brain.5.wk.JM100	MZM-0410	brain	5
MZM-0410.brain.5.wk.JM101	MZM-0410	brain	5
MZM-0410.brain.5.wk.JM103	MZM-0410	brain	5
MZM-0410.brain.5.wk.JM96	MZM-0410	brain	5
MZM-0410.brain.5.wk.JM97	MZM-0410	brain	5

