Sample	Strain	Tissue	Age
MZM-0410.liver.12.wk.JM104	MZM-0410	liver	12
MZM-0410.liver.12.wk.JM105	MZM-0410	liver	12
MZM-0410.liver.12.wk.JM106	MZM-0410	liver	12
MZM-0410.liver.12.wk.JM107	MZM-0410	liver	12
MZM-0410.liver.12.wk.JM115	MZM-0410	liver	12
MZM-0410.liver.20.wk.JM75	MZM-0410	liver	20
MZM-0410.liver.20.wk.JM79	MZM-0410	liver	20
MZM-0410.liver.20.wk.JM82	MZM-0410	liver	20
MZM-0410.liver.20.wk.JM84	MZM-0410	liver	20
MZM-0410.liver.20.wk.JM85	MZM-0410	liver	20
MZM-0410.liver.27.wk.JM61	MZM-0410	liver	27
MZM-0410.liver.27.wk.JM69	MZM-0410	liver	27
MZM-0410.liver.27.wk.JM72	MZM-0410	liver	27
MZM-0410.liver.27.wk.JM74	MZM-0410	liver	27
MZM-0410.liver.27.wk.JM83	MZM-0410	liver	27
MZM-0410.liver.39.wk.JM12	MZM-0410	liver	39
MZM-0410.liver.39.wk.JM13	MZM-0410	liver	39
MZM-0410.liver.39.wk.JM15	MZM-0410	liver	39
MZM-0410.liver.39.wk.JM18	MZM-0410	liver	39
MZM-0410.liver.39.wk.JM1	MZM-0410	liver	39
MZM-0410.liver.5.wk.JM100	MZM-0410	liver	5
MZM-0410.liver.5.wk.JM101	MZM-0410	liver	5
MZM-0410.liver.5.wk.JM103	MZM-0410	liver	5
MZM-0410.liver.5.wk.JM97	MZM-0410	liver	5
MZM-0410.liver.5.wk.JM98	MZM-0410	liver	5

