Sample	Strain	Tissue	Age
MZM-0410.skin.12.wk.JM104	MZM-0410	skin	12
MZM-0410.skin.12.wk.JM109	MZM-0410	skin	12
MZM-0410.skin.12.wk.JM110	MZM-0410	skin	12
MZM-0410.skin.12.wk.JM112	MZM-0410	skin	12
MZM-0410.skin.12.wk.JM116	MZM-0410	skin	12
MZM-0410.skin.20.wk.JM79	MZM-0410	skin	20
MZM-0410.skin.20.wk.JM84	MZM-0410	skin	20
MZM-0410.skin.20.wk.JM87	MZM-0410	skin	20
MZM-0410.skin.20.wk.JM88	MZM-0410	skin	20
MZM-0410.skin.20.wk.JM91	MZM-0410	skin	20
MZM-0410.skin.27.wk.JM55	MZM-0410	skin	27
MZM-0410.skin.27.wk.JM62	MZM-0410	skin	27
MZM-0410.skin.27.wk.JM72	MZM-0410	skin	27
MZM-0410.skin.27.wk.JM74	MZM-0410	skin	27
MZM-0410.skin.27.wk.JM83	MZM-0410	skin	27
MZM-0410.skin.39.wk.JM12	MZM-0410	skin	39
MZM-0410.skin.39.wk.JM13	MZM-0410	skin	39
MZM-0410.skin.39.wk.JM15	MZM-0410	skin	39
MZM-0410.skin.39.wk.JM18	MZM-0410	skin	39
MZM-0410.skin.39.wk.JM1	MZM-0410	skin	39
MZM-0410.skin.39.wk.JM24	MZM-0410	skin	39
MZM-0410.skin.39.wk.JM38	MZM-0410	skin	39
MZM-0410.skin.39.wk.JM41	MZM-0410	skin	39
MZM-0410.skin.39.wk.JM46	MZM-0410	skin	39
MZM-0410.skin.39.wk.JM6	MZM-0410	skin	39
MZM-0410.skin.39.wk.JM8	MZM-0410	skin	39
MZM-0410.skin.5.wk.JM100	MZM-0410	skin	5
MZM-0410.skin.5.wk.JM102	MZM-0410	skin	5
MZM-0410.skin.5.wk.JM103	MZM-0410	skin	5
MZM-0410.skin.5.wk.JM94	MZM-0410	skin	5
MZM-0410.skin.5.wk.JM95	MZM-0410	skin	5
