#Internal ID	GEO accession	Strain	Age_weeks	Organ	SRA					
JG10_1	GSE69122	GRZ	12	brain	SRR2036126
JG11_1	GSE69122	GRZ	12	brain	SRR2036127
JG13_1	GSE69122	GRZ	12	brain	SRR2036128
JG14_1	GSE69122	GRZ	12	brain	SRR2036129
JG15_1	GSE69122	GRZ	12	brain	SRR2036125
JG10_3	GSE69122	GRZ	12	liver	SRR2036131
JG11_3	GSE69122	GRZ	12	liver	SRR2036132
JG13_3	GSE69122	GRZ	12	liver	SRR2036133
JG14_3	GSE69122	GRZ	12	liver	SRR2036134
JG15_3	GSE69122	GRZ	12	liver	SRR2036130
JG13_5	GSE69122	GRZ	12	skin	SRR2036136
JG14_5	GSE69122	GRZ	12	skin	SRR2036139
JG5_5	GSE69122	GRZ	12	skin	SRR2036138
JG6_5	GSE69122	GRZ	12	skin	SRR2036135
JG7_5	GSE69122	GRZ	12	skin	SRR2036137
JM100_1	GSE52462	MZM-0410	5	brain	SRR1030817
JM101_1	GSE52462	MZM-0410	5	brain	SRR1030818
JM103_1	GSE52462	MZM-0410	5	brain	SRR1030819
JM96_1	GSE52462	MZM-0410	5	brain	SRR1030820
JM97_1	GSE52462	MZM-0410	5	brain	SRR1030821
JM100_3	GSE66712	MZM-0410	5	liver	SRR1873320
JM101_3	GSE66712	MZM-0410	5	liver	SRR1873321
JM103_3	GSE66712	MZM-0410	5	liver	SRR1873322
JM97_3	GSE66712	MZM-0410	5	liver	SRR1873323
JM98_3	GSE66712	MZM-0410	5	liver	SRR1873324
JM100_5	GSE66712	MZM-0410	5	skin	SRR1873345
JM102_5	GSE66712	MZM-0410	5	skin	SRR1873346
JM103_5	GSE66712	MZM-0410	5	skin	SRR1873347
JM94_5	GSE66712	MZM-0410	5	skin	SRR1873348
JM95_5	GSE66712	MZM-0410	5	skin	SRR1873349
JM104_1	GSE52462	MZM-0410	12	brain	SRR1030822
JM105_1	GSE52462	MZM-0410	12	brain	SRR1030823
JM107_1	GSE52462	MZM-0410	12	brain	SRR1030824
JM109_1	GSE52462	MZM-0410	12	brain	SRR1030825
JM113_1	GSE52462	MZM-0410	12	brain	SRR1030826
JM104_3	GSE66712	MZM-0410	12	liver	SRR1873325
JM105_3	GSE66712	MZM-0410	12	liver	SRR1873326
JM106_3	GSE66712	MZM-0410	12	liver	SRR1873327
JM107_3	GSE66712	MZM-0410	12	liver	SRR1873328
JM115_3	GSE66712	MZM-0410	12	liver	SRR1873329
JM104_5	GSE66712	MZM-0410	12	skin	SRR1873350
JM109_5	GSE66712	MZM-0410	12	skin	SRR1873351
JM110_5	GSE66712	MZM-0410	12	skin	SRR1873352
JM112_5	GSE66712	MZM-0410	12	skin	SRR1873353
JM116_5	GSE66712	MZM-0410	12	skin	SRR1873354
