p-value	q-value	complex_name	source	members_input_overlap	members_input_overlap_geneids	size	effective_size
0.00301495585823	0.0305957120788	TFTC-type histone acetyl transferase complex	CORUM	MED13; MED14; KAT2A	2648; 9282; 9969	11	4
0.00301495585823	0.0305957120788	TRRAP/GCN5	PINdb	MED13; MED14; KAT2A	2648; 9282; 9969	11	4
0.00874163202251	0.0305957120788	BCL6-ZBTB17 complex	CORUM	BCL6; ZBTB17	604; 7709	2	2
0.00874163202251	0.0305957120788	KAT2A-Oxoglutarate dehydrogenase complex	CORUM	DLST; KAT2A	1743; 2648	4	2
0.00874163202251	0.0305957120788	Kinase maturation complex 1	CORUM	MAP3K3; MAP2K5	4215; 5607	16	2
0.00874163202251	0.0305957120788	CF IIAm complex (Cleavage factor IIAm complex)	CORUM	PTBP1; NUDT21	5725; 11051	16	2
0.00874163202251	0.0305957120788	CtBP1/CBP/TCF/TLE1	BioCarta	TLE1; HNF1A	6927; 7088	4	2
0.00874163202251	0.0305957120788	CtBP/CBP/TCF1/TLE1/AES	PID	TLE1; HNF1A	6927; 7088	5	2
0.00874163202251	0.0305957120788	beta catenin/TCF1/CtBP/CBP/TLE1/AES/SMAD4	PID	TLE1; HNF1A	6927; 7088	6	2
0.00874163202251	0.0305957120788	beta-catenin/TCF/CtBP1/CBP/TLE1/SMAD4	BioCarta	TLE1; HNF1A	6927; 7088	6	2
