p-value	q-value	complex_name	source	members_input_overlap	members_input_overlap_geneids	size	effective_size
0.00339486601683	0.0473201220814	TFTC-type histone acetyl transferase complex	CORUM	ENSG00000108510; ENSG00000108773; ENSG00000180182	2648; 9282; 9969	11	4
0.0078775524557	0.0473201220814	TRRAP/GCN5	PINdb	ENSG00000108510; ENSG00000108773; ENSG00000180182	2648; 9282; 9969	11	5
0.0078775524557	0.0473201220814	CF IIAm complex (Cleavage factor IIAm complex)	CORUM	ENSG00000160201; ENSG00000167005; ENSG00000011304	5725; 7307; 11051	16	5
0.00946402441628	0.0473201220814	BCL6-ZBTB17 complex	CORUM	ENSG00000116809; ENSG00000113916	604; 7709	2	2
0.00946402441628	0.0473201220814	CDH4-HDAC2-MTA2-RBBP7-TWIST1 complex	CORUM	ENSG00000122691; ENSG00000111642	1108; 7291	5	2
0.00946402441628	0.0473201220814	KAT2A-Oxoglutarate dehydrogenase complex	CORUM	ENSG00000119689; ENSG00000108773	1743; 2648	4	2
0.00946402441628	0.0473201220814	POU5F1:SOX2:NANOG:KLF4:PBX1:SMAD2:FOXP1-ES:NANOG gene	Reactome	ENSG00000111704; ENSG00000185630	5087; 79923	9	2
0.00946402441628	0.0473201220814	CtBP1/CBP/TCF/TLE1	BioCarta	ENSG00000196781; ENSG00000135100	6927; 7088	4	2
0.00946402441628	0.0473201220814	CtBP/CBP/TCF1/TLE1/AES	PID	ENSG00000196781; ENSG00000135100	6927; 7088	5	2
0.00946402441628	0.0473201220814	beta catenin/TCF1/CtBP/CBP/TLE1/AES/SMAD4	PID	ENSG00000196781; ENSG00000135100	6927; 7088	6	2
0.00946402441628	0.0473201220814	beta-catenin/TCF/CtBP1/CBP/TLE1/SMAD4	BioCarta	ENSG00000196781; ENSG00000135100	6927; 7088	6	2
0.00946402441628	0.0473201220814	Su(H):CoR	INOH	ENSG00000140332; ENSG00000196781	7088; 7090	6	2
