p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
0.000422770777997	0.0287484129038	GO:0000974	c	2	Prp19 complex	55696; 56949; 25949	SYF2; RBM22; XAB2	14	3
0.00175503252713	0.266136621404	GO:0070727	b	3	cellular macromolecule localization	142; 677; 701; 1315; 55696; 3155; 55198; 4000; 4038; 4736; 4792; 5394; 5756; 5873; 6495; 6727; 6993; 7474; 8506; 9211; 9868; 10516; 10527; 10979; 10981; 11043; 11231; 7545; 51308; 29916; 472; 79735; 83548; 51179; 51496; 53407; 54875; 22841; 23379; 27237; 51520	BUB1B; NFKBIA; SEC63; CNTNAP1; ICE1; LGI1; MID2; TOMM70; FBLN5; EXOSC10; RAB32; SNX11; DYNLT1; SIX1; COG3; SRP14; RPL10A; REEP2; LARS; ATM; ARHGEF16; RAB11FIP2; HMGCL; ZIC1; PARP1; ZFP36L1; FERMT2; APPL2; STX18; LMNA; HAO2; TWF1; RAB27A; CNTLN; LRP4; CTDSPL2; RBM22; COPB1; IPO7; WNT5A; TBC1D17	1862	349
0.00264549254708	0.266136621404	GO:0050891	b	3	multicellular organismal water homeostasis	6722; 79152; 3037; 22841; 126695	RAB11FIP2; SRF; FA2H; HAS2; KDF1	65	14
0.00264549254708	0.283471190614	GO:0044784	b	4	metaphase/anaphase transition of cell cycle	701; 84101; 51433; 472; 348654	USP44; ATM; ANAPC5; GEN1; BUB1B	56	14
0.00264549254708	0.283471190614	GO:0051306	b	4	mitotic sister chromatid separation	701; 84101; 51433; 472; 348654	USP44; ATM; ANAPC5; GEN1; BUB1B	60	14
0.00298401372788	0.375423934619	GO:0007188	b	5	adenylate cyclase-modulating G protein-coupled receptor signaling pathway	146; 147; 577; 1816; 2775; 3361; 5745; 55366	PTH1R; HTR5A; ADRA1B; ADRA1D; LGR4; GNAO1; DRD5; ADGRB3	220	34
0.00349980665963	0.266136621404	GO:0030154	b	3	cell differentiation	142; 577; 676; 677; 94081; 862; 1282; 1295; 1620; 2050; 54626; 2294; 2775; 55198; 4000; 4038; 4054; 4792; 4868; 5274; 5745; 5756; 5873; 6096; 6495; 6722; 6993; 7474; 8482; 8506; 9211; 9948; 10769; 10810; 10979; 10981; 51668; 51092; 7545; 79152; 374308; 472; 79893; 81532; 343930; 112724; 3037; 84530; 440275; 118856; 54456; 55366; 252995; 56920; 11075; 91584; 25809; 27031; 27044; 27289; 27319; 266743; 126695; 63978; 64399; 22903	PTH1R; LGR4; SND1; STMN2; GNAO1; NFKBIA; KDF1; SIX1; CNTNAP1; RND1; RUNX1T1; LGI1; SFXN1; SRF; MOV10L1; WDR1; WASF3; ATM; MMP21; NPAS4; DYNLT1; RORB; EIF2AK4; FOXF1; ZIC1; BRDT; SERPINI1; HAS2; ADGRB3; COL8A1; PLK2; LTBP3; EPHB4; FNDC5; TTLL1; PARP1; ZFP36L1; FERMT2; APPL2; PTCHD3; COL4A1; NPHS1; MOB2; LMNA; SIDT2; SEMA7A; WNT5A; BRINP1; RAB32; TWF1; RAB27A; PRDM14; SEMA3G; LRP4; MSGN1; BHLHE22; FA2H; NPHP3; PLXNA4; HSPB11; BTBD3; RDH13; HES2; SRRM4; GGNBP2; HHIP	4089	652
0.00372810834284	0.375423934619	GO:0030104	b	5	water homeostasis	6722; 79152; 3037; 22841; 126695	RAB11FIP2; SRF; FA2H; HAS2; KDF1	69	15
0.0037699220113	0.283471190614	GO:0060292	b	4	long-term synaptic depression	1816; 6722; 10769	PLK2; DRD5; SRF	30	5
0.0037699220113	0.283471190614	GO:0033561	b	4	regulation of water loss via skin	6722; 79152; 126695	SRF; FA2H; KDF1	24	5
0.00436018974445	0.266136621404	GO:0048468	b	3	cell development	577; 1620; 2050; 54626; 2775; 55198; 4000; 4038; 4868; 5274; 5745; 5756; 6096; 6495; 6722; 6993; 7474; 8482; 8506; 9211; 9948; 10769; 10810; 10979; 51092; 79152; 374308; 81532; 112724; 3037; 84530; 440275; 54456; 56920; 11075; 91584; 25809; 27289; 126695; 63978; 22903	PTH1R; STMN2; GNAO1; PLK2; KDF1; SIX1; CNTNAP1; LGI1; TTLL1; MOV10L1; EPHB4; WASF3; DYNLT1; RORB; EIF2AK4; SERPINI1; HAS2; ADGRB3; SRF; WDR1; FERMT2; APPL2; PTCHD3; NPHS1; MOB2; LMNA; SIDT2; SEMA7A; HES2; BRINP1; TWF1; PRDM14; SEMA3G; LRP4; FA2H; PLXNA4; RND1; RDH13; WNT5A; SRRM4; BTBD3	2110	366
0.00436219795997	0.283471190614	GO:0071478	b	4	cellular response to radiation	142; 5995; 10635; 10715; 472; 440275; 348654; 55872	RGR; CERS1; ATM; EIF2AK4; PARP1; RAD51AP1; GEN1; PBK	193	36
0.00440632657925	0.325326159322	GO:0048869	b	2	cellular developmental process	27319; 142; 577; 676; 677; 94081; 64405; 862; 1282; 1295; 1620; 2050; 2294; 2775; 55198; 4000; 4038; 4054; 4792; 4868; 5274; 5745; 5756; 5873; 6096; 6495; 6722; 6993; 7474; 8482; 8506; 9211; 9948; 10769; 10810; 10979; 10981; 51668; 51092; 7545; 79152; 374308; 472; 79893; 81532; 343930; 112724; 3037; 84530; 440275; 118856; 54626; 54456; 55366; 23580; 56920; 11075; 91584; 25809; 27031; 27044; 27289; 266743; 126695; 252995; 63978; 64399; 22903	PTH1R; LGR4; CDC42EP4; SND1; STMN2; GNAO1; NFKBIA; KDF1; SIX1; CNTNAP1; RND1; RUNX1T1; LGI1; SFXN1; SRF; MOV10L1; WDR1; WASF3; ATM; MMP21; NPAS4; BHLHE22; RORB; EIF2AK4; FOXF1; ZIC1; BRDT; SERPINI1; HAS2; ADGRB3; COL8A1; PLK2; LTBP3; EPHB4; FNDC5; DYNLT1; CDH22; TTLL1; PARP1; ZFP36L1; FERMT2; APPL2; PTCHD3; COL4A1; NPHS1; MOB2; LMNA; SIDT2; SEMA7A; HES2; BRINP1; RAB32; TWF1; RAB27A; PRDM14; SEMA3G; LRP4; MSGN1; FA2H; NPHP3; PLXNA4; HSPB11; BTBD3; RDH13; WNT5A; SRRM4; GGNBP2; HHIP	4275	682
0.00444784865409	0.283471190614	GO:0007399	b	4	nervous system development	577; 677; 64405; 1282; 1620; 2050; 54626; 2775; 3361; 4038; 5274; 5756; 6096; 6327; 6495; 6687; 6722; 6993; 7474; 8482; 8506; 9211; 9948; 10769; 10810; 7545; 79152; 81532; 112724; 84277; 84530; 84747; 347730; 440275; 55198; 56920; 56949; 11075; 91584; 27031; 27289; 27319; 266743; 29114; 64399; 22903	HTR5A; NPAS4; SPG7; UNC119B; GNAO1; PLK2; SIX1; CNTNAP1; LGI1; WDR1; WASF3; STMN2; DYNLT1; RORB; SCN2B; LRRTM1; EIF2AK4; ZIC1; SERPINI1; TAGLN3; ADGRB3; SRF; EPHB4; CDH22; DNAJC30; ZFP36L1; APPL2; COL4A1; MOB2; SEMA7A; HES2; BRINP1; TWF1; NPHP3; SEMA3G; LRP4; BHLHE22; FA2H; PLXNA4; RND1; RDH13; WNT5A; SRRM4; XAB2; BTBD3; HHIP	2335	423
0.00458856243799	0.266136621404	GO:0031577	b	3	spindle checkpoint	701; 84101; 472; 348654	USP44; ATM; GEN1; BUB1B	34	10
0.00458856243799	0.283471190614	GO:0071173	b	4	spindle assembly checkpoint	701; 84101; 472; 348654	USP44; ATM; GEN1; BUB1B	34	10
0.00458856243799	0.283471190614	GO:0071174	b	4	mitotic spindle checkpoint	701; 84101; 472; 348654	USP44; ATM; GEN1; BUB1B	34	10
0.00458856243799	0.283471190614	GO:0008299	b	4	isoprenoid biosynthetic process	2222; 4598; 27235; 64577	ALDH8A1; MVK; FDFT1; COQ2	28	10
0.00458856243799	0.375423934619	GO:0007094	b	5	mitotic spindle assembly checkpoint	701; 84101; 472; 348654	USP44; ATM; GEN1; BUB1B	34	10
0.00565784624908	0.325326159322	GO:0097242	b	2	amyloid-beta clearance	4038; 6722	SRF; LRP4	30	2
0.00565784624908	0.161438068792	GO:0097255	c	2	R2TP complex	8607; 120379	PIH1D2; RUVBL1	5	2
0.00565784624908	0.18670892622	GO:0035650	m	3	AP-1 adaptor complex binding	10981; 51092	RAB32; SIDT2	5	2
0.00565784624908	0.18670892622	GO:0035612	m	3	AP-2 adaptor complex binding	10981; 51092	RAB32; SIDT2	9	2
0.00565784624908	0.150875899976	GO:0098642	c	3	network-forming collagen trimer	1282; 1295	COL8A1; COL4A1	7	2
0.00565784624908	0.150875899976	GO:0098645	c	3	collagen network	1282; 1295	COL8A1; COL4A1	7	2
0.00565784624908	0.150875899976	GO:0098651	c	3	basement membrane collagen trimer	1282; 1295	COL8A1; COL4A1	8	2
0.00565784624908	0.289471810041	GO:0032291	b	4	axon ensheathment in central nervous system	8506; 79152	CNTNAP1; FA2H	19	2
0.00565784624908	0.375423934619	GO:0061643	b	5	chemorepulsion of axon	7474; 91584	WNT5A; PLXNA4	4	2
0.00565784624908	0.375423934619	GO:1904862	b	5	inhibitory synapse assembly	7474; 266743	WNT5A; NPAS4	4	2
0.00565784624908	0.375423934619	GO:0022010	b	5	central nervous system myelination	8506; 79152	CNTNAP1; FA2H	19	2
0.00565784624908	0.220656003714	GO:0031905	c	5	early endosome lumen	8572; 10981	PDLIM4; RAB32	5	2
