p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
1.94711899204e-06	0.000687333004188	GO:0048468	b	3	cell development	347; 1620; 2050; 54626; 2692; 2775; 3146; 3274; 3418; 55198; 3549; 4000; 4038; 4088; 4148; 4168; 4851; 4868; 4884; 5139; 5274; 5745; 5756; 6096; 6495; 6722; 6993; 7474; 729230; 8482; 8506; 23303; 8994; 9211; 9948; 23603; 10660; 10769; 10810; 10882; 10979; 51092; 79152; 374308; 113246; 81532; 114788; 118427; 112724; 3037; 84530; 440275; 54413; 54456; 54768; 644943; 23271; 56896; 56920; 57118; 11075; 57662; 91584; 25809; 26050; 26281; 27289; 126695; 57715; 65125; 30819; 63978; 22903	ENSG00000196411; ENSG00000189058; ENSG00000145632; ENSG00000144791; ENSG00000172572; ENSG00000149577; ENSG00000136044; ENSG00000160801; ENSG00000189403; ENSG00000106128; ENSG00000078725; ENSG00000161270; ENSG00000163536; ENSG00000121807; ENSG00000197892; ENSG00000128829; ENSG00000182208; ENSG00000108797; ENSG00000165300; ENSG00000148400; ENSG00000073712; ENSG00000103089; ENSG00000221866; ENSG00000100271; ENSG00000138136; ENSG00000087258; ENSG00000138623; ENSG00000060237; ENSG00000118733; ENSG00000071127; ENSG00000132970; ENSG00000118200; ENSG00000076826; ENSG00000132031; ENSG00000078579; ENSG00000069812; ENSG00000139767; ENSG00000101977; ENSG00000157851; ENSG00000196338; ENSG00000104435; ENSG00000151239; ENSG00000131094; ENSG00000160439; ENSG00000189431; ENSG00000175707; ENSG00000114251; ENSG00000146425; ENSG00000164796; ENSG00000095539; ENSG00000113749; ENSG00000171246; ENSG00000111678; ENSG00000147596; ENSG00000183049; ENSG00000163501; ENSG00000182077; ENSG00000010319; ENSG00000073146; ENSG00000198963; ENSG00000132640; ENSG00000182054; ENSG00000172602; ENSG00000108231; ENSG00000134569; ENSG00000160789; ENSG00000157423; ENSG00000120049; ENSG00000110880; ENSG00000126778; ENSG00000170961; ENSG00000112658; ENSG00000166949	2110	556
5.86937382482e-06	0.000798234840175	GO:0048869	b	2	cellular developmental process	27319; 142; 347; 360; 676; 677; 94081; 64405; 862; 1282; 1295; 1620; 2050; 2294; 2692; 2775; 3146; 3274; 3418; 55198; 3549; 3736; 4000; 4038; 4054; 4088; 4148; 4168; 4327; 4792; 4851; 4868; 4884; 5139; 5274; 5745; 5756; 5813; 5873; 6096; 6495; 6722; 6993; 7474; 729230; 8482; 8506; 8554; 23303; 8994; 9211; 9948; 10395; 23603; 10660; 10769; 10810; 10882; 10979; 10981; 51668; 51092; 7545; 79152; 374308; 472; 79893; 113246; 150094; 81532; 343930; 114788; 118427; 112724; 3037; 84417; 84530; 100289087; 440275; 118856; 54626; 54413; 54456; 54768; 644943; 55366; 57496; 55544; 55686; 23271; 23580; 56896; 56920; 57118; 11075; 57662; 91584; 25809; 26050; 26281; 26585; 27031; 27044; 27289; 266743; 126695; 252995; 57715; 65125; 30819; 63978; 64399; 22903	ENSG00000196411; ENSG00000189058; ENSG00000087258; ENSG00000132031; ENSG00000161270; ENSG00000185650; ENSG00000128829; ENSG00000182208; ENSG00000132819; ENSG00000185129; ENSG00000152977; ENSG00000071127; ENSG00000118200; ENSG00000138623; ENSG00000151239; ENSG00000157851; ENSG00000174576; ENSG00000164161; ENSG00000079102; ENSG00000186260; ENSG00000171246; ENSG00000069974; ENSG00000111678; ENSG00000175707; ENSG00000142178; ENSG00000147596; ENSG00000182054; ENSG00000197157; ENSG00000081870; ENSG00000111262; ENSG00000157423; ENSG00000146425; ENSG00000137948; ENSG00000134569; ENSG00000160801; ENSG00000148400; ENSG00000108231; ENSG00000205213; ENSG00000160097; ENSG00000114251; ENSG00000168056; ENSG00000144810; ENSG00000112658; ENSG00000131094; ENSG00000189431; ENSG00000126778; ENSG00000143799; ENSG00000164741; ENSG00000069812; ENSG00000182077; ENSG00000010319; ENSG00000119147; ENSG00000113971; ENSG00000060237; ENSG00000149654; ENSG00000170961; ENSG00000160789; ENSG00000149577; ENSG00000172572; ENSG00000106128; ENSG00000078725; ENSG00000164466; ENSG00000144791; ENSG00000108797; ENSG00000123342; ENSG00000118242; ENSG00000100271; ENSG00000118733; ENSG00000183049; ENSG00000151379; ENSG00000149311; ENSG00000163501; ENSG00000172602; ENSG00000076826; ENSG00000180828; ENSG00000166923; ENSG00000187498; ENSG00000078579; ENSG00000198963; ENSG00000118508; ENSG00000145632; ENSG00000110880; ENSG00000160439; ENSG00000073146; ENSG00000166949; ENSG00000033800; ENSG00000136044; ENSG00000236424; ENSG00000163536; ENSG00000121807; ENSG00000197892; ENSG00000165300; ENSG00000073712; ENSG00000165272; ENSG00000179604; ENSG00000221866; ENSG00000132970; ENSG00000278311; ENSG00000139767; ENSG00000101977; ENSG00000196338; ENSG00000104435; ENSG00000100906; ENSG00000132640; ENSG00000103089; ENSG00000138136; ENSG00000095539; ENSG00000113749; ENSG00000189403; ENSG00000120049; ENSG00000154485; ENSG00000164796; ENSG00000103241	4275	1010
7.28004149975e-06	0.00497954838583	GO:0007399	b	4	nervous system development	347; 677; 64405; 1282; 1620; 2050; 54626; 2692; 2775; 3146; 3361; 3418; 3549; 3736; 4038; 4168; 4851; 4884; 5274; 5756; 5813; 6096; 6327; 6495; 6687; 6722; 6872; 6993; 7474; 729230; 8482; 8506; 23303; 9211; 9948; 10395; 10660; 10769; 10810; 10882; 7545; 79152; 113246; 441381; 81532; 114788; 118427; 112724; 84277; 84530; 84747; 347730; 440275; 54413; 54768; 644943; 55198; 23271; 56896; 56920; 56949; 57118; 11075; 57662; 91584; 26050; 26281; 27031; 27289; 27319; 266743; 94030; 29114; 57715; 30819; 64399; 65125; 22903	ENSG00000196411; ENSG00000189058; ENSG00000183049; ENSG00000149575; ENSG00000087258; ENSG00000136044; ENSG00000106128; ENSG00000078725; ENSG00000076924; ENSG00000163536; ENSG00000121807; ENSG00000197912; ENSG00000197892; ENSG00000185650; ENSG00000128829; ENSG00000182208; ENSG00000108797; ENSG00000076826; ENSG00000060237; ENSG00000148400; ENSG00000103089; ENSG00000221866; ENSG00000138136; ENSG00000132640; ENSG00000108231; ENSG00000185129; ENSG00000152977; ENSG00000071127; ENSG00000132970; ENSG00000118733; ENSG00000118200; ENSG00000138623; ENSG00000162951; ENSG00000151239; ENSG00000139767; ENSG00000101977; ENSG00000157851; ENSG00000196338; ENSG00000104435; ENSG00000112658; ENSG00000174576; ENSG00000164161; ENSG00000131094; ENSG00000180828; ENSG00000144834; ENSG00000189431; ENSG00000131409; ENSG00000114251; ENSG00000146425; ENSG00000160439; ENSG00000095539; ENSG00000157423; ENSG00000187498; ENSG00000176410; ENSG00000171246; ENSG00000111678; ENSG00000164741; ENSG00000163501; ENSG00000078579; ENSG00000010319; ENSG00000198963; ENSG00000182054; ENSG00000172602; ENSG00000145632; ENSG00000134569; ENSG00000111262; ENSG00000164796; ENSG00000113971; ENSG00000175970; ENSG00000120049; ENSG00000149654; ENSG00000165300; ENSG00000126778; ENSG00000069812; ENSG00000157219; ENSG00000147133; ENSG00000189403; ENSG00000254402	2335	628
8.2215796154e-06	0.00145110880212	GO:0030154	b	3	cell differentiation	142; 347; 360; 676; 677; 94081; 862; 1282; 1295; 1620; 2050; 54626; 2294; 2692; 2775; 3146; 3274; 3418; 55198; 3549; 3736; 4000; 4038; 4054; 4088; 4148; 4168; 4327; 4792; 4851; 4868; 4884; 5139; 5274; 5745; 5756; 5813; 5873; 6096; 6495; 6722; 6993; 7474; 729230; 8482; 8506; 8554; 23303; 8994; 9211; 9948; 23603; 10660; 10769; 10810; 10882; 10979; 10981; 51668; 51092; 7545; 79152; 374308; 472; 79893; 113246; 150094; 81532; 343930; 114788; 57496; 118427; 112724; 3037; 84530; 100289087; 440275; 118856; 54413; 54456; 54768; 644943; 55366; 55544; 55686; 23271; 252995; 56896; 56920; 57118; 11075; 57662; 91584; 25809; 26050; 26281; 26585; 27031; 27044; 27289; 27319; 266743; 126695; 57715; 65125; 30819; 63978; 64399; 22903	ENSG00000196411; ENSG00000189058; ENSG00000087258; ENSG00000132031; ENSG00000161270; ENSG00000185650; ENSG00000128829; ENSG00000182208; ENSG00000132819; ENSG00000185129; ENSG00000152977; ENSG00000071127; ENSG00000118200; ENSG00000138623; ENSG00000151239; ENSG00000157851; ENSG00000174576; ENSG00000164161; ENSG00000079102; ENSG00000186260; ENSG00000171246; ENSG00000069974; ENSG00000111678; ENSG00000175707; ENSG00000142178; ENSG00000147596; ENSG00000182054; ENSG00000197157; ENSG00000081870; ENSG00000111262; ENSG00000157423; ENSG00000146425; ENSG00000137948; ENSG00000134569; ENSG00000160801; ENSG00000148400; ENSG00000108231; ENSG00000205213; ENSG00000160097; ENSG00000114251; ENSG00000168056; ENSG00000144810; ENSG00000112658; ENSG00000131094; ENSG00000189431; ENSG00000126778; ENSG00000143799; ENSG00000183049; ENSG00000069812; ENSG00000182077; ENSG00000010319; ENSG00000113971; ENSG00000060237; ENSG00000170961; ENSG00000160789; ENSG00000149577; ENSG00000172572; ENSG00000106128; ENSG00000078725; ENSG00000164466; ENSG00000144791; ENSG00000108797; ENSG00000123342; ENSG00000118242; ENSG00000100271; ENSG00000118733; ENSG00000076826; ENSG00000151379; ENSG00000149311; ENSG00000163501; ENSG00000172602; ENSG00000180828; ENSG00000166923; ENSG00000187498; ENSG00000078579; ENSG00000198963; ENSG00000118508; ENSG00000145632; ENSG00000110880; ENSG00000160439; ENSG00000073146; ENSG00000166949; ENSG00000033800; ENSG00000136044; ENSG00000236424; ENSG00000163536; ENSG00000121807; ENSG00000197892; ENSG00000165300; ENSG00000073712; ENSG00000165272; ENSG00000221866; ENSG00000132970; ENSG00000278311; ENSG00000139767; ENSG00000101977; ENSG00000196338; ENSG00000104435; ENSG00000100906; ENSG00000132640; ENSG00000103089; ENSG00000138136; ENSG00000095539; ENSG00000113749; ENSG00000189403; ENSG00000120049; ENSG00000154485; ENSG00000164796; ENSG00000103241	4089	971
3.1991946162e-05	0.0109412455874	GO:0022008	b	4	neurogenesis	347; 1620; 2050; 54626; 2775; 3146; 3418; 3549; 3736; 4038; 4168; 4851; 4884; 5274; 5756; 6096; 6495; 6722; 6993; 7474; 729230; 8482; 8506; 23303; 9211; 9948; 10660; 10769; 10810; 10882; 79152; 113246; 81532; 114788; 118427; 112724; 84530; 440275; 54413; 644943; 55198; 23271; 56896; 56920; 57118; 11075; 57662; 91584; 26050; 26281; 27289; 27319; 57715; 30819; 64399; 65125; 22903	ENSG00000196411; ENSG00000189058; ENSG00000087258; ENSG00000136044; ENSG00000146425; ENSG00000078725; ENSG00000163536; ENSG00000121807; ENSG00000197892; ENSG00000128829; ENSG00000182208; ENSG00000108797; ENSG00000165300; ENSG00000148400; ENSG00000103089; ENSG00000138136; ENSG00000132640; ENSG00000108231; ENSG00000060237; ENSG00000118733; ENSG00000071127; ENSG00000132970; ENSG00000118200; ENSG00000076826; ENSG00000138623; ENSG00000151239; ENSG00000139767; ENSG00000101977; ENSG00000157851; ENSG00000196338; ENSG00000104435; ENSG00000112658; ENSG00000131094; ENSG00000180828; ENSG00000189431; ENSG00000164161; ENSG00000114251; ENSG00000160439; ENSG00000095539; ENSG00000171246; ENSG00000111678; ENSG00000183049; ENSG00000163501; ENSG00000078579; ENSG00000010319; ENSG00000198963; ENSG00000182054; ENSG00000172602; ENSG00000145632; ENSG00000134569; ENSG00000111262; ENSG00000164796; ENSG00000221866; ENSG00000120049; ENSG00000126778; ENSG00000069812; ENSG00000189403	1580	433
4.01581748436e-05	0.0231712668848	GO:0048699	b	5	generation of neurons	347; 1620; 2050; 2775; 3146; 3418; 3549; 3736; 4038; 4168; 4851; 4884; 5274; 5756; 6096; 6495; 6722; 6993; 7474; 729230; 8482; 8506; 23303; 9211; 9948; 10660; 10769; 10882; 113246; 81532; 114788; 118427; 112724; 84530; 440275; 54413; 54626; 644943; 55198; 23271; 56896; 56920; 57118; 11075; 57662; 91584; 26050; 26281; 27289; 57715; 30819; 64399; 65125; 22903	ENSG00000196411; ENSG00000189058; ENSG00000087258; ENSG00000136044; ENSG00000146425; ENSG00000078725; ENSG00000163536; ENSG00000121807; ENSG00000197892; ENSG00000128829; ENSG00000182208; ENSG00000108797; ENSG00000165300; ENSG00000148400; ENSG00000164161; ENSG00000138136; ENSG00000132640; ENSG00000108231; ENSG00000060237; ENSG00000118733; ENSG00000071127; ENSG00000118200; ENSG00000076826; ENSG00000138623; ENSG00000151239; ENSG00000139767; ENSG00000101977; ENSG00000157851; ENSG00000196338; ENSG00000104435; ENSG00000112658; ENSG00000131094; ENSG00000189431; ENSG00000114251; ENSG00000160439; ENSG00000095539; ENSG00000171246; ENSG00000111678; ENSG00000183049; ENSG00000163501; ENSG00000078579; ENSG00000010319; ENSG00000198963; ENSG00000182054; ENSG00000172602; ENSG00000145632; ENSG00000134569; ENSG00000111262; ENSG00000164796; ENSG00000221866; ENSG00000120049; ENSG00000126778; ENSG00000069812; ENSG00000189403	1483	406
5.28289189931e-05	0.0120449935304	GO:0085029	b	4	extracellular matrix assembly	3549; 4088; 4851; 10516; 3037	ENSG00000170961; ENSG00000140092; ENSG00000166949; ENSG00000163501; ENSG00000148400	23	7
0.000135419367375	0.0231567118212	GO:0048666	b	4	neuron development	347; 2050; 2775; 3146; 3549; 4038; 4168; 4851; 4884; 5274; 5756; 6096; 6722; 7474; 8482; 8506; 23303; 9211; 10769; 10882; 113246; 81532; 114788; 118427; 112724; 84530; 440275; 54413; 23271; 56896; 56920; 57118; 11075; 57662; 91584; 26050; 27289; 57715; 30819; 65125; 22903	ENSG00000196411; ENSG00000189058; ENSG00000087258; ENSG00000163536; ENSG00000197892; ENSG00000128829; ENSG00000182208; ENSG00000108797; ENSG00000165300; ENSG00000148400; ENSG00000108231; ENSG00000060237; ENSG00000118733; ENSG00000118200; ENSG00000076826; ENSG00000138623; ENSG00000151239; ENSG00000139767; ENSG00000101977; ENSG00000157851; ENSG00000196338; ENSG00000104435; ENSG00000112658; ENSG00000131094; ENSG00000132640; ENSG00000114251; ENSG00000095539; ENSG00000171246; ENSG00000111678; ENSG00000183049; ENSG00000163501; ENSG00000010319; ENSG00000198963; ENSG00000172602; ENSG00000145632; ENSG00000134569; ENSG00000164796; ENSG00000221866; ENSG00000120049; ENSG00000160439; ENSG00000189403	1088	294
0.000165373721396	0.0477103186228	GO:0051960	b	5	regulation of nervous system development	1620; 3418; 4038; 4168; 4851; 5274; 5756; 6495; 6722; 6993; 7474; 729230; 8482; 23303; 9948; 10660; 10769; 10810; 441381; 81532; 114788; 347730; 440275; 54413; 54626; 644943; 55198; 23271; 56920; 57118; 11075; 91584; 26050; 26281; 27031; 94030; 57715	ENSG00000197892; ENSG00000136044; ENSG00000146425; ENSG00000078725; ENSG00000163536; ENSG00000121807; ENSG00000128829; ENSG00000182208; ENSG00000148400; ENSG00000221866; ENSG00000071127; ENSG00000132970; ENSG00000118200; ENSG00000138623; ENSG00000162951; ENSG00000151239; ENSG00000101977; ENSG00000196338; ENSG00000104435; ENSG00000112658; ENSG00000114251; ENSG00000189431; ENSG00000138136; ENSG00000095539; ENSG00000183049; ENSG00000069812; ENSG00000078579; ENSG00000010319; ENSG00000182054; ENSG00000131409; ENSG00000145632; ENSG00000134569; ENSG00000165300; ENSG00000113971; ENSG00000126778; ENSG00000164796; ENSG00000254402	894	258
0.000214213755717	0.0238529984948	GO:0009799	b	3	specification of symmetry	2294; 3549; 4088; 4851; 6722; 7474; 10660; 118856; 26585; 27019; 27031	ENSG00000166923; ENSG00000122735; ENSG00000114251; ENSG00000166949; ENSG00000113971; ENSG00000138136; ENSG00000154485; ENSG00000103241; ENSG00000148400; ENSG00000163501; ENSG00000112658	126	41
