time_index	left_time_boundary	right_time_boundary	lambda
0	0	9.80575e-06	18683.2
1	9.80575e-06	2.1276e-05	18683.2
2	2.1276e-05	3.46934e-05	931.94
3	3.46934e-05	5.03884e-05	823.428
4	5.03884e-05	6.87475e-05	940.308
5	6.87475e-05	9.02232e-05	1118.91
6	9.02232e-05	0.000115344	1302.69
7	0.000115344	0.00014473	1454.78
8	0.00014473	0.000179103	1555.21
9	0.000179103	0.000219312	1597.52
10	0.000219312	0.000266346	1584.42
11	0.000266346	0.000321364	1524.71
12	0.000321364	0.000385721	1430.74
13	0.000385721	0.000461003	1316.08
14	0.000461003	0.000549064	1193.36
15	0.000549064	0.000652073	1072.86
16	0.000652073	0.000772568	961.881
17	0.000772568	0.000913517	864.863
18	0.000913517	0.00107839	783.912
19	0.00107839	0.00127126	719.466
20	0.00127126	0.00149686	670.91
21	0.00149686	0.00176075	637.056
22	0.00176075	0.00206945	616.499
23	0.00206945	0.00243054	607.795
24	0.00243054	0.00285293	609.471
25	0.00285293	0.00334702	619.895
26	0.00334702	0.00392499	636.974
27	0.00392499	0.00460106	664.014
28	0.00460106	0.00539189	664.014
29	0.00539189	0.00631697	582.968
30	0.00631697	0.00739908	582.968
31	0.00739908	inf	582.968
