time_index	left_time_boundary	right_time_boundary	lambda
0	0	5.99713e-06	23027.5
1	5.99713e-06	1.30123e-05	23027.5
2	1.30123e-05	2.12182e-05	22071.9
3	2.12182e-05	3.08171e-05	10712.4
4	3.08171e-05	4.20455e-05	6735.65
5	4.20455e-05	5.51798e-05	4910.24
6	5.51798e-05	7.05437e-05	3850.14
7	7.05437e-05	8.85156e-05	3165.72
8	8.85156e-05	0.000109538	2705.6
9	0.000109538	0.00013413	2384.4
10	0.00013413	0.000162895	2149.52
11	0.000162895	0.000196544	1969.61
12	0.000196544	0.000235904	1825.05
13	0.000235904	0.000281946	1701.82
14	0.000281946	0.000335803	1589.6
15	0.000335803	0.000398803	1481.85
16	0.000398803	0.000472497	1375.82
17	0.000472497	0.000558701	1271.77
18	0.000558701	0.000659537	1171.71
19	0.000659537	0.000777491	1078.17
20	0.000777491	0.000915467	993.34
21	0.000915467	0.00107686	918.629
22	0.00107686	0.00126566	854.582
23	0.00126566	0.0014865	800.915
24	0.0014865	0.00174483	756.487
25	0.00174483	0.00204701	719.129
26	0.00204701	0.00240049	684.993
27	0.00240049	0.00281397	621.019
28	0.00281397	0.00329764	621.019
29	0.00329764	0.00386341	188.724
30	0.00386341	0.00452522	188.724
31	0.00452522	inf	188.724
