time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.36661e-06	10467.6
1	4.36661e-06	9.47444e-06	10467.6
2	9.47444e-06	1.54493e-05	45612.1
3	1.54493e-05	2.24385e-05	28861.9
4	2.24385e-05	3.0614e-05	18507.7
5	3.0614e-05	4.01773e-05	11969.6
6	4.01773e-05	5.1364e-05	7849.37
7	5.1364e-05	6.44497e-05	5360.46
8	6.44497e-05	7.97566e-05	3885.4
9	7.97566e-05	9.76619e-05	2994.9
10	9.76619e-05	0.000118607	2432.08
11	0.000118607	0.000143107	2053.86
12	0.000143107	0.000171766	1782.15
13	0.000171766	0.000205289	1574.94
14	0.000205289	0.000244504	1410.23
15	0.000244504	0.000290375	1276.97
16	0.000290375	0.000344033	1169.79
17	0.000344033	0.000406799	1085.95
18	0.000406799	0.00048022	1023.63
19	0.00048022	0.000566104	981.384
20	0.000566104	0.000666566	958.088
21	0.000666566	0.000784082	953.117
22	0.000784082	0.000921547	966.708
23	0.000921547	0.00108235	1000.49
24	0.00108235	0.00127044	1058.48
25	0.00127044	0.00149046	1149.33
26	0.00149046	0.00174784	1292.79
27	0.00174784	0.0020489	1909.08
28	0.0020489	0.00240107	1909.08
29	0.00240107	0.00281301	33.9606
30	0.00281301	0.00329489	33.9606
31	0.00329489	inf	33.9606
