time_index	left_time_boundary	right_time_boundary	lambda
0	0	8.64396e-06	39962.6
1	8.64396e-06	1.87552e-05	39962.6
2	1.87552e-05	3.05829e-05	1.9638
3	3.05829e-05	4.44183e-05	14.0662
4	4.44183e-05	6.06023e-05	78.5551
5	6.06023e-05	7.95335e-05	229.406
6	7.95335e-05	0.000101678	395.041
7	0.000101678	0.000127582	521.221
8	0.000127582	0.000157883	622.81
9	0.000157883	0.000193328	713.662
10	0.000193328	0.000234789	794.465
11	0.000234789	0.000283288	860.896
12	0.000283288	0.000340021	909.179
13	0.000340021	0.000406383	937.862
14	0.000406383	0.00048401	947.554
15	0.00048401	0.000574815	940.442
16	0.000574815	0.000681034	919.998
17	0.000681034	0.000805283	890.577
18	0.000805283	0.000950624	856.857
19	0.000950624	0.00112064	823.218
20	0.00112064	0.00131951	793.3
21	0.00131951	0.00155214	769.904
22	0.00155214	0.00182426	755.081
23	0.00182426	0.00214257	750.375
24	0.00214257	0.00251492	756.972
25	0.00251492	0.00295047	775.864
26	0.00295047	0.00345995	808.394
27	0.00345995	0.00405592	923.263
28	0.00405592	0.00475306	923.263
29	0.00475306	0.00556853	92.5261
30	0.00556853	0.00652244	92.5261
31	0.00652244	inf	92.5261
