time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.79616e-06	101579
1	1.79616e-06	3.89721e-06	101579
2	3.89721e-06	6.35491e-06	115285
3	6.35491e-06	9.22981e-06	60856.3
4	9.22981e-06	1.25927e-05	43373.3
5	1.25927e-05	1.65265e-05	34945.2
6	1.65265e-05	2.1128e-05	29315.2
7	2.1128e-05	2.65107e-05	24572.9
8	2.65107e-05	3.2807e-05	20135.3
9	3.2807e-05	4.01721e-05	15919.5
10	4.01721e-05	4.87875e-05	12056.8
11	4.87875e-05	5.88653e-05	8746.26
12	5.88653e-05	7.06539e-05	6131.09
13	7.06539e-05	8.44435e-05	4225.87
14	8.44435e-05	0.000100574	2928.41
15	0.000100574	0.000119443	2085.95
16	0.000119443	0.000141514	1555
17	0.000141514	0.000167332	1227.37
18	0.000167332	0.000197533	1031.13
19	0.000197533	0.00023286	922.04
20	0.00023286	0.000274185	874.515
21	0.000274185	0.000322524	875.257
22	0.000322524	0.000379068	919.642
23	0.000379068	0.000445211	1010.6
24	0.000445211	0.000522582	1160.38
25	0.000522582	0.000613086	1397.98
26	0.000613086	0.000718954	1796.61
27	0.000718954	0.000842792	4577.71
28	0.000842792	0.000987652	4577.71
29	0.000987652	0.0011571	31.8314
30	0.0011571	0.00135532	31.8314
31	0.00135532	inf	31.8314
