time_index	left_time_boundary	right_time_boundary	lambda
0	0	6.15202e-06	30304
1	6.15202e-06	1.33483e-05	30304
2	1.33483e-05	2.17663e-05	9207.91
3	2.17663e-05	3.16131e-05	7717.62
4	3.16131e-05	4.31314e-05	6609.99
5	4.31314e-05	5.6605e-05	5592.31
6	5.6605e-05	7.23657e-05	4614.81
7	7.23657e-05	9.08018e-05	3742.29
8	9.08018e-05	0.000112367	3033.36
9	0.000112367	0.000137594	2495.07
10	0.000137594	0.000167102	2100.65
11	0.000167102	0.00020162	1813.6
12	0.00020162	0.000241997	1599.78
13	0.000241997	0.000289228	1432.04
14	0.000289228	0.000344477	1291.67
15	0.000344477	0.000409103	1168.02
16	0.000409103	0.000484701	1056.81
17	0.000484701	0.000573131	957.571
18	0.000573131	0.000676572	871.19
19	0.000676572	0.000797572	798.408
20	0.000797572	0.000939111	739.241
21	0.000939111	0.00110468	693.074
22	0.00110468	0.00129835	658.96
23	0.00129835	0.0015249	635.884
24	0.0015249	0.0017899	622.828
25	0.0017899	0.00209989	618.629
26	0.00209989	0.00246249	621.568
27	0.00246249	0.00288665	626.921
28	0.00288665	0.00338281	626.921
29	0.00338281	0.0039632	453.941
30	0.0039632	0.0046421	453.941
31	0.0046421	inf	453.941
