time_index	left_time_boundary	right_time_boundary	lambda
0	0	5.67344e-06	26362.9
1	5.67344e-06	1.231e-05	26362.9
2	1.231e-05	2.0073e-05	33837.3
3	2.0073e-05	2.91538e-05	17737.1
4	2.91538e-05	3.97761e-05	8511.95
5	3.97761e-05	5.22016e-05	4239.95
6	5.22016e-05	6.67362e-05	2510.28
7	6.67362e-05	8.37382e-05	1830.72
8	8.37382e-05	0.000103626	1575.62
9	0.000103626	0.00012689	1499.48
10	0.00012689	0.000154103	1493.46
11	0.000154103	0.000185936	1501.16
12	0.000185936	0.000223172	1492.9
13	0.000223172	0.000266728	1457.6
14	0.000266728	0.000317679	1396.91
15	0.000317679	0.000377278	1318.97
16	0.000377278	0.000446995	1233.12
17	0.000446995	0.000528546	1146.93
18	0.000528546	0.00062394	1065.43
19	0.00062394	0.000735527	991.444
20	0.000735527	0.000866056	926.181
21	0.000866056	0.00101874	869.902
22	0.00101874	0.00119735	822.311
23	0.00119735	0.00140627	782.803
24	0.00140627	0.00165066	750.467
25	0.00165066	0.00193653	723.844
26	0.00193653	0.00227093	700.274
27	0.00227093	0.00266209	652.296
28	0.00266209	0.00311966	652.296
29	0.00311966	0.00365489	199.946
30	0.00365489	0.00428098	199.946
31	0.00428098	inf	199.946
