time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.09106e-05	11627.5
1	1.09106e-05	2.36732e-05	11627.5
2	2.36732e-05	3.86023e-05	12001.4
3	3.86023e-05	5.60656e-05	3649.59
4	5.60656e-05	7.64934e-05	1904.31
5	7.64934e-05	0.000100389	1412.39
6	0.000100389	0.00012834	1261.3
7	0.00012834	0.000161037	1225.61
8	0.000161037	0.000199283	1223.87
9	0.000199283	0.000244022	1219.03
10	0.000244022	0.000296355	1194.46
11	0.000296355	0.000357572	1146.01
12	0.000357572	0.00042918	1077.52
13	0.00042918	0.000512944	996.768
14	0.000512944	0.000610927	912.236
15	0.000610927	0.000725543	830.915
16	0.000725543	0.000859614	757.573
17	0.000859614	0.00101644	694.838
18	0.00101644	0.0011999	643.765
19	0.0011999	0.00141449	604.428
20	0.00141449	0.00166551	576.347
21	0.00166551	0.00195914	558.8
22	0.00195914	0.00230261	550.989
23	0.00230261	0.00270439	552.123
24	0.00270439	0.00317437	561.393
25	0.00317437	0.00372413	577.843
26	0.00372413	0.00436722	600.108
27	0.00436722	0.00511946	634.767
28	0.00511946	0.0059994	634.767
29	0.0059994	0.00702871	625.029
30	0.00702871	0.00823274	625.029
31	0.00823274	inf	625.029
