time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.02205e-05	913.259
1	1.02205e-05	2.21758e-05	913.259
2	2.21758e-05	3.61607e-05	18833.6
3	3.61607e-05	5.25194e-05	14050.2
4	5.25194e-05	7.1655e-05	8511.45
5	7.1655e-05	9.40389e-05	5038.62
6	9.40389e-05	0.000120222	3149.07
7	0.000120222	0.000150851	2140.08
8	0.000150851	0.000186678	1583.11
9	0.000186678	0.000228587	1260.11
10	0.000228587	0.00027761	1063.64
11	0.00027761	0.000334955	939.407
12	0.000334955	0.000402034	858.498
13	0.000402034	0.0004805	804.531
14	0.0004805	0.000572285	767.637
15	0.000572285	0.000679651	741.43
16	0.000679651	0.000805242	721.441
17	0.000805242	0.000952152	704.196
18	0.000952152	0.001124	686.656
19	0.001124	0.00132502	665.871
20	0.00132502	0.00156016	638.798
21	0.00156016	0.00183522	602.363
22	0.00183522	0.00215697	553.936
23	0.00215697	0.00253334	492.438
24	0.00253334	0.00297359	420.036
25	0.00297359	0.00348858	343.505
26	0.00348858	0.00409098	273.582
27	0.00409098	0.00479565	220.745
28	0.00479565	0.00561993	220.745
29	0.00561993	0.00658413	11.3873
30	0.00658413	0.00771201	11.3873
31	0.00771201	inf	11.3873
