#IsRef	Pop	SampleName	bcf
Ref	A.PraslinPasquereRiver	PLPA3	/beegfs/group_dv/home/RCui/killifish_genomes/pseudogenomes/out_PLPPops2PLPLG/bcfs/PLP/PLPA3/called.bcf
Ref	A.PraslinPasquereRiver	PLPA4	/beegfs/group_dv/home/RCui/killifish_genomes/pseudogenomes/out_PLPPops2PLPLG.3/bcfs/PLP/PLPA4/called.bcf
Ref	B.PraslinPlaineHollandaise	PLPB3	/beegfs/group_dv/home/RCui/killifish_genomes/pseudogenomes/out_PLPPops2PLPLG/bcfs/PLP/PLPB3/called.bcf
Ref	C.PraslinWest	PLPC1	/beegfs/group_dv/home/RCui/killifish_genomes/pseudogenomes/out_PLPPops2PLPLG/bcfs/PLP/PLPC1/called.bcf
Ref	C.PraslinWest	PLPC2	/beegfs/group_dv/home/RCui/killifish_genomes/pseudogenomes/out_PLPPops2PLPLG.3/bcfs/PLP/PLPC2/called.bcf
Ref	C.PraslinWest	PLPC3	/beegfs/group_dv/home/RCui/killifish_genomes/pseudogenomes/out_PLPPops2PLPLG.3/bcfs/PLP/PLPC3/called.bcf
Ref	C.PraslinWest	PLPC4	/beegfs/group_dv/home/RCui/killifish_genomes/pseudogenomes/out_PLPPops2PLPLG.3/bcfs/PLP/PLPC4/called.bcf
Ref	D.LaDigue	PLPD0	/beegfs/group_dv/home/RCui/killifish_genomes/pseudogenomes/out_PLPPops2PLPLG.3/bcfs/PLP/PLPD0/called.bcf	
Ref	D.LaDigue	PLPD1	/beegfs/group_dv/home/RCui/killifish_genomes/pseudogenomes/out_PLPPops2PLPLG.3/bcfs/PLP/PLPD1/called.bcf
Ref	E.MaheNorth	PLPE1	/beegfs/group_dv/home/RCui/killifish_genomes/pseudogenomes/out_PLPPops2PLPLG/bcfs/PLP/PLPE1/called.bcf
Ref	E.MaheNorth	PLPE2	/beegfs/group_dv/home/RCui/killifish_genomes/pseudogenomes/out_PLPPops2PLPLG.2/bcfs/PLP/PLPE2/called.bcf
Ref	E.MaheNorth	PLPE3	/beegfs/group_dv/home/RCui/killifish_genomes/pseudogenomes/out_PLPPops2PLPLG.2/bcfs/PLP/PLPE3/called.bcf
Ref	E.MaheNorth	PLPE4	/beegfs/group_dv/home/RCui/killifish_genomes/pseudogenomes/out_PLPPops2PLPLG.2/bcfs/PLP/PLPE4/called.bcf
Ref	E.MaheNorth	PLPE5	/beegfs/group_dv/home/RCui/killifish_genomes/pseudogenomes/out_PLPPops2PLPLG.2/bcfs/PLP/PLPE5/called.bcf
Ref	F.Curieuse	PLPF1	/beegfs/group_dv/home/RCui/killifish_genomes/pseudogenomes/out_PLPPops2PLPLG.3/bcfs/PLP/PLPF1/called.bcf
Ref	F.Curieuse	PLPF2	/beegfs/group_dv/home/RCui/killifish_genomes/pseudogenomes/out_PLPPops2PLPLG/bcfs/PLP/PLPF2/called.bcf
Ref	F.Curieuse	PLPF3	/beegfs/group_dv/home/RCui/killifish_genomes/pseudogenomes/out_PLPPops2PLPLG.3/bcfs/PLP/PLPF3/called.bcf
Ref	G.MaheSouth	PLPG1	/beegfs/group_dv/home/RCui/killifish_genomes/pseudogenomes/out_PLPPops2PLPLG/bcfs/PLP/PLPG1/called.bcf
Ref	G.MaheSouth	PLPG3	/beegfs/group_dv/home/RCui/killifish_genomes/pseudogenomes/out_PLPPops2PLPLG.2/bcfs/PLP/PLPG3/called.bcf
Ref	G.MaheSouth	PLPG5	/beegfs/group_dv/home/RCui/killifish_genomes/pseudogenomes/out_PLPPops2PLPLG.2/bcfs/PLP/PLPG5/called.bcf
