Epiplatys	EDG,EGH,EGN,ELM,EMF,ESP,ETO
Archiaphyosemion	AMS,APT,ARG
Scriptaphyosemion	SBT,SCV,SGG,SSC
Callopanchax	CHW,CMR,CSB,CTO
AKN	AKN1,AKN2
Fundulopanchax	FAM,FDL,FFL,FSC,FSJ,FGR
Fundulosoma	FTH
Pronothobranchius	PSY
Nothobranchius	NFS,NKF,NOC,NOR,NRC,NVG,NVS,NFZ
Aplocheilidae	PLP,APL
CalScript	*Callopanchax,*Scriptaphyosemion
ArchiCalScript	*CalScript,*Archiaphyosemion
Callopanchacinae	*ArchiCalScript,*Epiplatys
PronothoNothos	*Nothobranchius,*Pronothobranchius
Nothobranchii	*PronothoNothos,*Fundulosoma
FunduloNothos	*Nothobranchii,*Fundulopanchax
Aphyosemion	AAU,ACG,ACL,ACM,ACY,AGM,AKM,APC,*AKN
Nothobranchiinae	*Aphyosemion,*FunduloNothos
Nothobranchiidae	*Nothobranchiinae,*Callopanchacinae
root	*Nothobranchiidae,*Aplocheilidae
