Group_3511_0	XM_015947006	rna8293	ppargc1a	XP_015802492.1
Group_724_1	XM_015946693	rna7909	mettl21a	XP_015802179.1
Group_1852_2	XM_015946699	rna7916	lancl1	XP_015802185.1
Group_5642_0	XM_015946764	rna7981	nelfa	XP_015802250.1
Group_3638_0	XM_015946771	rna7985	msmp	XP_015802257.1
Group_375_0	XM_015957284	rna179	tenm2	XP_015812770.1
Group_7703_0	XM_015974463	rna35077	iyd	XP_015829949.1
Group_444_3	XM_015947189	rna8401	foxo3	XP_015802675.1
Group_6858_0	XM_015947222	rna8437	LOC107377554	XP_015802708.1
Group_1552_0	XM_015947392	rna8601	tram2	XP_015802878.1
Group_145_8	XM_015947085	rna8623	LOC107377469	XP_015802571.1
Group_1651_0	XM_015947427	rna8636	laptm4a	XP_015802913.1
Group_3626_0	XM_015947450	rna8656	slc30a1	XP_015802936.1
Group_230_7	XM_015947451	rna8657	nek2	XP_015802937.1
Group_5025_0	XM_015947466	rna8671	slc35f6	XP_015802952.1
Group_341_2	XM_015947686	rna8894	LOC107377820	XP_015803172.1
Group_531_6	XM_015948029	rna9210	LOC107378025	XP_015803515.1
Group_2624_1	XM_015948350	rna9530	pnoc	XP_015803836.1
Group_1589_0	XM_015955437	rna16592	LOC107383034	XP_015810923.1
Group_156_8	XM_015955436	rna16590	LOC107383032	XP_015810922.1
Group_6332_0	XM_015955284	rna16437	tceb1	XP_015810770.1
Group_51_15	XM_015955283	rna16436	ube2w	XP_015810769.1
Group_1552_1	XM_015955260	rna16413	tram1	XP_015810746.1
Group_5751_0	XM_015955244	rna16394	cops5	XP_015810730.1
Group_3436_0	XM_015955231	rna16384	crh	XP_015810717.1
Group_3894_0	XM_015955223	rna16373	abhd10	XP_015810709.1
Group_49_32	XM_015955202	rna16352	cdk8	XP_015810688.1
Group_72_3	XM_015955130	rna16284	LOC107382816	XP_015810616.1
Group_2877_1	XM_015955121	rna16276	LOC107382810	XP_015810607.1
Group_312_4	XM_015955094	rna16249	trpc1	XP_015810580.1
Group_2893_0	XM_015954612	rna15756	LOC107382471	XP_015810098.1
Group_3039_0	XM_015954664	rna15808	tmem236	XP_015810150.1
Group_4230_0	XM_015954701	rna15845	vps41	XP_015810187.1
Group_6997_0	XM_015954705	rna15847	yae1d1	XP_015810191.1
Group_4146_0	XM_015954703	rna15848	LOC107382535	XP_015810189.1
Group_19_37	XM_015954562	rna15712	LOC107382429	XP_015810048.1
Group_6356_0	XM_015954147	rna15699	lias	XP_015809633.1
Group_462_8	XM_015954256	rna15592	LOC107382208	XP_015809742.1
Group_5721_0	XM_015954579	rna15556	LOC107382449	XP_015810065.1
Group_6_11	XM_015954306	rna15530	keap1	XP_015809792.1
Group_356_6	XM_015952860	rna13968	hcn4	XP_015808346.1
Group_1054_0	XM_015952843	rna13985	lpcat2	XP_015808329.1
Group_5477_0	XM_015952836	rna13994	fto	XP_015808322.1
Group_5284_0	XM_015954073	rna15231	kiaa0355	XP_015809559.1
Group_4116_1	XM_015953282	rna14044	fbxo22	XP_015808768.1
Group_5115_1	XM_015953193	rna14137	gtf2a2	XP_015808679.1
Group_3725_1	XM_015950660	rna11719	eif3j	XP_015806146.1
Group_6837_0	XM_015953133	rna14252	sdhaf2	XP_015808619.1
Group_8226_0	XM_015953134	rna14255	polr2l	XP_015808620.1
Group_2471_0	XM_015953088	rna14304	tmem9b	XP_015808574.1
Group_6331_0	XM_015953037	rna14350	tradd	XP_015808523.1
Group_1034_1	XM_015952987	rna14395	atxn1l	XP_015808473.1
Group_7065_0	XM_015952977	rna14404	marveld3	XP_015808463.1
Group_8670_0	XM_015953679	rna14668	LOC107381794	XP_015809165.1
Group_6169_0	XM_015956411	rna17624	ttc17	XP_015811897.1
Group_145_4	XM_015953681	rna14664	LOC107381797	XP_015809167.1
Group_1674_1	XM_015953580	rna14768	LOC107381739	XP_015809066.1
Group_5750_0	XM_015953455	rna14890	psmd14	XP_015808941.1
Group_794_2	XM_015952718	rna13860	rrad	XP_015808204.1
Group_77_28	XM_015952752	rna13894	abcb10	XP_015808238.1
Group_3317_0	XM_015952778	rna13921	ahctf1	XP_015808264.1
Group_180_11	XM_015953953	rna15153	slc7a6	XP_015809439.1
Group_3788_0	XM_015953944	rna15163	itfg1	XP_015809430.1
Group_1078_1	XM_015953943	rna15164	neto2	XP_015809429.1
Group_20_13	XM_015953926	rna15180	LOC107381980	XP_015809412.1
Group_4396_0	XM_015953917	rna15192	tdp1	XP_015809403.1
Group_6942_1	XM_015973312	rna33944	csgr19h18orf21	XP_015828798.1
Group_117_6	XM_015973544	rna34184	clk2	XP_015829030.1
