Protein stable ID	Human gene stable ID
ENSXMAP00000000003	ENSG00000113356
ENSXMAP00000000002	ENSG00000101463
ENSXMAP00000000006	ENSG00000044090
ENSXMAP00000000006	ENSG00000112659
ENSXMAP00000000004	ENSG00000176018
ENSXMAP00000000005	
ENSXMAP00000000007	
ENSXMAP00000000009	
ENSXMAP00000000008	ENSG00000187398
ENSXMAP00000000010	ENSG00000129151
ENSXMAP00000000011	
ENSXMAP00000000012	ENSG00000110514
ENSXMAP00000000013	ENSG00000100351
ENSXMAP00000000014	ENSG00000025434
ENSXMAP00000000017	ENSG00000100055
ENSXMAP00000000015	ENSG00000152219
ENSXMAP00000000016	
ENSXMAP00000000018	ENSG00000182255
ENSXMAP00000000019	ENSG00000177697
ENSXMAP00000000020	ENSG00000149483
ENSXMAP00000000021	ENSG00000156042
ENSXMAP00000000022	ENSG00000167986
ENSXMAP00000000023	ENSG00000214063
ENSXMAP00000000024	ENSG00000177156
ENSXMAP00000000025	ENSG00000169375
ENSXMAP00000000026	ENSG00000166426
ENSXMAP00000000027	ENSG00000160785
ENSXMAP00000000028	
ENSXMAP00000000029	
ENSXMAP00000000030	ENSG00000140367
ENSXMAP00000000031	ENSG00000117971
ENSXMAP00000000032	ENSG00000080644
ENSXMAP00000000033	ENSG00000169684
ENSXMAP00000000034	
ENSXMAP00000000035	ENSG00000156642
ENSXMAP00000000036	ENSG00000183324
ENSXMAP00000000037	ENSG00000138622
ENSXMAP00000000038	ENSG00000104808
ENSXMAP00000000039	ENSG00000067225
ENSXMAP00000000040	
ENSXMAP00000000041	ENSG00000137817
ENSXMAP00000000042	ENSG00000112874
ENSXMAP00000000043	
ENSXMAP00000000044	ENSG00000100084
ENSXMAP00000000045	ENSG00000136856
ENSXMAP00000000046	ENSG00000167094
ENSXMAP00000000047	ENSG00000187616
ENSXMAP00000000048	ENSG00000197859
ENSXMAP00000000049	ENSG00000196990
ENSXMAP00000000050	
ENSXMAP00000000051	ENSG00000160404
ENSXMAP00000000052	ENSG00000182180
ENSXMAP00000000053	ENSG00000196498
ENSXMAP00000000054	ENSG00000148842
ENSXMAP00000000058	ENSG00000111452
ENSXMAP00000000059	ENSG00000214435
ENSXMAP00000000056	
ENSXMAP00000000055	ENSG00000215148
ENSXMAP00000000055	ENSG00000005001
ENSXMAP00000000055	ENSG00000172382
ENSXMAP00000000055	ENSG00000116176
ENSXMAP00000000055	ENSG00000007038
ENSXMAP00000000055	ENSG00000103355
ENSXMAP00000000055	ENSG00000052344
ENSXMAP00000000057	ENSG00000175084
ENSXMAP00000000061	ENSG00000129518
ENSXMAP00000000063	ENSG00000104497
ENSXMAP00000000083	ENSG00000111450
ENSXMAP00000000067	ENSG00000166272
ENSXMAP00000000060	
ENSXMAP00000000126	ENSG00000162949
ENSXMAP00000000126	ENSG00000214711
ENSXMAP00000000062	ENSG00000165389
ENSXMAP00000000064	ENSG00000004961
ENSXMAP00000000069	ENSG00000129521
ENSXMAP00000000065	ENSG00000123146
ENSXMAP00000000066	ENSG00000108953
ENSXMAP00000000090	ENSG00000112249
ENSXMAP00000000068	ENSG00000122490
ENSXMAP00000000070	
ENSXMAP00000000071	ENSG00000151322
ENSXMAP00000000073	ENSG00000151322
