ENSLOCP00000000416	lcat (1 of many)	lecithin-cholesterol acyltransferase [Source:ZFIN%3BAcc:ZDB-GENE-010716-3]
ENSLOCP00000000456	pla2g15	phospholipase A2%2C group XV [Source:ZFIN%3BAcc:ZDB-GENE-030131-6948]
ENSLOCP00000000507	usb1	U6 snRNA biogenesis 1 [Source:ZFIN%3BAcc:ZDB-GENE-040801-197]
ENSLOCP00000000554	usb1	U6 snRNA biogenesis 1 [Source:ZFIN%3BAcc:ZDB-GENE-040801-197]
ENSLOCP00000000600	ZNF319 (1 of many)	zinc finger protein 319 [Source:HGNC Symbol%3BAcc:HGNC:13644]
ENSLOCP00000021767	si:ch211-107n13.1 (1 of many)	si:ch211-107n13.1 [Source:ZFIN%3BAcc:ZDB-GENE-060503-190]
ENSLOCP00000000195	unknown	unknown
ENSLOCP00000000216	unknown	unknown
ENSLOCP00000000498	mkrn4	makorin%2C ring finger protein%2C 4 [Source:ZFIN%3BAcc:ZDB-GENE-030131-5954]
ENSLOCP00000000544	fance	Fanconi anemia%2C complementation group E [Source:ZFIN%3BAcc:ZDB-GENE-060510-5]
ENSLOCP00000000590	rpl10a	ribosomal protein L10a [Source:ZFIN%3BAcc:ZDB-GENE-030131-2025]
ENSLOCP00000000626	unknown	unknown
ENSLOCP00000000143	unknown	unknown
ENSLOCP00000007815	unknown	unknown
ENSLOCP00000000395	atp5d	ATP synthase%2C H+ transporting%2C mitochondrial F1 complex%2C delta subunit [Source:ZFIN%3BAcc:ZDB-GENE-030131-7649]
ENSLOCP00000000503	unknown	unknown
ENSLOCP00000000553	unknown	unknown
ENSLOCP00000000243	dnajc5b	DnaJ (Hsp40) homolog%2C subfamily C%2C member 5 beta [Source:ZFIN%3BAcc:ZDB-GENE-050413-1]
ENSLOCP00000000001	b4galt3	UDP-Gal:betaGlcNAc beta 1%2C4- galactosyltransferase%2C polypeptide 3 [Source:ZFIN%3BAcc:ZDB-GENE-110624-1]
ENSLOCP00000021726	unknown	unknown
ENSLOCP00000000002	unknown	unknown
ENSLOCP00000000647	adss (1 of many)	adenylosuccinate synthase [Source:ZFIN%3BAcc:ZDB-GENE-050417-337]
ENSLOCP00000000599	rpl7a	ribosomal protein L7a [Source:ZFIN%3BAcc:ZDB-GENE-031001-9]
ENSLOCP00000000641	med22	mediator complex subunit 22 [Source:ZFIN%3BAcc:ZDB-GENE-040625-156]
ENSLOCP00000000682	zgc:103692 (1 of many)	zgc:103692 [Source:ZFIN%3BAcc:ZDB-GENE-041010-15]
