Group_5479_0	XM_015946519	rna7751	plaa	XP_015802005.1
Group_1524_0	XM_015946978	rna8203	dmrta1	XP_015802464.1
Group_758_0	XM_015946672	rna7888	LOC107377203	XP_015802158.1
Group_442_8	XM_015946701	rna7918	LOC107377228	XP_015802187.1
Group_577_0	XM_015946825	rna8044	sall2	XP_015802311.1
Group_19_27	XM_015940695	rna38270	LOC107372451	XP_015796181.1
Group_6458_0	XM_015953697	rna14648	LOC107381811	XP_015809183.1
Group_525_4	XM_015975897	rna36556	LOC107396280	XP_015831383.1
Group_4598_0	XM_015975909	rna36558	gpr151	XP_015831395.1
Group_290_7	XM_015947100	rna8311	hbs1l	XP_015802586.1
Group_2748_0	XM_015947219	rna8428	LOC107377552	XP_015802705.1
Group_815_1	XM_015947078	rna8495	LOC107377463	XP_015802564.1
Group_57_14	XM_015947423	rna8632	rhob	XP_015802909.1
Group_2580_1	XM_015947424	rna8633	pum2	XP_015802910.1
Group_121_17	XM_015955629	rna16591	LOC107383153	XP_015811115.1
Group_4487_0	XM_015955433	rna16587	bloc1s5	XP_015810919.1
Group_4929_0	XM_015955321	rna16476	hgd	XP_015810807.1
Group_16_6	XM_015955214	rna16366	flt1	XP_015810700.1
Group_6447_0	XM_015955191	rna16344	usf3	XP_015810677.1
Group_4045_1	XM_015954969	rna16129	txndc5	XP_015810455.1
Group_4215_0	XM_015954957	rna16122	ipo4	XP_015810443.1
Group_7514_0	XM_015954962	rna16121	LOC107382707	XP_015810448.1
Group_50_35	XM_015954887	rna16041	LOC107382657	XP_015810373.1
Group_3303_1	XM_015942497	rna40325	LOC107374348	XP_015797983.1
Group_499_8	XM_015954244	rna15594	LOC107382199	XP_015809730.1
Group_7156_0	XM_015954303	rna15534	fdx1l	XP_015809789.1
Group_150_8	XM_015952813	rna14018	adcy7	XP_015808299.1
Group_1954_0	XM_015954100	rna15204	LOC107382107	XP_015809586.1
Group_8327_1	XM_015953032	rna14354	LOC107381397	XP_015808518.1
Group_0_66	XM_015953031	rna14355	LOC107381396	XP_015808517.1
Group_178_10	XM_015952988	rna14394	mtmr10	XP_015808474.1
Group_1718_0	XM_015952932	rna14460	LOC107381326	XP_015808418.1
Group_4172_1	XM_015952931	rna14465	pdcd5	XP_015808417.1
Group_246_4	XM_015953605	rna14740	itga11	XP_015809091.1
Group_93_10	XM_015974505	rna35134	LOC107395189	XP_015829991.1
Group_1001_0	XM_015967179	rna27963	LOC107390461	XP_015822665.1
Group_2436_3	XM_015966979	rna28163	hspb7	XP_015822465.1
Group_1456_1	XM_015967427	rna28275	LOC107390603	XP_015822913.1
Group_990_5	XM_015967504	rna28294	stac3	XP_015822990.1
Group_590_3	XM_015967592	rna28386	LOC107390723	XP_015823078.1
Group_6249_0	XM_015967666	rna28459	ctnnbip1	XP_015823152.1
Group_8567_0	XM_015967673	rna28466	LOC107390762	XP_015823159.1
Group_1863_2	XM_015967741	rna28530	rbm15	XP_015823227.1
Group_2631_1	XM_015967766	rna28555	LOC107390823	XP_015823252.1
Group_191_2	XM_015967919	rna28698	hoxc11	XP_015823405.1
Group_1495_2	XM_015941811	rna39553	LOC107373672	XP_015797297.1
Group_1310_0	XM_015968093	rna28860	birc7	XP_015823579.1
Group_1122_3	XM_015968096	rna28861	ythdf1	XP_015823582.1
Group_54_8	XM_015968412	rna29167	rho	XP_015823898.1
Group_534_1	XM_015960027	rna21101	LOC107385873	XP_015815513.1
Group_3027_0	XM_015959792	rna20858	LOC107385719	XP_015815278.1
Group_724_2	XM_015959615	rna20688	mettl21b	XP_015815101.1
Group_144_0	XM_015959444	rna20522	plxna1	XP_015814930.1
Group_934_7	XM_015959409	rna20487	tmem233	XP_015814895.1
Group_1611_2	XM_015959404	rna20482	LOC107385491	XP_015814890.1
Group_466_4	XM_015959319	rna20396	synpr	XP_015814805.1
Group_135_2	XM_015959297	rna20374	LOC107385437	XP_015814783.1
Group_2723_0	XM_015959196	rna20265	st7l	XP_015814682.1
Group_6647_0	XM_015959099	rna20166	rpl29	XP_015814585.1
Group_1099_4	XM_015958810	rna19881	LOC107385135	XP_015814296.1
Group_3204_0	XM_015958808	rna19879	LOC107385132	XP_015814294.1
Group_449_0	XM_015958431	rna19504	rims4	XP_015813917.1
Group_220_0	XM_015961157	rna22142	ppm1e	XP_015816643.1
Group_6439_0	XM_015961180	rna22164	zswim7	XP_015816666.1
Group_10_49	XM_015961197	rna22186	LOC107386663	XP_015816683.1
Group_1290_0	XM_015961271	rna22253	spry4	XP_015816757.1
Group_19_40	XM_015974884	rna35527	LOC107395488	XP_015830370.1
Group_647_5	XM_015961293	rna22275	LOC107386722	XP_015816779.1
Group_2857_0	XM_015961371	rna22346	LOC107386763	XP_015816857.1
Group_2315_0	XM_015961386	rna22366	ccni2	XP_015816872.1
Group_5833_0	XM_015963715	rna24618	cops3	XP_015819201.1
Group_6968_0	XM_015963714	rna24617	nt5m	XP_015819200.1
Group_124_17	XM_015963228	rna24118	LOC107387945	XP_015818714.1
Group_978_3	XM_015963028	rna23845	spock2	XP_015818514.1
Group_542_1	XM_015962825	rna23642	LOC107387708	XP_015818311.1
Group_73_17	XM_015962803	rna23620	sdk2	XP_015818289.1
Group_639_4	XM_015962299	rna23113	pbx1	XP_015817785.1
Group_1219_3	XM_015971391	rna32110	c2cd4c	XP_015826877.1
Group_2673_0	XM_015970908	rna31631	plvap	XP_015826394.1
Group_1813_2	XM_015970948	rna31593	LOC107392884	XP_015826434.1
Group_6853_0	XM_015969018	rna29766	apopt1	XP_015824504.1
Group_7479_0	XM_015969017	rna29765	bag5	XP_015824503.1
Group_2275_0	XM_015969407	rna30107	letm1	XP_015824893.1
Group_4424_0	XM_015969190	rna30168	golga5	XP_015824676.1
Group_7657_0	XM_015969808	rna30564	csgr16h15orf41	XP_015825294.1
Group_247_7	XM_015969992	rna30738	ivd	XP_015825478.1
Group_9036_0	XM_015970100	rna30842	csgr16h14orf180	XP_015825586.1
Group_216_1	XM_015970232	rna30971	LOC107392432	XP_015825718.1
Group_2376_1	XM_015970355	rna31093	kbtbd11	XP_015825841.1
Group_1953_1	XM_015970412	rna31150	insm1	XP_015825898.1
Group_1245_1	XM_015971998	rna32696	fbrsl1	XP_015827484.1
Group_46_11	XM_015972003	rna32700	LOC107393555	XP_015827489.1
Group_16_13	XM_015972083	rna32781	LOC107393607	XP_015827569.1
Group_5367_0	XM_015972240	rna32933	ciao1	XP_015827726.1
Group_940_0	XM_015972241	rna32935	LOC107393695	XP_015827727.1
Group_269_6	XM_015972263	rna32955	pitpnb	XP_015827749.1
Group_8552_0	XM_015972355	rna33045	pebp4	XP_015827841.1
Group_4480_0	XM_015972654	rna33320	usp30	XP_015828140.1
Group_154_3	XM_015972741	rna33502	LOC107394027	XP_015828227.1
Group_16_35	XM_015972751	rna33510	ntrk2	XP_015828237.1
Group_5890_0	XM_015972753	rna33513	rmi1	XP_015828239.1
Group_373_5	XM_015972779	rna33537	tle1	XP_015828265.1
Group_1990_3	XM_015972956	rna33697	LOC107394162	XP_015828442.1
Group_6748_0	XM_015960764	rna2146	ndufb2	XP_015816250.1
Group_6314_0	XM_015959356	rna2001	mest	XP_015814842.1
Group_1354_5	XM_015951377	rna1249	LOC107380232	XP_015806863.1
Group_474_2	XM_015943673	rna439	LOC107375248	XP_015799159.1
Group_129_14	XM_015943611	rna431	atp10b	XP_015799097.1
Group_1082_1	XM_015943253	rna397	zdhhc15	XP_015798739.1
Group_207_7	XM_015971437	rna320	LOC107393191	XP_015826923.1
Group_863_2	XM_015942891	rna34	LOC107372317	XP_015798377.1
Group_557_2	XM_015948586	rna9764	LOC107378393	XP_015804072.1
Group_1012_3	XM_015948623	rna9803	elfn1	XP_015804109.1
Group_2139_1	XM_015953869	rna14989	kat2a	XP_015809355.1
Group_614_2	XM_015948924	rna10091	foxk2	XP_015804410.1
Group_5526_0	XM_015949089	rna10370	mal2	XP_015804575.1
Group_6572_0	XM_015949057	rna10401	pigv	XP_015804543.1
Group_5955_0	XM_015949192	rna10257	mdh2	XP_015804678.1
Group_1890_2	XM_015950025	rna11188	LOC107379316	XP_015805511.1
Group_692_0	XM_015950037	rna11200	LOC107379324	XP_015805523.1
Group_5635_0	XM_015950038	rna11201	dhdds	XP_015805524.1
Group_3007_0	XM_015950078	rna11243	eva1b	XP_015805564.1
Group_0_160	XM_015950146	rna11308	znf628	XP_015805632.1
Group_38_43	XM_015950223	rna11385	chd4	XP_015805709.1
Group_94_33	XM_015950226	rna11386	LOC107379462	XP_015805712.1
Group_7490_0	XM_015950232	rna11392	atn1	XP_015805718.1
Group_9105_0	XM_015950486	rna11774	LOC107379642	XP_015805972.1
Group_800_2	XM_015964836	rna25702	rassf7	XP_015820322.1
Group_47_6	XM_015964789	rna25651	kras	XP_015820275.1
Group_403_2	XM_015964618	rna25493	LOC107388857	XP_015820104.1
Group_58_21	XM_015964569	rna25443	LOC107388834	XP_015820055.1
Group_7428_0	XM_015964568	rna25442	bbs10	XP_015820054.1
Group_1952_1	XM_015964320	rna25193	LOC107388684	XP_015819806.1
Group_1185_3	XM_015964165	rna25030	LOC107388599	XP_015819651.1
Group_144_2	XM_015964134	rna25001	plxnb2	XP_015819620.1
Group_4250_0	XM_015964133	rna25000	tubgcp6	XP_015819619.1
Group_1653_1	XM_015964127	rna24992	dbx2	XP_015819613.1
Group_4185_0	XM_015964022	rna24937	cnot4	XP_015819508.1
Group_958_3	XM_015967755	rna2568	LOC107390813	XP_015823241.1
Group_2056_0	XM_015968857	rna2501	bptf	XP_015824343.1
Group_23_13	XM_015956627	rna17754	LOC107383818	XP_015812113.1
Group_4054_0	XM_015956794	rna17915	wrnip1	XP_015812280.1
Group_424_4	XM_015956815	rna17936	tns3	XP_015812301.1
Group_3_112	XM_015957271	rna18390	rab2a	XP_015812757.1
Group_98_23	XM_015944822	rna6081	agt	XP_015800308.1
Group_3411_0	XM_015944823	rna6082	LOC107375971	XP_015800309.1
Group_525_1	XM_015944874	rna6132	ppp2r2d	XP_015800360.1
Group_33_15	XM_015976013	rna36666	LOC107396344	XP_015831499.1
Group_73_20	XM_015951485	rna12697	LOC107380311	XP_015806971.1
Group_280_7	XM_015951475	rna12687	npas1	XP_015806961.1
