OrthoID	SpGeneId	GeneSymbol	GeneName	chr	start	end	p.x	dN.x	dS.x	pN.x	pS.x	DoS.x	p.y	dN.y	dS.y	pN.y	pS.y	DoS.y	deltaDoSP	deltaDoSQ	dNdSP	pNpSP	deltaDoS	deltaDoSQuantile
Group_0_0	7152	loc107388826		chr2	14886407	14889718	0.655673274094327	24	29	3	2	-0.147169811320755	1	25	32	4	5	-0.00584795321637427	0.780718717375949	1	1	1	-0.141321858104381	0.189498047157529
Group_0_101	25993	zbtb7b	zinc finger and BTB domain containing 7B [Source:ZFIN%3BAcc:ZDB-GENE-040426-1134]	chr3	48506038	48513995	0.620958751393534	9	13	1	4	0.209090909090909	1	8	14	3	5	-0.0113636363636364	0.788674408277393	1	1	0.962108904873034	0.220454545454545	0.757413568638796
Group_0_104	24430	loc107390136		chr9	14112728	14114726	1	9	5	3	1	-0.107142857142857	1	9	9	2	1	-0.166666666666667	0.772560049994741	1	0.653462902380008	1	0.05952380952381	0.503399392449009
Group_0_105	23606	prdm4	PR domain 4%2C transcript variant X1	chr18	23918200	23924537	1	14	21	2	4	0.0666666666666667	1	15	21	4	7	0.053030303030303	0.773351628443175	1	1	1	0.0136363636363637	0.423549833646752
Group_0_106	15954	loc107394974		chr12	17031156	17039288	0.203950416680008	16	10	6	10	0.240384615384615	0.158916890624208	18	13	3	7	0.280645161290323	0.566902283357182	1	1	1	-0.040260545905708	0.317951685230725
Group_0_107	21908	prdm1	PR/SET domain 1 [Source:HGNC Symbol%3BAcc:HGNC:9346]	chr1	45992865	46001053	1	15	20	3	3	-0.0714285714285715	0.729865342457515	15	20	6	5	-0.116883116883117	0.749010853005939	1	1	1	0.0454545454545455	0.477361492839578
Group_0_108	16689	prdm1a	PR domain containing 1a%2C with ZNF domain [Source:ZFIN%3BAcc:ZDB-GENE-030131-2193]	chr3	40547536	40559232	0.106488269794721	5	25	2	1	-0.5	1	6	26	1	7	0.0625	0.229659288490238	1	1	0.299994470677225	-0.5625	0.0175032547374512
Group_0_109	21527	znf410	zinc finger protein 410 [Source:ZFIN%3BAcc:ZDB-GENE-040426-1817]	chr1	65751126	65774340	1	3	19	1	9	0.0363636363636363	0.488320355951057	5	23	1	2	-0.154761904761905	0.149747745251493	1	0.98759926052846	0.944056006774391	0.191125541125541	0.718356719224649
Group_0_118	17604	zbtb24	zinc finger and BTB domain containing 24	chr18	16212880	16226523	0.425774748355394	18	12	3	5	0.225	1	19	15	2	2	0.0588235294117647	0.604960266470361	1	0.936832630758907	1	0.166176470588235	0.676985389845219
Group_0_125	3446	znf362a	zinc finger protein 362a [Source:ZFIN%3BAcc:ZDB-GENE-061103-547]	chr14	26349561	26371438	1	7	10	1	2	0.0784313725490196	1	5	14	1	2	-0.0701754385964912	0.823782120793694	1	0.555078622405299	1	0.148606811145511	0.652249385216259
Group_0_127	15800	si:ch211-154o6.2	si:ch211-154o6.2 [Source:ZFIN%3BAcc:ZDB-GENE-030131-2855]	chr18	39824265	39834362	1	6	12	3	5	-0.0416666666666667	1	6	14	2	7	0.0777777777777778	0.913342238222447	1	1	0.875380691984028	-0.119444444444445	0.214378706784319
Group_0_131	29894	bcl6b	B-cell CLL/lymphoma 6%2C member B%2C transcript variant X1	chr1	33917626	33921778	0.119974574924519	14	13	4	0	-0.481481481481482	0.488636363636364	16	15	2	0	-0.483870967741935	NA	NA	1	NA	0.00238948626045299	0.403442788948358
Group_0_132	23540	bcl6a	B-cell CLL/lymphoma 6a (zinc finger protein 51) [Source:ZFIN%3BAcc:ZDB-GENE-040426-1696]	chr16	47892551	47899370	0.379306779612675	3	17	4	8	-0.183333333333333	0.511957730812013	4	24	1	3	-0.107142857142857	0.144077989089122	1	0.999999999999999	1	-0.076190476190476	0.265297266020541
Group_0_133	8487	bcl6ab	B-cell CLL/lymphoma 6a%2C genome duplicate b [Source:ZFIN%3BAcc:ZDB-GENE-030131-7523]	chr6	19646208	19648539	0.683396653291215	19	28	3	3	-0.0957446808510639	1	24	29	2	3	0.0528301886792453	0.902158060770085	1	0.773850102339514	1	-0.148574869530309	0.182843917257341
Group_0_139	14036	zbtb16a	zinc finger and BTB domain containing 16a [Source:ZFIN%3BAcc:ZDB-GENE-030131-1989]	chr15	42854952	43043720	0.648220244716352	5	18	1	8	0.106280193236715	0.515325670498084	5	21	1	2	-0.141025641025641	0.296681549805315	1	1	1	0.247305834262356	0.786778533198322
Group_0_147	26632	loc107376145		chr6	61055767	61062243	0.32712215320911	10	9	1	4	0.326315789473684	1	12	11	2	1	-0.144927536231884	0.486406138337493	1	1	0.571607644953331	0.471243325705568	0.929986981050195
Group_0_150	908	loc107396365		chr11	39774731	39788920	1	8	11	2	4	0.087719298245614	0.380952380952381	7	13	1	0	-0.65	0.235606720743245	1	0.899230040905843	0.876109960519607	0.737719298245614	0.984811225227832
Group_0_154	22217	zbtb41	zinc finger and BTB domain containing 41	chr5	51831798	51854449	1	25	24	6	7	0.0486656200941915	0.755348380572678	24	31	6	6	-0.0636363636363637	0.850510275875764	1	0.57803540077289	1	0.112301983730555	0.595689281064661
Group_0_155	2748	loc107376917		chr2	60641747	60653694	0.659442724458205	8	3	6	5	0.181818181818182	0.0237358101135191	10	4	1	6	0.571428571428571	0.260781634040499	1	1	0.225442316994513	-0.389610389610389	0.0493273542600897
Group_0_159	24736	loc107387938		chr2	11901284	11902432	1	11	6	1	0	-0.352941176470588	1	11	8	1	1	0.0789473684210527	0.786441912482465	1	0.939346514871446	1	-0.431888544891641	0.0392015044119774
Group_0_162	7432	zbtb40	zinc finger and BTB domain containing 40	chr14	2652327	2808551	0.393157233762531	67	52	10	4	-0.151260504201681	0.5015585178961	70	52	4	5	0.129326047358834	0.434608286078737	1	0.96943387968211	0.391777401676069	-0.280586551560515	0.0886735136698973
Group_0_163	20103	znf236	zinc finger protein 236 [Source:ZFIN%3BAcc:ZDB-GENE-041111-195]	chr3	28755261	28864162	0.166807352820787	24	53	1	11	0.228354978354978	0.579152927680601	23	57	4	15	0.0769736842105263	0.560861729724592	1	0.875613646251978	0.66240745343816	0.151381294144452	0.657023000144655
Group_0_164	1000	znf721	zinc finger protein 721	chr19	34631715	34647717	1	66	50	17	12	-0.0172413793103448	1	69	53	12	10	0.0201192250372578	0.754326966546899	1	1	0.995534478261455	-0.0373606043476026	0.3221466801678
Group_0_165	27436	zbtb17	zinc finger and BTB domain containing 17	chr13	7511059	7526196	0.26692098966631	21	15	3	6	0.25	0.262971102418752	22	17	7	12	0.195681511470985	0.54354386413074	1	1	0.999999999999999	0.054318488529015	0.492260957616086
Group_0_166	13122	znf628	zinc finger protein 628	chr3	47155421	47164855	1	32	38	5	6	0.0025974025974026	1	32	42	3	5	0.0574324324324325	0.853098237643116	1	0.896180623793662	1	-0.0548350298350299	0.294517575582236
Group_0_169	22055	loc107379038		chr3	34166026	34171850	0.233329449495884	19	27	1	6	0.270186335403727	0.49945952414192	21	27	3	7	0.1375	0.812469397865367	1	0.97520833365683	0.864342085636285	0.132686335403727	0.62852596557211
Group_0_17	19888	loc107395477		NORv12scf34063	175117	190214	0.131657397107898	10	12	7	2	-0.323232323232323	1	11	12	4	3	-0.093167701863354	0.789230961017093	1	1	0.734033662388595	-0.230064621368969	0.116447273253291
