Genus	Ref	Species	Code	GenomeSize	R1	R2
Aphyosemion	AAU	AAU	AAU	1,150,200,734	./pseudogenomes/refs/AAU.fa	-
Aphyosemion	AAU	ACG	A20.ACG2	1,232,479,164	./trim/trimmed_2015_11_18/A20ACG2_1.fq.trimmed.paired.fq	./trim/trimmed_2015_11_18/A20ACG2_2.fq.trimmed.paired.fq
Aphyosemion	AAU	ACL	A19.ACL	1,462,647,824	./trim/trimmed_2015_11_18/A19ACL_1.fq.trimmed.paired.fq	./trim/trimmed_2015_11_18/A19ACL_2.fq.trimmed.paired.fq
Aphyosemion	AAU	ACM	E17.ACM	1,114,410,740	./trim/trimmed_2016_5_3/concat/E17.ACM_1.concat.fq.gz	./trim/trimmed_2016_5_3/concat/E17.ACM_2.concat.fq.gz
Aphyosemion	AAU	ACY	A15.ACY	1,280,836,870	./trim/trimmed_2015_11_18/A15ACY_1.fq.trimmed.paired.fq	./trim/trimmed_2015_11_18/A15ACY_2.fq.trimmed.paired.fq
Aphyosemion	AAU	AGM	8AGM	1,084,345,326	./trim/trimmed_2015_11_18/8AGM_1.fq.trimmed.paired.fq	./trim/trimmed_2015_11_18/8AGM_2.fq.trimmed.paired.fq
Aphyosemion	AAU	AKM	E15.AKM	953,894,244	./trim/trimmed_2015_12_18/E15.AKM_1.fq.gz.trimmed.paired.fq.gz	./trim/trimmed_2015_12_18/E15.AKM_2.fq.gz.trimmed.paired.fq.gz
Aphyosemion	AAU	AKN1	E16.AKN	1,151,280,154	./trim/trimmed_2016_5_3/concat/E16.AKN_1.concat.fq.gz	./trim/trimmed_2016_5_3/concat/E16.AKN_2.concat.fq.gz
Aphyosemion	AAU	AKN2	C52.AKN	1,183,550,354	./trim/trimmed_2015_12_18/C52.AKN_1.fq.gz.trimmed.paired.fq.gz	./trim/trimmed_2015_12_18/C52.AKN_2.fq.gz.trimmed.paired.fq.gz
Aphyosemion	AAU	APC	H1.APC	1,352,663,106	./trim/trimmed_2016_5_3/concat/H1.APC_1.concat.fq.gz	./trim/trimmed_2016_5_3/concat/H1.APC_2.concat.fq.gz
