OrthoID	SpGeneId	GeneSymbol	GeneName	chr	start	end	alpha	p	dN	dS	pN	pS	DoS
Group_7938_0	14409	ctc1	CTS telomere maintenance complex component 1 [Source:ZFIN%3BAcc:ZDB-GENE-061103-271]	chr1	307206	462262	-2.18965517241379	0.203786431566228	58	37	10	2	-0.22280701754386
Group_3112_3	31910	unknown		chr1	773424	809604	-0.5	1	38	19	3	1	-0.0833333333333334
Group_1122_1	14413	camta2	calmodulin binding transcription activator 2 [Source:HGNC Symbol%3BAcc:HGNC:18807]	chr1	937520	983667	-0.485714285714286	0.713512878572268	21	39	4	5	-0.0944444444444444
Group_772_1	14416	eno3	enolase 3%2C (beta%2C muscle) [Source:ZFIN%3BAcc:ZDB-GENE-031006-5]	chr1	1028390	1031416	-2.25	0.442401960784314	2	13	1	2	-0.2
Group_1088_2	14420	loc107376790		chr1	1159937	1180028	0.895061728395062	0.0287558480978788	18	17	1	9	0.414285714285714
Group_141_12	19265	olgc8	Oryzias latipes membrane guanylyl cyclase (olgc8)%2C mRNA. [Source:RefSeq mRNA%3BAcc:NM_001104651]	chr1	2028162	2041629	-2.9375	0.157382252835534	4	21	3	4	-0.268571428571429
Group_60_28	20815	cyp17a2	uncharacterized protein LOC100702216  [Source:RefSeq peptide%3BAcc:NP_001266387]	chr1	2364017	2368736	0.322916666666667	0.734239244806542	12	13	5	8	0.0953846153846153
Group_2978_0	20807	si:ch73-290k24.5	si:ch73-290k24.5 [Source:ZFIN%3BAcc:ZDB-GENE-110411-284]	chr1	2381776	2393978	0.571428571428571	0.323837474792719	21	18	4	8	0.205128205128205
Group_1440_2	17832	zgc:101853	zgc:101853 [Source:ZFIN%3BAcc:ZDB-GENE-041212-13]	chr1	2504645	2506471	0.666666666666667	0.40688322505414	11	11	2	6	0.25
Group_4759_0	17831	wdr55	WD repeat domain 55	chr1	2607946	2613938	0	1	6	9	2	3	0
Group_766_0-Group_766_4	951	psip1	PC4 and SFRS1 interacting protein 1%2C transcript variant X1	chr1	2617552	2633557	0.548717948717949	0.176174767409932	65	24	11	9	0.180337078651685
Group_199_10	950	zgc:158659	zgc:158659 [Source:ZFIN%3BAcc:ZDB-GENE-070112-492]	chr1	2644917	2675101	-0.916666666666667	0.524868901954553	4	23	1	3	-0.101851851851852
Group_8128_0	17825	si:ch73-132f6.5	si:ch73-132f6.5 [Source:ZFIN%3BAcc:ZDB-GENE-030131-9581]	chr1	2884037	2904321	0.185714285714286	1	10	19	3	7	0.0448275862068966
Group_1423_1	17823	loc107396751		chr1	2908813	2911816	0.5	1	4	3	2	3	0.171428571428571
Group_1423_3	17822	zgc:194355	zgc:194355 [Source:ZFIN%3BAcc:ZDB-GENE-081022-106]	chr1	2913381	2915373	-0.333333333333333	1	3	4	2	2	-0.0714285714285715
