Protein stable ID	Human gene stable ID
ENSLOCP00000000001	ENSG00000158850
ENSLOCP00000000002	
ENSLOCP00000000003	ENSG00000177542
ENSLOCP00000000004	ENSG00000177225
ENSLOCP00000000005	ENSG00000088038
ENSLOCP00000000006	ENSG00000177156
ENSLOCP00000000008	ENSG00000105618
ENSLOCP00000000007	ENSG00000214063
ENSLOCP00000000009	ENSG00000214063
ENSLOCP00000000010	ENSG00000105619
ENSLOCP00000000011	ENSG00000177830
ENSLOCP00000000012	
ENSLOCP00000000018	ENSG00000167986
ENSLOCP00000000013	
ENSLOCP00000000014	
ENSLOCP00000000015	
ENSLOCP00000000016	
ENSLOCP00000000017	ENSG00000063177
ENSLOCP00000000019	
ENSLOCP00000000021	
ENSLOCP00000000020	ENSG00000182405
ENSLOCP00000000022	
ENSLOCP00000000023	ENSG00000158955
ENSLOCP00000000024	ENSG00000152779
ENSLOCP00000000025	ENSG00000152779
ENSLOCP00000000026	ENSG00000152782
ENSLOCP00000000027	ENSG00000152782
ENSLOCP00000000028	
ENSLOCP00000000029	ENSG00000148680
ENSLOCP00000000030	ENSG00000138182
ENSLOCP00000000033	ENSG00000138182
ENSLOCP00000000031	
ENSLOCP00000000032	ENSG00000215148
ENSLOCP00000000032	ENSG00000005001
ENSLOCP00000000032	ENSG00000172382
ENSLOCP00000000032	ENSG00000116176
ENSLOCP00000000032	ENSG00000007038
ENSLOCP00000000032	ENSG00000103355
ENSLOCP00000000032	ENSG00000052344
ENSLOCP00000000034	
ENSLOCP00000000035	ENSG00000215148
ENSLOCP00000000035	ENSG00000005001
ENSLOCP00000000035	ENSG00000172382
ENSLOCP00000000035	ENSG00000116176
ENSLOCP00000000035	ENSG00000007038
ENSLOCP00000000035	ENSG00000103355
ENSLOCP00000000035	ENSG00000052344
ENSLOCP00000000038	ENSG00000148688
ENSLOCP00000000036	
ENSLOCP00000000037	
ENSLOCP00000000039	
ENSLOCP00000000041	ENSG00000148677
ENSLOCP00000000044	ENSG00000148677
ENSLOCP00000000040	ENSG00000215148
ENSLOCP00000000040	ENSG00000005001
ENSLOCP00000000040	ENSG00000172382
ENSLOCP00000000040	ENSG00000116176
ENSLOCP00000000040	ENSG00000007038
ENSLOCP00000000040	ENSG00000103355
ENSLOCP00000000040	ENSG00000052344
ENSLOCP00000000042	
ENSLOCP00000000043	
ENSLOCP00000000045	ENSG00000215148
ENSLOCP00000000045	ENSG00000005001
ENSLOCP00000000045	ENSG00000172382
ENSLOCP00000000045	ENSG00000116176
ENSLOCP00000000045	ENSG00000007038
ENSLOCP00000000045	ENSG00000103355
ENSLOCP00000000045	ENSG00000052344
ENSLOCP00000000046	ENSG00000180628
ENSLOCP00000000047	ENSG00000180628
ENSLOCP00000000049	ENSG00000180628
ENSLOCP00000000048	ENSG00000215148
ENSLOCP00000000048	ENSG00000005001
ENSLOCP00000000048	ENSG00000172382
ENSLOCP00000000048	ENSG00000116176
ENSLOCP00000000048	ENSG00000007038
ENSLOCP00000000048	ENSG00000103355
ENSLOCP00000000048	ENSG00000052344
ENSLOCP00000000050	ENSG00000178226
ENSLOCP00000000050	ENSG00000151006
ENSLOCP00000000051	ENSG00000165338
ENSLOCP00000000052	ENSG00000215148
ENSLOCP00000000052	ENSG00000005001
ENSLOCP00000000052	ENSG00000172382
ENSLOCP00000000052	ENSG00000116176
ENSLOCP00000000052	ENSG00000007038
ENSLOCP00000000052	ENSG00000103355
ENSLOCP00000000052	ENSG00000052344
ENSLOCP00000000053	ENSG00000167792
ENSLOCP00000000054	ENSG00000166484
ENSLOCP00000000055	ENSG00000166484
ENSLOCP00000000056	
ENSLOCP00000000057	ENSG00000255439
ENSLOCP00000000057	ENSG00000167397
ENSLOCP00000000058	
ENSLOCP00000000060	ENSG00000089280
ENSLOCP00000000059	ENSG00000171735
ENSLOCP00000000062	ENSG00000126895
ENSLOCP00000000061	ENSG00000215148
ENSLOCP00000000061	ENSG00000005001
ENSLOCP00000000061	ENSG00000172382
ENSLOCP00000000061	ENSG00000116176
ENSLOCP00000000061	ENSG00000007038
ENSLOCP00000000061	ENSG00000103355
ENSLOCP00000000061	ENSG00000052344
ENSLOCP00000000063	ENSG00000215148
ENSLOCP00000000063	ENSG00000005001
ENSLOCP00000000063	ENSG00000172382
ENSLOCP00000000063	ENSG00000116176
ENSLOCP00000000063	ENSG00000007038
ENSLOCP00000000063	ENSG00000103355
ENSLOCP00000000063	ENSG00000052344
ENSLOCP00000000064	ENSG00000215148
ENSLOCP00000000064	ENSG00000005001
ENSLOCP00000000064	ENSG00000172382
ENSLOCP00000000064	ENSG00000116176
ENSLOCP00000000064	ENSG00000007038
ENSLOCP00000000064	ENSG00000103355
ENSLOCP00000000064	ENSG00000052344
ENSLOCP00000000065	ENSG00000178226
ENSLOCP00000000065	ENSG00000151006
ENSLOCP00000000066	
ENSLOCP00000000067	
ENSLOCP00000000068	
ENSLOCP00000000069	
ENSLOCP00000000070	ENSG00000248713
ENSLOCP00000000071	
ENSLOCP00000000072	ENSG00000276566
ENSLOCP00000000072	ENSG00000241755
ENSLOCP00000000072	ENSG00000211632
ENSLOCP00000000072	ENSG00000244575
ENSLOCP00000000072	ENSG00000239951
ENSLOCP00000000072	ENSG00000239855
ENSLOCP00000000072	ENSG00000241351
ENSLOCP00000000072	ENSG00000239862
ENSLOCP00000000072	ENSG00000239819
ENSLOCP00000000072	ENSG00000242076
ENSLOCP00000000072	ENSG00000242580
ENSLOCP00000000072	ENSG00000240864
ENSLOCP00000000072	ENSG00000231292
ENSLOCP00000000072	ENSG00000240671
ENSLOCP00000000072	ENSG00000243466
ENSLOCP00000000072	ENSG00000243290
ENSLOCP00000000072	ENSG00000242371
ENSLOCP00000000072	ENSG00000278857
ENSLOCP00000000072	ENSG00000239975
ENSLOCP00000000072	ENSG00000250036
ENSLOCP00000000072	ENSG00000251546
ENSLOCP00000000073	
ENSLOCP00000000074	ENSG00000255151
ENSLOCP00000000074	ENSG00000203972
ENSLOCP00000000074	ENSG00000166840
ENSLOCP00000000074	ENSG00000149124
ENSLOCP00000000074	ENSG00000156689
ENSLOCP00000000075	ENSG00000148288
ENSLOCP00000000077	ENSG00000255151
ENSLOCP00000000077	ENSG00000203972
ENSLOCP00000000077	ENSG00000166840
ENSLOCP00000000077	ENSG00000149124
ENSLOCP00000000077	ENSG00000156689
ENSLOCP00000000076	
ENSLOCP00000000078	ENSG00000076924
ENSLOCP00000000079	
ENSLOCP00000000080	
ENSLOCP00000000082	ENSG00000080824
ENSLOCP00000000085	ENSG00000080824
ENSLOCP00000000081	ENSG00000196230
ENSLOCP00000000086	
ENSLOCP00000000087	ENSG00000172009
ENSLOCP00000000084	
ENSLOCP00000000083	ENSG00000100353
ENSLOCP00000000088	
ENSLOCP00000000089	ENSG00000086062
ENSLOCP00000000090	
ENSLOCP00000000091	
ENSLOCP00000000092	ENSG00000169217
ENSLOCP00000000093	
ENSLOCP00000000094	ENSG00000101017
ENSLOCP00000000095	
ENSLOCP00000000100	ENSG00000127511
ENSLOCP00000000096	
ENSLOCP00000000097	ENSG00000105499
ENSLOCP00000000098	
ENSLOCP00000000099	ENSG00000101438
ENSLOCP00000000101	
ENSLOCP00000000103	
ENSLOCP00000000102	ENSG00000180644
ENSLOCP00000000108	ENSG00000137996
ENSLOCP00000000104	ENSG00000243414
