OrthoID	SpGeneId	GeneSymbol	GeneName	chr	start	end	p.x	dN.x	dS.x	pN.x	pS.x	DoS.x	p.y	dN.y	dS.y	pN.y	pS.y	DoS.y	diffDosP	diffDosQ	dNdSP	pNpSP	diffDoS	diffDoSQuantile
Group_698_1	30318	phldb3	pleckstrin homology like domain family B member 3	chr3	42925873	42956331	0.0154987022617724	15	8	1	8	0.541062801932367	1	16	11	1	0	-0.407407407407407	0.0406379936689974	0.36536653430348	0.888421655040353	0.429195300440349	0.948470209339774	0.99876390605686
Group_2520_1	6586	arid4b	AT-rich interaction domain 4B%2C transcript variant X1	chr6	1380014	1415981	0.0695051481403624	33	36	1	8	0.367149758454106	0.0841663581389609	30	41	3	0	-0.577464788732394	0.0247693405159655	0.286225576700229	0.622218054423362	0.0338948535246893	0.9446145471865	0.998269468479604
Group_1300_0	5442	dennd1a	DENN domain containing 1A [Source:HGNC Symbol%3BAcc:HGNC:29324]	chr8	51837185	51863736	0.0180230285903256	16	11	2	10	0.425925925925926	0.487179487179487	18	19	2	0	-0.513513513513513	0.00657104319788004	0.143395751265686	0.557565998079893	0.116438575969289	0.939439439439439	0.997775030902349
Group_133_9	29471	si:ch73-127m5.1	si:ch73-127m5.1 [Source:ZFIN%3BAcc:ZDB-GENE-130531-25]	chr16	31095829	31133837	0.0708474359921384	26	31	1	8	0.345029239766082	0.176223776223776	26	38	2	0	-0.59375	0.0287183698439695	0.302782766552403	0.711817908647859	0.0938366732189558	0.938779239766082	0.997527812113721
Group_2414_0	11448	npc1l1	NPC1 like 1	chr19	12466903	12477183	0.035596325105258	21	23	1	10	0.386363636363636	0.468085106382979	21	25	1	0	-0.543478260869565	0.0231785547094201	0.278296330028091	1	0.350201389179296	0.929841897233201	0.997280593325093
Group_3943_0	24112	pwp2h	PWP2 periodic tryptophan protein homolog (yeast) [Source:ZFIN%3BAcc:ZDB-GENE-021031-3]	chr14	53272429	53286371	0.394705801377129	7	20	1	10	0.168350168350168	0.266666666666667	7	22	1	0	-0.758620689655172	0.025760932787092	0.29128960589905	1	0.350201389179296	0.92697085800534	0.996786155747837
Group_3845_0	17276	copg2	coatomer protein complex subunit gamma 2	chr2	16396140	16484156	0.276494828785546	12	45	1	14	0.143859649122807	0.233333333333333	13	46	1	0	-0.779661016949153	0.00449166665175638	0.117368856534004	1	0.241566586968973	0.92352066607196	0.996538936959209
Group_2644_1	8466	tulp4b	tubby like protein 4b [Source:ZFIN%3BAcc:ZDB-GENE-130530-708]	chr18	15813900	15827799	0.12497357271343	21	38	2	13	0.222598870056497	0.32	23	51	1	0	-0.689189189189189	0.00156477268468417	0.0599459522420822	0.715875695257023	0.408294746398843	0.911788059245686	0.995797280593325
Group_256_9	19839	si:ch73-335m24.5	si:ch73-335m24.5 [Source:ZFIN%3BAcc:ZDB-GENE-100922-39]	chr2	58066040	58091531	0.0415394927980741	9	8	1	9	0.429411764705882	0.068649885583524	6	11	5	1	-0.480392156862745	0.01958188504575	0.252725116843934	0.489696538864409	0.0163950718491923	0.909803921568627	0.995055624227441
Group_2257_1	30910	grid2ipa	glutamate receptor%2C ionotropic%2C delta 2 (Grid2) interacting protein%2C a [Source:ZFIN%3BAcc:ZDB-GENE-091113-42]	chr6	45132341	45186971	0.00679311988333003	28	23	2	13	0.415686274509804	1	30	29	1	0	-0.491525423728814	0.00313082618490298	0.0944829948668784	0.815557802596509	0.408294746398843	0.907211698238618	0.994808405438813
