Group_112_1	XM_015946039	rna7423	frmd7	XP_015801525.1
Group_4994_0	XM_015977374	rna38082	tkfc	XP_015832860.1
Group_3555_0	XM_015977372	rna38083	LOC107397384	XP_015832858.1
Group_34_12	XM_015946247	rna7463	LOC107376921	XP_015801733.1
Group_34_14	XM_015946248	rna7464	chrnb1	XP_015801734.1
Group_5252_0	XM_015946259	rna7475	pop7	XP_015801745.1
Group_4096_1	XM_015946263	rna7482	wrap53	XP_015801749.1
Group_984_1	XM_015946264	rna7483	efnb3	XP_015801750.1
Group_840_4	XM_015946304	rna7527	LOC107376962	XP_015801790.1
Group_26_38	XM_015946306	rna7529	LOC107376964	XP_015801792.1
Group_26_34	XM_015946307	rna7530	LOC107376965	XP_015801793.1
Group_14_7	XM_015946319	rna7542	LOC107376976	XP_015801805.1
Group_5887_0	XM_015946321	rna7543	mrpl48	XP_015801807.1
Group_6823_0	XM_015946368	rna7590	bmp15	XP_015801854.1
Group_8358_0	XM_015946369	rna7591	LOC107377007	XP_015801855.1
Group_1387_2	XM_015946377	rna7596	LOC107377012	XP_015801863.1
Group_7153_0	XM_015946498	rna7727	rpl34	XP_015801984.1
Group_5479_0	XM_015946519	rna7751	plaa	XP_015802005.1
Group_641_6	XM_015946521	rna7753	zdhhc21	XP_015802007.1
Group_1189_1	XM_015946529	rna7763	ddit4l	XP_015802015.1
Group_6211_0	XM_015946425	rna7637	nit1	XP_015801911.1
Group_619_5	XM_015946412	rna7630	rin1	XP_015801898.1
Group_3511_0	XM_015947006	rna8293	ppargc1a	XP_015802492.1
Group_455_4	XM_015947011	rna8289	LOC107377441	XP_015802497.1
Group_995_2	XM_015947012	rna8288	adgra3	XP_015802498.1
Group_974_0	XM_015947029	rna8272	LOC107377452	XP_015802515.1
Group_799_0	XM_015946950	rna8228	LOC107377406	XP_015802436.1
Group_1986_2	XM_015946951	rna8227	lurap1l	XP_015802437.1
Group_182_5	XM_015946964	rna8215	LOC107377411	XP_015802450.1
Group_4920_1	XM_015946965	rna8214	caap1	XP_015802451.1
Group_1524_0	XM_015946978	rna8203	dmrta1	XP_015802464.1
Group_8357_0	XM_015946664	rna7880	LOC107377198	XP_015802150.1
Group_758_0	XM_015946672	rna7888	LOC107377203	XP_015802158.1
Group_253_10	XM_015946688	rna7904	LOC107377215	XP_015802174.1
Group_424_0	XM_015946689	rna7905	LOC107377216	XP_015802175.1
Group_724_1	XM_015946693	rna7909	mettl21a	XP_015802179.1
Group_911_2	XM_015946692	rna7910	LOC107377220	XP_015802178.1
Group_1102_1	XM_015946695	rna7913	LOC107377224	XP_015802181.1
Group_1852_2	XM_015946699	rna7916	lancl1	XP_015802185.1
Group_442_8	XM_015946701	rna7918	LOC107377228	XP_015802187.1
Group_247_6	XM_015946702	rna7919	acadl	XP_015802188.1
Group_136_13	XM_015946744	rna7963	LOC107377243	XP_015802230.1
Group_7576_0	XM_015946745	rna7964	mrps9	XP_015802231.1
Group_2379_1	XM_015946755	rna7974	mtrf1	XP_015802241.1
Group_1512_1	XM_015946762	rna7978	tsc22d1	XP_015802248.1
Group_5642_0	XM_015946764	rna7981	nelfa	XP_015802250.1
Group_447_2	XM_015946766	rna7983	tesk1	XP_015802252.1
Group_3638_0	XM_015946771	rna7985	msmp	XP_015802257.1
Group_577_0	XM_015946825	rna8044	sall2	XP_015802311.1
Group_7108_0	XM_015946831	rna8049	mettl3	XP_015802317.1
Group_4323_1	XM_015946834	rna8053	fis1	XP_015802320.1
Group_1445_2	XM_015946846	rna8066	cckar	XP_015802332.1
Group_8956_0	XM_015946624	rna8101	LOC107377181	XP_015802110.1
Group_135_14	XM_015946885	rna8114	slc16a13	XP_015802371.1
Group_1521_0	XM_015946889	rna8174	LOC107377364	XP_015802375.1
Group_7157_0	XM_015946901	rna8161	msantd1	XP_015802387.1
Group_19_27	XM_015940695	rna38270	LOC107372451	XP_015796181.1
Group_375_0	XM_015957284	rna179	tenm2	XP_015812770.1
Group_2857_1	XM_015953694	rna14651	bnip1	XP_015809180.1
Group_6458_0	XM_015953697	rna14648	LOC107381811	XP_015809183.1
Group_525_4	XM_015975897	rna36556	LOC107396280	XP_015831383.1
Group_4598_0	XM_015975909	rna36558	gpr151	XP_015831395.1
Group_5329_0	XM_015975901	rna36562	lsm11	XP_015831387.1
Group_4600_0	XM_015974464	rna35078	sec63	XP_015829950.1
Group_7703_0	XM_015974463	rna35077	iyd	XP_015829949.1
Group_772_2	XM_015947095	rna8307	myb	XP_015802581.1
Group_290_7	XM_015947100	rna8311	hbs1l	XP_015802586.1
Group_181_0	XM_015947102	rna8313	aldh8a1	XP_015802588.1
Group_1024_3	XM_015947112	rna8324	eya4	XP_015802598.1
Group_4680_0	XM_015947128	rna8342	ccm2	XP_015802614.1
Group_337_6	XM_015947131	rna8345	xkr6	XP_015802617.1
Group_178_2	XM_015947133	rna8346	mtmr9	XP_015802619.1
Group_6533_0	XM_015947139	rna8350	pinx1	XP_015802625.1
Group_111_4	XM_015947136	rna8354	sox7	XP_015802622.1
Group_1269_0	XM_015947075	rna8356	rp1l1	XP_015802561.1
Group_43_41	XM_015947142	rna8357	blk	XP_015802628.1
Group_1211_3	XM_015947143	rna8358	fndc4	XP_015802629.1
Group_1710_0	XM_015947144	rna8359	LOC107377506	XP_015802630.1
Group_0_103	XM_015947149	rna8363	znf513	XP_015802635.1
Group_5224_0	XM_015947154	rna8366	atraid	XP_015802640.1
Group_853_0	XM_015947165	rna8379	LOC107377518	XP_015802651.1
Group_20_8	XM_015947166	rna8380	LOC107377519	XP_015802652.1
Group_529_0	XM_015947177	rna8389	LOC107377524	XP_015802663.1
Group_444_3	XM_015947189	rna8401	foxo3	XP_015802675.1
Group_6449_0	XM_015947190	rna8402	armc2	XP_015802676.1
Group_1314_0	XM_015947192	rna8404	sesn1	XP_015802678.1
Group_2559_0	XM_015947194	rna8406	cep57l1	XP_015802680.1
Group_7654_0	XM_015947198	rna8409	cd164	XP_015802684.1
Group_7841_0	XM_015947201	rna8413	gen1	XP_015802687.1
Group_1750_3	XM_015947210	rna8414	msgn1	XP_015802696.1
Group_2649_0	XM_015947200	rna8420	tulp4	XP_015802686.1
Group_1855_3	XM_015947214	rna8424	dynlt1	XP_015802700.1
Group_5371_0	XM_015947218	rna8427	serac1	XP_015802704.1
Group_2748_0	XM_015947219	rna8428	LOC107377552	XP_015802705.1
Group_414_1	XM_015947221	rna8429	LOC107377553	XP_015802707.1
Group_5483_0	XM_015947225	rna8431	armt1	XP_015802711.1
Group_2096_1	XM_015947224	rna8436	zbtb2	XP_015802710.1
Group_6858_0	XM_015947222	rna8437	LOC107377554	XP_015802708.1
Group_4744_0	XM_015941279	rna38935	LOC107373103	XP_015796765.1
Group_159_5	XM_015940763	rna38356	lrrtm2	XP_015796249.1
Group_635_0	XM_015947245	rna8455	LOC107377564	XP_015802731.1
Group_3_65	XM_015947246	rna8457	rab32	XP_015802732.1
Group_158_3	XM_015947247	rna8458	grm1	XP_015802733.1
Group_873_4	XM_015947267	rna8480	abcd4	XP_015802753.1
Group_1464_1	XM_015947268	rna8481	LOC107377578	XP_015802754.1
