Group_Id	Gene_Symbol	Gene_Name	AAU	CTO	NOR	PLP
Group_0_0	loc107388826		029799	015312	007152	001641
Group_0_2	znf142	zinc finger protein 142	006185	025836	010823	010959
Group_0_4	ctcf	CCCTC-binding factor (zinc finger protein) [Source:ZFIN%3BAcc:ZDB-GENE-040624-5]	016632	017617	008665	016361
Group_0_5	ctcf	CCCTC-binding factor (zinc finger protein) [Source:ZFIN%3BAcc:ZDB-GENE-040624-5]	007675	023185	021193	020479
Group_0_6	prdm15	PR domain 15%2C transcript variant X3	022509	013865	031371	012898
Group_0_8	znf740a	zinc finger protein 740a [Source:ZFIN%3BAcc:ZDB-GENE-030131-5064]	007804	020195	018905	023173
Group_0_11	wu:fe05a04	wu:fe05a04 [Source:ZFIN%3BAcc:ZDB-GENE-030131-4873]	030128	025464	003925	002501
Group_0_17	loc107395477		029773	010654	019888	005128
Group_0_18	hnrnpa0l	heterogeneous nuclear ribonucleoprotein A0%2C like [Source:ZFIN%3BAcc:ZDB-GENE-030131-618]	024856	013534	008111	003410
Group_0_21	mtf1	metal-regulatory transcription factor 1%2C transcript variant X2	028657	028406	007335	015881
Group_0_22	zxda	zinc finger%2C X-linked%2C duplicated A [Source:HGNC Symbol%3BAcc:HGNC:13198]	029141	010842	007295	023934
Group_0_23	si:dkey-208k4.2	si:dkey-208k4.2 [Source:ZFIN%3BAcc:ZDB-GENE-030131-6124]	021853	011273	012974	013847
Group_0_24	gtf3aa	general transcription factor IIIAa [Source:ZFIN%3BAcc:ZDB-GENE-041006-1]	003320	027631	014042	005366
Group_0_25	gtf3ab	general transcription factor IIIA%2C b [Source:ZFIN%3BAcc:ZDB-GENE-030131-7698]	002869	001502	013094	025772
Group_0_28	loc107386735		030615	001047	001817	014421
Group_0_31	prdm9	PR domain containing 9 [Source:ZFIN%3BAcc:ZDB-GENE-040426-1319]	027192	022303	011093	013045
Group_0_32	znf526	zinc finger protein 526 [Source:ZFIN%3BAcc:ZDB-GENE-100922-260]	006453	028364	003484	015926
Group_0_33	znf574	zinc finger protein 574 [Source:ZFIN%3BAcc:ZDB-GENE-100922-259]	006436	028347	003509	015934
Group_0_36	znf341	zinc finger protein 341 [Source:ZFIN%3BAcc:ZDB-GENE-080204-99]	015355	023458	019395	003155
Group_0_38	znf407	zinc finger protein 407	003638	009017	020101	006128
Group_0_39	znf513	zinc finger protein 513%2C transcript variant X1	027738	014499	002181	025192
Group_0_40	znf513	zinc finger protein 513 [Source:HGNC Symbol%3BAcc:HGNC:26498]	007702	002462	026190	022306
Group_0_42	loc107379469		006443	028331	015812	015965
Group_0_43	znf646	zinc finger protein 646 [Source:ZFIN%3BAcc:ZDB-GENE-160627-3]	026158	011988	014337	006941
Group_0_44	si:dkey-89b17.4	si:dkey-89b17.4 [Source:ZFIN%3BAcc:ZDB-GENE-030131-8215]	008882	011189	007076	014750
Group_0_45	loc107391611		028865	025686	005267	001012
Group_0_55	loc107397287		010619	026466	005979	003499
Group_0_59	si:ch211-79k12.2	si:ch211-79k12.2 [Source:ZFIN%3BAcc:ZDB-GENE-131121-535]	028080	000983	001656	000111
Group_0_60	znf648	zinc finger protein 648 [Source:ZFIN%3BAcc:ZDB-GENE-120215-149]	021610	010636	001280	005097
Group_0_62	znf408	zinc finger protein 408 [Source:ZFIN%3BAcc:ZDB-GENE-130530-589]	023724	002063	021600	001584
Group_0_63	si:ch211-269m15.3	si:ch211-269m15.3 [Source:ZFIN%3BAcc:ZDB-GENE-141211-7]	021090	005117	022770	011771
Group_0_64	loc107374395		029898	029394	026151	019573
Group_0_65	loc107379935		009611	023618	031138	003605
Group_0_67	znf711	zinc finger protein 711%2C transcript variant X1	023254	008676	019250	012370
Group_0_68	zfx	zinc finger protein%2C X-linked [Source:HGNC Symbol%3BAcc:HGNC:12869]	002760	017335	013237	018199
Group_0_69	znf521	zinc finger protein 521%2C transcript variant X1	027549	006555	012687	013424
Group_0_70	si:ch211-216l23.1	si:ch211-216l23.1 [Source:ZFIN%3BAcc:ZDB-GENE-060503-121]	020762	013814	030252	021762
