OrthoID	SpGeneId	GeneSymbol	GeneName	chr	start	end	alpha	p	dN	dS	pN	pS	DoS
Group_7938_0	14409	ctc1	CTS telomere maintenance complex component 1 [Source:ZFIN%3BAcc:ZDB-GENE-061103-271]	chr1	307206	462262	-0.283018867924528	0.653241850416483	53	36	17	9	-0.0583405358686258
Group_6023_0	14401	ift46	intraflagellar transport 46 [Source:HGNC Symbol%3BAcc:HGNC:26146]	chr1	708871	728205	-0.666666666666667	0.444444444444444	3	5	1	0	-0.625
Group_772_1	14416	eno3	enolase 3%2C (beta%2C muscle) [Source:ZFIN%3BAcc:ZDB-GENE-031006-5]	chr1	1028390	1031416	-8.66666666666667	0.224598930481283	1	29	1	3	-0.216666666666667
Group_1088_2	14420	loc107376790		chr1	1159937	1180028	0.29004329004329	0.633049168444356	22	41	8	21	0.0733442802408319
Group_141_12	19265	olgc8	Oryzias latipes membrane guanylyl cyclase (olgc8)%2C mRNA. [Source:RefSeq mRNA%3BAcc:NM_001104651]	chr1	2028162	2041629	-0.666666666666667	0.38891696141001	14	40	7	12	-0.10916179337232
Group_5098_1	20804	mrps7	mitochondrial ribosomal protein S7	chr1	2174793	2178648	0.666666666666667	0.596273291925466	10	10	1	3	0.25
Group_60_28	20815	cyp17a2	uncharacterized protein LOC100702216  [Source:RefSeq peptide%3BAcc:NP_001266387]	chr1	2364017	2368736	-0.0150375939849625	1	21	27	15	19	-0.00367647058823528
Group_2978_0	20807	si:ch73-290k24.5	si:ch73-290k24.5 [Source:ZFIN%3BAcc:ZDB-GENE-110411-284]	chr1	2381776	2393978	0.13986013986014	0.810768827401605	33	41	9	13	0.0368550368550368
Group_1440_2	17832	zgc:101853	zgc:101853 [Source:ZFIN%3BAcc:ZDB-GENE-041212-13]	chr1	2504645	2506471	0.638009049773756	0.142919143874597	17	20	4	13	0.224165341812401
Group_4759_0	17831	wdr55	WD repeat domain 55	chr1	2607946	2613938	0.333333333333333	1	3	2	1	1	0.1
Group_199_10	950	zgc:158659	zgc:158659 [Source:ZFIN%3BAcc:ZDB-GENE-070112-492]	chr1	2644917	2675101	-1.85714285714286	0.214460131034128	4	40	4	14	-0.131313131313131
Group_8128_0	17825	si:ch73-132f6.5	si:ch73-132f6.5 [Source:ZFIN%3BAcc:ZDB-GENE-030131-9581]	chr1	2884037	2904321	0.259259259259259	0.631480790390658	24	40	8	18	0.0673076923076923
Group_1423_1	17823	loc107396751		chr1	2908813	2911816	0.212121212121212	1	11	13	2	3	0.0583333333333333
Group_1423_3	17822	zgc:194355	zgc:194355 [Source:ZFIN%3BAcc:ZDB-GENE-081022-106]	chr1	2913381	2915373	-1.5	0.276428354737587	9	15	6	4	-0.225
Group_407_3	17821	rbm46	RNA binding motif protein 46	chr1	2920023	2942032	0.0181818181818182	1	11	27	4	10	0.00375939849624063
Group_73_8	17819	npy2rl	neuropeptide Y receptor Y2%2C like [Source:ZFIN%3BAcc:ZDB-GENE-111115-4]	chr1	3047301	3053481	-1.2	0.624355005159959	5	11	3	3	-0.1875
Group_157_2	9905	slc4a11	solute carrier family 4%2C sodium borate transporter%2C member 11 [Source:ZFIN%3BAcc:ZDB-GENE-090313-183]	chr1	3698351	3865632	-5.72916666666667	1.88483373254298e-05	16	38	34	12	-0.442834138486312
Group_2663_0	9903	hacd1	3-hydroxyacyl-CoA dehydratase 1	chr1	3910103	3928509	0.666666666666667	1	1	2	1	6	0.19047619047619
Group_3109_1	9910	tmem236	transmembrane protein 236	chr1	3933214	3936958	-0.292307692307692	0.764828010828095	13	24	7	10	-0.0604133545310016
Group_32_17	9908	fga	fibrinogen alpha chain	chr1	4141000	4145333	-0.0977777777777777	1	15	19	13	15	-0.023109243697479
Group_32_10	9902	fgb	fibrinogen beta chain	chr1	4159110	4165368	0.404761904761905	0.415880482663388	18	25	6	14	0.118604651162791
Group_634_3	9906	trim2b	tripartite motif containing 2b [Source:ZFIN%3BAcc:ZDB-GENE-090312-70]	chr1	4297731	4304065	0.6125	0.225216655098626	12	31	3	20	0.148634984833165
Group_3_90	10960	si:ch73-379f7.4	si:ch73-379f7.4 [Source:ZFIN%3BAcc:ZDB-GENE-120215-247]	chr1	4516830	4517885	0.333333333333333	0.714846921056435	9	16	3	8	0.0872727272727273
Group_1160_2	10967	lgals2b	lectin%2C galactoside-binding%2C soluble%2C 2b [Source:ZFIN%3BAcc:ZDB-GENE-040426-1590]	chr1	4518905	4520484	-0.2	1	5	6	1	1	-0.0454545454545455
Group_1056_3	10961	gtpbp1	GTP binding protein 1 [Source:HGNC Symbol%3BAcc:HGNC:4669]	chr1	4522678	4533793	0.739130434782609	0.113313748062882	23	33	2	11	0.256868131868132
Group_273_4	30464	si:ch73-106g13.1	si:ch73-106g13.1 [Source:ZFIN%3BAcc:ZDB-GENE-110408-58]	chr1	5256149	5261156	0.0833333333333334	1	16	22	8	12	0.0210526315789473
Group_1097_2	10976	loc107376814		chr1	5339139	5356606	-0.571428571428571	0.386743657203968	32	44	16	14	-0.112280701754386
Group_2477_1	10979	ifi30	interferon%2C gamma-inducible protein 30 [Source:ZFIN%3BAcc:ZDB-GENE-030131-8447]	chr1	5491167	5501512	0	1	6	6	2	2	0
Group_925_0	30459	rnf150b	ring finger protein 150b [Source:ZFIN%3BAcc:ZDB-GENE-050417-470]	chr1	5695963	5718338	0.0666666666666667	1	3	14	1	5	0.00980392156862747
Group_2894_0	10982	si:ch211-149b19.3	si:ch211-149b19.3 [Source:ZFIN%3BAcc:ZDB-GENE-110411-37]	chr1	5736581	5745414	-1.90909090909091	0.255293760744261	11	16	6	3	-0.259259259259259
Group_317_3	10983	abcg2a	ATP-binding cassette%2C sub-family G (WHITE)%2C member 2a [Source:ZFIN%3BAcc:ZDB-GENE-050517-35]	chr1	5761153	5782276	0.567901234567901	0.336772393493891	9	14	5	18	0.173913043478261
Group_12_47	10985	tec	tec protein tyrosine kinase	chr1	5863471	5900813	0.284090909090909	0.759829592636987	22	21	6	8	0.0830564784053157
Group_67_27	1593	fbxw7	F-box and WD repeat domain containing 7 [Source:HGNC Symbol%3BAcc:HGNC:16712]	chr1	6104196	6113074	0	1	4	26	2	13	0
Group_2757_1	11005	otud4	OTU deubiquitinase 4	chr1	6188106	6207119	0.464285714285714	0.475707378933185	14	15	3	6	0.149425287356322
Group_377_5	30462	ednrab	endothelin receptor type Ab [Source:ZFIN%3BAcc:ZDB-GENE-040426-2364]	chr1	6265968	6271593	-0.727272727272727	0.530957228430377	8	19	8	11	-0.124756335282651
Group_7856_0	11009	unknown		chr1	6511043	6560830	0.3	1	10	14	1	2	0.0833333333333334
Group_2384_1	30466	glg1	golgi glycoprotein 1	chr1	6758866	6792012	0.793103448275862	0.0452609481328021	29	45	2	15	0.274244833068362
Group_4268_0	30465	rfwd3	ring finger and WD repeat domain 3	chr1	6801480	6829760	-0.0571428571428572	1	28	37	8	10	-0.0136752136752136
