OrthoID	SpGeneId	GeneSymbol	GeneName	chr	start	end	alpha	p	dN	dS	pN	pS	DoS
Group_7938_0	14409	ctc1	CTS telomere maintenance complex component 1 [Source:ZFIN%3BAcc:ZDB-GENE-061103-271]	chr1	307206	462262	-0.176470588235294	0.816802613625425	51	36	15	9	-0.0387931034482759
Group_3112_3	31910	unknown		chr1	773424	809604	0.75609756097561	0.269825268817204	41	20	1	2	0.33879781420765
Group_1122_1	14413	camta2	calmodulin binding transcription activator 2 [Source:HGNC Symbol%3BAcc:HGNC:18807]	chr1	937520	983667	0.485714285714286	0.706302980589405	20	36	2	7	0.134920634920635
Group_1088_2	14420	loc107376790		chr1	1159937	1180028	0.781512605042017	0.0344371529277576	17	13	4	14	0.344444444444444
Group_141_12	19265	olgc8	Oryzias latipes membrane guanylyl cyclase (olgc8)%2C mRNA. [Source:RefSeq mRNA%3BAcc:NM_001104651]	chr1	2028162	2041629	-1	0.405586926185149	6	24	3	6	-0.133333333333333
Group_60_28	20815	cyp17a2	uncharacterized protein LOC100702216  [Source:RefSeq peptide%3BAcc:NP_001266387]	chr1	2364017	2368736	0.566666666666667	0.432432432432432	18	13	3	5	0.205645161290323
Group_2978_0	20807	si:ch73-290k24.5	si:ch73-290k24.5 [Source:ZFIN%3BAcc:ZDB-GENE-110411-284]	chr1	2381776	2393978	-0.15	1	20	23	8	8	-0.0348837209302326
Group_1440_2	17832	zgc:101853	zgc:101853 [Source:ZFIN%3BAcc:ZDB-GENE-041212-13]	chr1	2504645	2506471	-0.666666666666667	0.685990338164251	10	10	5	3	-0.125
Group_4759_0	17831	wdr55	WD repeat domain 55	chr1	2607946	2613938	0.25	1	6	9	2	4	0.0666666666666667
Group_766_0-Group_766_4	951	psip1	PC4 and SFRS1 interacting protein 1%2C transcript variant X1	chr1	2617552	2633557	0.435897435897436	0.299824610201037	65	33	10	9	0.136949516648765
Group_199_10	950	zgc:158659	zgc:158659 [Source:ZFIN%3BAcc:ZDB-GENE-070112-492]	chr1	2644917	2675101	-2.6	0.43	5	18	1	1	-0.282608695652174
Group_8128_0	17825	si:ch73-132f6.5	si:ch73-132f6.5 [Source:ZFIN%3BAcc:ZDB-GENE-030131-9581]	chr1	2884037	2904321	0.675213675213675	0.276469150145282	13	19	2	9	0.224431818181818
