029611	NORv12scf1	3127	4049	-	560	660	0.84848484848485
029612	NORv12scf1	8042	8964	-	1000	660	1.5151515151515
029618	NORv12scf1	10125	12422	+	1633	489	3.3394683026585
029621	NORv12scf1	26004	26357	+	485	354	1.3700564971751
000001	NORv12scf1	26929	28494	+	2693	642	4.1947040498442
029620	NORv12scf1	113918	114220	-	3350	303	11.056105610561
029624	NORv12scf1	183388	183477	+	836	90	9.2888888888889
029619	NORv12scf1	291726	292145	-	11726	420	27.919047619048
029600	NORv12scf1	518783	743515	+	27666	3258	8.4917127071823
029613	NORv12scf1	536870	537175	-	1729	306	5.6503267973856
029601	NORv12scf1	790153	823196	+	8888	1020	8.7137254901961
029614	NORv12scf1	823114	871286	-	24443	3006	8.1314038589488
029602	NORv12scf1	875234	895332	+	6845	1026	6.6715399610136
029603	NORv12scf1	938203	938556	+	1720	354	4.8587570621469
029604	NORv12scf1	1091165	1169939	+	7012	855	8.2011695906433
029605	NORv12scf1	1187641	1215959	+	8290	987	8.3991894630192
029615	NORv12scf1	1217513	1231784	-	10310	1359	7.5864606328182
029606	NORv12scf1	1233579	1235242	+	4880	732	6.6666666666667
029616	NORv12scf1	1238088	1267548	-	26212	4059	6.4577482138458
029607	NORv12scf1	1295707	1329916	+	34700	3771	9.2018032352161
029617	NORv12scf1	1358627	1369761	-	16314	1959	8.3277182235835
031592	NORv12scf1	1379516	1407159	-	5621	795	7.0704402515723
031591	NORv12scf1	1420911	1455145	-	18503	2211	8.3686114880145
029622	NORv12scf1	1465474	1465693	-	595	171	3.4795321637427
029608	NORv12scf1	1470186	1478459	+	7618	846	9.0047281323877
029609	NORv12scf1	1483458	1520217	+	8223	915	8.9868852459016
031593	NORv12scf1	1526716	1527828	-	9228	1113	8.2911051212938
000002	NORv12scf1	1539732	1549580	-	10670	1497	7.127588510354
029610	NORv12scf1	1551459	1581082	+	21613	2283	9.466929478756
029623	NORv12scf1	1586275	1586565	+	2686	291	9.2302405498282
020158	NORv12scf2	83	17484	+	0	402	0
019212	NORv12scf4	333	331771	-	20679	2280	9.0697368421053
019214	NORv12scf4	359259	359777	+	2588	519	4.9865125240848
019213	NORv12scf4	437925	439497	-	1058	1449	0.73015873015873
019215	NORv12scf4	461822	462070	-	1750	249	7.0281124497992
027382	NORv12scf7	1001	9437	+	13659	1419	9.6257928118393
002129	NORv12scf7	10801	13348	-	5562	1062	5.2372881355932
027385	NORv12scf7	18022	60332	-	37696	4554	8.2775581906017
002130	NORv12scf7	65794	85212	-	8507	1110	7.663963963964
002131	NORv12scf7	85408	106779	-	23536	2817	8.3549875754349
027387	NORv12scf7	130735	130863	-	899	129	6.968992248062
027383	NORv12scf7	151093	232665	+	20885	2487	8.3976678729393
027386	NORv12scf7	311216	311383	+	779	168	4.6369047619048
027384	NORv12scf7	418377	421392	+	6495	1092	5.9478021978022
002132	NORv12scf7	450387	670097	-	3077	1869	1.6463349384698
023266	NORv12scf8	2327	2681	-	2354	348	6.764367816092
023268	NORv12scf8	3515	3697	+	68	183	0.37158469945355
023267	NORv12scf8	3991	4285	-	83	201	0.41293532338308
016552	NORv12scf9	4161	4715	+	2896	555	5.218018018018
016551	NORv12scf9	7770	8126	+	0	150	0
030809	NORv12scf10	4695	53794	+	43353	5064	8.561018957346
030808	NORv12scf10	59632	67830	+	16742	2226	7.5211141060198
016501	NORv12scf10	83435	95572	+	7143	873	8.1821305841924
016502	NORv12scf10	97303	113757	+	17718	2145	8.2601398601399
016503	NORv12scf10	124667	137082	+	9147	1065	8.5887323943662
000003	NORv12scf10	152311	235293	+	15991	2046	7.8157380254154
016510	NORv12scf10	240712	244403	-	7002	795	8.8075471698113
016504	NORv12scf10	273497	313835	+	12487	1407	8.8749111584932
016511	NORv12scf10	315140	320709	-	5647	576	9.8038194444444
016505	NORv12scf10	324346	329919	+	12873	1749	7.3602058319039
016506	NORv12scf10	333370	336299	+	5333	594	8.9781144781145
016507	NORv12scf10	359236	375618	+	11311	1173	9.6427962489344
