014704	CTOv12scf1	341	12204	-	29929	9114	3.2838490234804
014705	CTOv12scf1	23922	24294	-	1613	240	6.7208333333333
014706	CTOv12scf1	27988	47731	-	13355	2367	5.6421630756232
014707	CTOv12scf1	59659	84271	-	13400	2406	5.5694098088113
014708	CTOv12scf1	120853	143466	-	13775	2421	5.6897976042957
014692	CTOv12scf1	224389	244726	+	14813	2646	5.598261526833
014725	CTOv12scf1	246447	246935	+	3661	489	7.4867075664622
014709	CTOv12scf1	250171	261146	-	16496	2991	5.5152123035774
014724	CTOv12scf1	263418	267851	+	3328	597	5.5745393634841
014693	CTOv12scf1	285713	290827	+	2222	492	4.5162601626016
014694	CTOv12scf1	292059	296168	+	2596	528	4.9166666666667
014710	CTOv12scf1	296169	300304	-	14758	2616	5.6414373088685
014711	CTOv12scf1	310244	323945	-	49506	8496	5.8269774011299
014695	CTOv12scf1	325077	332331	+	3557	444	8.0112612612613
014696	CTOv12scf1	334136	335605	+	4666	945	4.9375661375661
014712	CTOv12scf1	337518	341263	-	15166	2367	6.4072665821715
014697	CTOv12scf1	346014	362303	+	37191	6294	5.9089609151573
000001	CTOv12scf1	362306	368485	+	16819	2640	6.3708333333333
014713	CTOv12scf1	369183	374812	-	6025	1239	4.862792574657
014698	CTOv12scf1	379900	387265	+	17344	2802	6.1898643825839
000002	CTOv12scf1	392270	396241	+	4212	672	6.2678571428571
000003	CTOv12scf1	399331	402534	+	2233	471	4.7409766454352
014699	CTOv12scf1	405481	407941	+	5564	861	6.4622531939605
014714	CTOv12scf1	408474	412554	-	13900	2154	6.4531104921077
014715	CTOv12scf1	414547	434946	-	19132	3423	5.5892491966112
014727	CTOv12scf1	437531	437731	-	2660	201	13.233830845771
014716	CTOv12scf1	439480	457131	-	18198	3294	5.5245901639344
014717	CTOv12scf1	462140	466900	-	7654	1368	5.5950292397661
014700	CTOv12scf1	467640	474541	+	14166	2691	5.2642140468227
030175	CTOv12scf1	474433	479973	-	7363	1470	5.008843537415
014718	CTOv12scf1	521040	545971	-	41313	7203	5.7355268638067
014719	CTOv12scf1	562404	587647	-	45456	7584	5.9936708860759
014720	CTOv12scf1	590005	593558	-	6303	1221	5.1621621621622
014701	CTOv12scf1	596084	599510	+	13721	1899	7.2253817798841
014721	CTOv12scf1	599684	610188	-	4583	687	6.6710334788937
000004	CTOv12scf1	611786	627962	+	49088	8469	5.796197898217
029261	CTOv12scf1	631509	645205	+	22044	3885	5.6741312741313
029262	CTOv12scf1	659745	663092	+	10212	1593	6.4105461393597
014726	CTOv12scf1	664625	665410	-	3113	402	7.7437810945274
014702	CTOv12scf1	667310	739522	+	24294	4287	5.666899930021
014722	CTOv12scf1	740584	744197	-	3815	639	5.9702660406886
014703	CTOv12scf1	744974	749602	+	19348	3072	6.2981770833333
014723	CTOv12scf1	752104	765097	-	7730	1221	6.3308763308763
014728	CTOv12scf1	815052	852835	+	8634	1584	5.4507575757576
014729	CTOv12scf1	865567	889189	+	16188	2043	7.9236417033774
014765	CTOv12scf1	917407	917634	+	1735	228	7.609649122807
014767	CTOv12scf1	1058803	1058898	+	705	96	7.34375
014730	CTOv12scf1	1075413	1076167	+	1667	345	4.831884057971
014750	CTOv12scf1	1084682	1088538	-	6436	1254	5.1323763955343
