OrthoID	SpGeneId	GeneSymbol	GeneName	chr	start	end	alpha	p	dN	dS	pN	pS	DoS
Group_7938_0	14409	ctc1	CTS telomere maintenance complex component 1 [Source:ZFIN%3BAcc:ZDB-GENE-061103-271]	chr1	307206	462262	-2.94615384615385	0.00906200025221914	52	38	27	5	-0.265972222222222
Group_6023_0	14401	ift46	intraflagellar transport 46 [Source:HGNC Symbol%3BAcc:HGNC:26146]	chr1	708871	728205	-0.666666666666667	0.444444444444444	3	5	1	0	-0.625
Group_1122_1	14413	camta2	calmodulin binding transcription activator 2 [Source:HGNC Symbol%3BAcc:HGNC:18807]	chr1	937520	983667	-1.66666666666667	1	3	8	1	1	-0.227272727272727
Group_1088_2	14420	loc107376790		chr1	1159937	1180028	0.1699604743083	0.820506259498593	22	42	10	23	0.040719696969697
Group_141_12	19265	olgc8	Oryzias latipes membrane guanylyl cyclase (olgc8)%2C mRNA. [Source:RefSeq mRNA%3BAcc:NM_001104651]	chr1	2028162	2041629	0.239819004524887	0.766435439910198	17	42	4	13	0.0528414755732802
Group_60_28	20815	cyp17a2	uncharacterized protein LOC100702216  [Source:RefSeq peptide%3BAcc:NP_001266387]	chr1	2364017	2368736	0.226666666666667	1	25	29	4	6	0.0629629629629629
Group_2978_0	20807	si:ch73-290k24.5	si:ch73-290k24.5 [Source:ZFIN%3BAcc:ZDB-GENE-110411-284]	chr1	2381776	2393978	-0.5234375	0.487307198300243	32	45	13	12	-0.104415584415584
Group_1440_2	17832	zgc:101853	zgc:101853 [Source:ZFIN%3BAcc:ZDB-GENE-041212-13]	chr1	2504645	2506471	-0.0208333333333333	1	18	21	7	8	-0.00512820512820511
Group_766_0-Group_766_4	951	psip1	PC4 and SFRS1 interacting protein 1%2C transcript variant X1	chr1	2617552	2633557	-2	0.333333333333333	2	6	1	0	-0.75
Group_199_10	950	zgc:158659	zgc:158659 [Source:ZFIN%3BAcc:ZDB-GENE-070112-492]	chr1	2644917	2675101	-0.357142857142857	1	4	38	1	7	-0.0297619047619048
Group_8128_0	17825	si:ch73-132f6.5	si:ch73-132f6.5 [Source:ZFIN%3BAcc:ZDB-GENE-030131-9581]	chr1	2884037	2904321	0.45679012345679	0.52240076719271	27	44	3	9	0.130281690140845
Group_1423_1	17823	loc107396751		chr1	2908813	2911816	-1.5	0.224137931034483	12	15	2	0	-0.555555555555556
Group_1423_3	17822	zgc:194355	zgc:194355 [Source:ZFIN%3BAcc:ZDB-GENE-081022-106]	chr1	2913381	2915373	0.0909090909090909	1	11	15	2	3	0.0230769230769231
Group_407_3	17821	rbm46	RNA binding motif protein 46	chr1	2920023	2942032	0.4375	1	12	27	1	4	0.107692307692308
Group_157_2	9905	slc4a11	solute carrier family 4%2C sodium borate transporter%2C member 11 [Source:ZFIN%3BAcc:ZDB-GENE-090313-183]	chr1	3698351	3865632	-1.80124223602484	0.0643378951513373	23	41	11	7	-0.251736111111111
Group_3109_1	9910	tmem236	transmembrane protein 236	chr1	3933214	3936958	0.630769230769231	0.645475714243067	13	24	1	5	0.184684684684685
Group_32_17	9908	fga	fibrinogen alpha chain	chr1	4141000	4145333	0.333333333333333	0.741599633828789	15	16	5	8	0.0992555831265509
Group_32_10	9902	fgb	fibrinogen beta chain	chr1	4159110	4165368	0	1	18	27	6	9	0
Group_634_3	9906	trim2b	tripartite motif containing 2b [Source:ZFIN%3BAcc:ZDB-GENE-090312-70]	chr1	4297731	4304065	0.384615384615385	0.713811882504731	13	36	2	9	0.0834879406307978
Group_3_90	10960	si:ch73-379f7.4	si:ch73-379f7.4 [Source:ZFIN%3BAcc:ZDB-GENE-120215-247]	chr1	4516830	4517885	0.111111111111111	1	9	16	3	6	0.0266666666666667
Group_1160_2	10967	lgals2b	lectin%2C galactoside-binding%2C soluble%2C 2b [Source:ZFIN%3BAcc:ZDB-GENE-040426-1590]	chr1	4518905	4520484	0.375	1	4	5	1	2	0.111111111111111
Group_1056_3	10961	gtpbp1	GTP binding protein 1 [Source:HGNC Symbol%3BAcc:HGNC:4669]	chr1	4522678	4533793	0.492753623188406	0.699905326513076	23	35	2	6	0.146551724137931
Group_273_4	30464	si:ch73-106g13.1	si:ch73-106g13.1 [Source:ZFIN%3BAcc:ZDB-GENE-110408-58]	chr1	5256149	5261156	-0.715686274509804	0.525054628948757	17	25	7	6	-0.133699633699634
Group_1040_2	10999	arfip1	ADP-ribosylation factor interacting protein 1 (arfaptin 1) [Source:ZFIN%3BAcc:ZDB-GENE-040426-2690]	chr1	5321537	5335968	-1.35897435897436	0.406901303787592	13	23	4	3	-0.21031746031746
Group_1097_2	10976	loc107376814		chr1	5339139	5356606	-0.375	0.63776844123598	32	44	12	12	-0.0789473684210527
Group_2477_1	10979	ifi30	interferon%2C gamma-inducible protein 30 [Source:ZFIN%3BAcc:ZDB-GENE-030131-8447]	chr1	5491167	5501512	-0.5	1	7	7	3	2	-0.1
Group_925_0	30459	rnf150b	ring finger protein 150b [Source:ZFIN%3BAcc:ZDB-GENE-050417-470]	chr1	5695963	5718338	-0.444444444444444	1	3	13	1	3	-0.0625
