Protein stable ID	Human gene stable ID
ENSGMOP00000000001	ENSG00000262302
ENSGMOP00000000002	ENSG00000124104
ENSGMOP00000000003	ENSG00000163833
ENSGMOP00000000004	ENSG00000110400
ENSGMOP00000000005	ENSG00000137709
ENSGMOP00000000006	ENSG00000143155
ENSGMOP00000000007	ENSG00000157542
ENSGMOP00000000008	ENSG00000157542
ENSGMOP00000000009	ENSG00000157542
ENSGMOP00000000010	ENSG00000157542
ENSGMOP00000000011	ENSG00000157542
ENSGMOP00000000012	ENSG00000126562
ENSGMOP00000000013	ENSG00000167645
ENSGMOP00000000014	ENSG00000121904
ENSGMOP00000000015	ENSG00000137747
ENSGMOP00000000020	ENSG00000164050
ENSGMOP00000000016	
ENSGMOP00000000018	ENSG00000156261
ENSGMOP00000000017	ENSG00000087302
ENSGMOP00000000019	ENSG00000120910
ENSGMOP00000000021	
ENSGMOP00000000022	ENSG00000173083
ENSGMOP00000000023	ENSG00000183020
ENSGMOP00000000024	ENSG00000163312
ENSGMOP00000000027	ENSG00000102900
ENSGMOP00000000026	ENSG00000129167
ENSGMOP00000000025	ENSG00000163322
ENSGMOP00000000028	
ENSGMOP00000000029	ENSG00000178425
ENSGMOP00000000030	ENSG00000108244
ENSGMOP00000000030	ENSG00000171431
ENSGMOP00000000031	ENSG00000123500
ENSGMOP00000000032	ENSG00000169299
ENSGMOP00000000033	
ENSGMOP00000000034	
ENSGMOP00000000035	
ENSGMOP00000000039	ENSG00000065882
ENSGMOP00000000036	
ENSGMOP00000000037	
ENSGMOP00000000038	ENSG00000257008
ENSGMOP00000000054	ENSG00000108984
ENSGMOP00000000042	ENSG00000088538
ENSGMOP00000000041	ENSG00000075151
ENSGMOP00000000040	ENSG00000177098
	
ENSGMOP00000000044	ENSG00000177103
ENSGMOP00000000043	ENSG00000163867
ENSGMOP00000000043	ENSG00000146463
ENSGMOP00000000043	ENSG00000197056
ENSGMOP00000000043	ENSG00000271741
	
ENSGMOP00000000045	ENSG00000127483
ENSGMOP00000000046	ENSG00000159921
ENSGMOP00000000049	ENSG00000267140
ENSGMOP00000000049	ENSG00000153391
ENSGMOP00000000047	ENSG00000160007
ENSGMOP00000000048	ENSG00000189410
ENSGMOP00000000052	
ENSGMOP00000000050	ENSG00000122705
ENSGMOP00000000060	ENSG00000197879
ENSGMOP00000000053	ENSG00000117245
ENSGMOP00000000051	ENSG00000141429
ENSGMOP00000000055	ENSG00000095380
ENSGMOP00000000057	ENSG00000168256
ENSGMOP00000000058	ENSG00000106771
ENSGMOP00000000056	ENSG00000182795
ENSGMOP00000000059	ENSG00000155886
ENSGMOP00000000067	ENSG00000144645
ENSGMOP00000000064	ENSG00000123836
ENSGMOP00000000063	ENSG00000168259
