014704	CTOv12scf1	341	12204	-	31644	9114	3.4720210664911	1	Keep
014705	CTOv12scf1	23922	24294	-	1567	240	6.5291666666667	0.0876202315423464	Keep
014706	CTOv12scf1	27988	47731	-	14834	2367	6.2670046472328	0.128944575891809	Keep
014707	CTOv12scf1	59659	84271	-	13200	2406	5.4862842892768	0.340578882254058	Keep
014708	CTOv12scf1	120853	143466	-	14653	2421	6.0524576621231	0.172901002492716	Keep
014692	CTOv12scf1	224389	244726	+	13707	2646	5.1802721088435	0.464495780620668	Keep
014725	CTOv12scf1	246447	246935	+	2686	489	5.4928425357873	0.338178565538705	Keep
014709	CTOv12scf1	250171	261146	-	15750	2991	5.2657973921765	0.427553091596147	Keep
014724	CTOv12scf1	263418	267851	+	3700	597	6.1976549413735	0.142086119062802	Keep
014693	CTOv12scf1	285713	290827	+	2356	492	4.7886178861789	0.654225638818699	Keep
014694	CTOv12scf1	292059	296168	+	3005	528	5.6912878787879	0.270701636515631	Keep
014710	CTOv12scf1	296169	300304	-	10442	2616	3.9915902140673	1	Keep
014711	CTOv12scf1	310244	323945	-	44495	8496	5.237170433145	0.439723996686159	Keep
014695	CTOv12scf1	325077	332331	+	2163	444	4.8716216216216	0.611456320052516	Keep
014696	CTOv12scf1	334136	335605	+	4611	945	4.8793650793651	0.607530174959178	Keep
014712	CTOv12scf1	337518	341263	-	12695	2367	5.3633291085763	0.387587659743659	Keep
014697	CTOv12scf1	346014	362303	+	27706	6294	4.4019701302828	0.866614739524933	Keep
000001	CTOv12scf1	362306	368485	+	12601	2640	4.7731060606061	0.662351561356387	Keep
014713	CTOv12scf1	369183	374812	-	5554	1239	4.4826472962066	0.820912365118708	Keep
014698	CTOv12scf1	379900	387265	+	16961	2802	6.053176302641	0.17273706739429	Keep
000002	CTOv12scf1	392270	396241	+	4061	672	6.0431547619048	0.175033675452069	Keep
000003	CTOv12scf1	399331	402534	+	2261	471	4.8004246284501	0.648067920858481	Keep
014699	CTOv12scf1	405481	407941	+	5026	861	5.8373983739837	0.227341766757019	Keep
014714	CTOv12scf1	408474	412554	-	10694	2154	4.9647168059424	0.565021975604094	Keep
014715	CTOv12scf1	414547	434946	-	18977	3423	5.5439672801636	0.319840571447859	Keep
014727	CTOv12scf1	437531	437731	-	7502	201	37.323383084577	0	Exclude
014716	CTOv12scf1	439480	457131	-	15855	3294	4.8132969034608	0.641381817734664	Keep
014717	CTOv12scf1	462140	466900	-	8396	1368	6.1374269005848	0.154313207096912	Keep
014700	CTOv12scf1	467640	474541	+	18769	2691	6.9747305834262	0.0422871861651475	Keep
030175	CTOv12scf1	474433	479973	-	6391	1470	4.347619047619	0.897667129406011	Keep
014718	CTOv12scf1	521040	545971	-	39830	7203	5.5296404275996	0.324912650291997	Keep
014719	CTOv12scf1	562404	587647	-	37673	7584	4.9674314345992	0.563693787053273	Keep
014720	CTOv12scf1	590005	593558	-	4763	1221	3.9009009009009	1	Keep
014701	CTOv12scf1	596084	599510	+	11104	1899	5.8472880463402	0.224596922915654	Keep
014721	CTOv12scf1	599684	610188	-	4153	687	6.0451237263464	0.174580663975489	Keep
000004	CTOv12scf1	611786	627962	+	43602	8469	5.1484236627701	0.478693672417278	Keep
029261	CTOv12scf1	631509	645205	+	23172	3885	5.9644787644788	0.193860516341722	Keep
029262	CTOv12scf1	659745	663092	+	9897	1593	6.2128060263653	0.139130614083268	Keep
014726	CTOv12scf1	664625	665410	-	533	402	1.3258706467662	1	Keep
014702	CTOv12scf1	667310	739522	+	18871	4287	4.4019127595055	0.866647417514647	Keep
014722	CTOv12scf1	740584	744197	-	2620	639	4.1001564945227	1	Keep
014703	CTOv12scf1	744974	749602	+	15837	3072	5.1552734375	0.475620208938729	Keep
014723	CTOv12scf1	752104	765097	-	6646	1221	5.4430794430794	0.3566636723581	Keep
014728	CTOv12scf1	815052	852835	+	5267	1584	3.3251262626263	1	Keep
014729	CTOv12scf1	865567	889189	+	13730	2043	6.7205090553108	0.0648019420933683	Keep
014765	CTOv12scf1	917407	917634	+	1343	228	5.890350877193	0.212921114794332	Keep
014767	CTOv12scf1	1058803	1058898	+	444	96	4.625	0.74182505313691	Keep
014730	CTOv12scf1	1075413	1076167	+	1969	345	5.7072463768116	0.265707386434071	Keep
014750	CTOv12scf1	1084682	1088538	-	3434	1254	2.7384370015949	1	Keep
014763	CTOv12scf1	1107498	1107875	+	2483	378	6.5687830687831	0.0824278135690077	Keep
014768	CTOv12scf1	1126900	1126971	-	319	72	4.4305555555556	0.850362165794591	Keep
014731	CTOv12scf1	1275659	1278391	+	3477	771	4.5097276264591	0.805699040085812	Keep
014762	CTOv12scf1	1365622	1366056	-	2226	435	5.1172413793103	0.492821149794804	Keep
014732	CTOv12scf1	1371208	1375864	+	3722	1335	2.7880149812734	1	Keep
014766	CTOv12scf1	1376485	1376789	-	940	198	4.7474747474747	0.675865753485275	Keep
014751	CTOv12scf1	1380993	1400977	-	26721	5535	4.8276422764228	0.633964701075657	Keep
014733	CTOv12scf1	1407347	1408696	+	2015	417	4.8321342925659	0.631649647434989	Keep
014752	CTOv12scf1	1414480	1423858	-	4532	1140	3.9754385964912	1	Keep
014753	CTOv12scf1	1429648	1463737	-	6878	2103	3.2705658582977	1	Keep
014734	CTOv12scf1	1485694	1487289	+	2548	606	4.2046204620462	0.979994773361619	Keep
014764	CTOv12scf1	1521320	1528156	+	5370	861	6.2369337979094	0.13452204912614	Keep
014754	CTOv12scf1	1530894	1536122	-	2874	942	3.0509554140127	1	Keep
014735	CTOv12scf1	1544252	1564315	+	5993	1188	5.0446127946128	0.526574097585996	Keep
014755	CTOv12scf1	1581594	1585848	-	4573	897	5.098104793757	0.501600591464678	Keep
014756	CTOv12scf1	1586434	1595223	-	15812	3114	5.077713551702	0.511045991675915	Keep
014757	CTOv12scf1	1599305	1607018	-	7993	1506	5.3074369189907	0.410204666310196	Keep
014736	CTOv12scf1	1618346	1635817	+	17092	4365	3.9156930126002	1	Keep
014737	CTOv12scf1	1640784	1653670	+	16613	3570	4.6535014005602	0.72628393629865	Keep
014738	CTOv12scf1	1655810	1658108	+	2817	495	5.6909090909091	0.270820955661178	Keep
014739	CTOv12scf1	1658857	1673474	+	21948	4650	4.72	0.690468689968637	Keep
014740	CTOv12scf1	1675134	1677251	+	3462	714	4.8487394957983	0.623123267255664	Keep
014741	CTOv12scf1	1678695	1684591	+	16586	2859	5.8013291360616	0.237555070907655	Keep
014742	CTOv12scf1	1685513	1689212	+	12682	2076	6.1088631984586	0.16038439973677	Keep
014743	CTOv12scf1	1690590	1695587	+	5030	1086	4.6316758747698	0.738175136747492	Keep
014744	CTOv12scf1	1699817	1711685	+	16602	3381	4.9103815439219	0.591918048150501	Keep
014758	CTOv12scf1	1714010	1715839	-	6136	1347	4.5553080920564	0.780260689358341	Keep
014745	CTOv12scf1	1719784	1747752	+	12846	2604	4.9331797235023	0.580561397351377	Keep
014746	CTOv12scf1	1748394	1750135	+	4087	1155	3.5385281385281	1	Keep
014759	CTOv12scf1	1750225	1758352	-	8588	1803	4.763172490294	0.667576330865582	Keep
014760	CTOv12scf1	1758767	1761943	-	2571	780	3.2961538461538	1	Keep
014747	CTOv12scf1	1764116	1766600	+	2400	903	2.6578073089701	1	Keep
014761	CTOv12scf1	1770801	1771430	-	2005	630	3.1825396825397	1	Keep
014791	CTOv12scf1	1784617	1803652	-	18271	2877	6.3507125477928	0.114362898984734	Keep
014792	CTOv12scf1	1816155	1821720	-	753	282	2.6702127659574	1	Keep
014748	CTOv12scf1	1824030	1826276	+	1447	243	5.9547325102881	0.196292517417408	Keep
014793	CTOv12scf1	1828664	1838957	-	3948	1023	3.8592375366569	1	Keep
014749	CTOv12scf1	1843612	1845641	+	5353	1164	4.5987972508591	0.756206439581567	Keep
030176	CTOv12scf1	1852441	1861849	-	8091	1740	4.65	0.728187254299512	Keep
014794	CTOv12scf1	1863649	1874445	-	14809	2601	5.6935793925413	0.269980572231745	Keep
014769	CTOv12scf1	1899819	1909910	+	20389	2334	8.735646958012	0.000947677125445079	Exclude
014770	CTOv12scf1	1913555	1921883	+	10140	1560	6.5	0.0916091848431588	Keep
014795	CTOv12scf1	1921942	1936417	-	6468	2550	2.5364705882353	1	Keep
014796	CTOv12scf1	1943086	1953216	-	3853	714	5.3963585434174	0.374586852943066	Keep
014771	CTOv12scf1	1954538	1960544	+	6569	1788	3.673937360179	1	Keep
014797	CTOv12scf1	1965725	1973325	-	6235	1221	5.1064701064701	0.497752614036361	Keep
014798	CTOv12scf1	1975060	1978950	-	8454	1437	5.8830897703549	0.214858512498599	Keep
014799	CTOv12scf1	1987071	1991510	-	7480	1404	5.3276353276353	0.401942247244485	Keep
014772	CTOv12scf1	1997168	2014188	+	48383	10482	4.6158175920626	0.746854858799075	Keep
014773	CTOv12scf1	2021628	2032879	+	26281	3912	6.7180470347648	0.0650608948078366	Keep
000005	CTOv12scf1	2047447	2054102	+	8403	1650	5.0927272727273	0.504082499667708	Keep
014774	CTOv12scf1	2060717	2069218	+	15814	3336	4.7404076738609	0.679610567417924	Keep
014775	CTOv12scf1	2070551	2074877	+	13273	2622	5.0621662852784	0.518309558289694	Keep
014800	CTOv12scf1	2074705	2084397	-	8392	1440	5.8277777777778	0.230034794788386	Keep
014776	CTOv12scf1	2085581	2089351	+	11041	2181	5.0623567171022	0.518220268216146	Keep
014801	CTOv12scf1	2091128	2093845	-	3625	534	6.7883895131086	0.0579906461724413	Keep
014802	CTOv12scf1	2104604	2113170	-	9943	2850	3.4887719298246	1	Keep
000006	CTOv12scf1	2117233	2132512	-	8512	2628	3.2389649923896	1	Keep
014803	CTOv12scf1	2135176	2142658	-	8022	1536	5.22265625	0.445969973860462	Keep
014777	CTOv12scf1	2145552	2154333	+	13561	2967	4.5706100438153	0.771771710622437	Keep
014778	CTOv12scf1	2162023	2165076	+	5114	963	5.3104880581516	0.408950125681939	Keep
014826	CTOv12scf1	2173456	2173515	-	634	60	10.566666666667	3.63366070477156e-06	Exclude
014823	CTOv12scf1	2175820	2176119	+	107	300	0.35666666666667	1	Keep
014779	CTOv12scf1	2212421	2254014	+	8087	1989	4.0658622423328	1	Keep
014824	CTOv12scf1	2263048	2263320	-	1306	273	4.7838827838828	0.656701852566703	Keep
014780	CTOv12scf1	2267985	2270374	+	1031	231	4.4632034632035	0.831877680304406	Keep
014804	CTOv12scf1	2276000	2277220	-	7138	1221	5.8460278460278	0.224945364556741	Keep
014781	CTOv12scf1	2281058	2301512	+	17720	3435	5.1586608442504	0.474104303359469	Keep
014782	CTOv12scf1	2304402	2309182	+	6686	1335	5.0082397003745	0.543910913138018	Keep
014805	CTOv12scf1	2310743	2319955	-	9945	1974	5.0379939209726	0.529707778612484	Keep
014806	CTOv12scf1	2333462	2335065	-	3190	504	6.3293650793651	0.117952181072096	Keep
014783	CTOv12scf1	2344371	2353481	+	16656	3033	5.4915924826904	0.338635244688739	Keep
014807	CTOv12scf1	2356366	2359715	-	2672	489	5.4642126789366	0.348737027245551	Keep
029264	CTOv12scf1	2362828	2372062	+	8882	1980	4.4858585858586	0.819104665725392	Keep
029265	CTOv12scf1	2373355	2376023	+	5137	777	6.6113256113256	0.0771325960597087	Keep
029263	CTOv12scf1	2376507	2378072	+	3318	642	5.1682242990654	0.469838906085728	Keep
014808	CTOv12scf1	2377856	2381549	-	5093	1161	4.3867355727821	0.875300072416269	Keep
014784	CTOv12scf1	2382479	2389186	+	17849	2949	6.0525601898949	0.172877606913821	Keep
014809	CTOv12scf1	2387865	2396582	-	12496	2481	5.0366787585651	0.530331564346613	Keep
014810	CTOv12scf1	2397708	2400636	-	6266	1572	3.9860050890585	1	Keep
014785	CTOv12scf1	2402295	2403077	+	2849	492	5.7906504065041	0.240640095480294	Keep
014811	CTOv12scf1	2403433	2408825	-	5100	1494	3.4136546184739	1	Keep
014786	CTOv12scf1	2409743	2417124	+	13489	3018	4.4695162359178	0.828313904812452	Keep
014812	CTOv12scf1	2483766	2500675	-	9237	2274	4.0620052770449	1	Keep
014813	CTOv12scf1	2545723	2549085	-	4506	975	4.6215384615385	0.743719882697428	Keep
014814	CTOv12scf1	2552519	2558629	-	9436	1971	4.7874175545408	0.654852991650653	Keep
014815	CTOv12scf1	2559816	2564570	-	8278	2226	3.7187780772686	1	Keep
014825	CTOv12scf1	2577849	2578034	+	1000	186	5.3763440860215	0.382432293561537	Keep
014816	CTOv12scf1	2601643	2602208	-	1431	471	3.0382165605096	1	Keep
