Group_34_14	XM_015946248	rna7464	chrnb1	XP_015801734.1
Group_4096_1	XM_015946263	rna7482	wrap53	XP_015801749.1
Group_840_4	XM_015946304	rna7527	LOC107376962	XP_015801790.1
Group_5479_0	XM_015946519	rna7751	plaa	XP_015802005.1
Group_641_6	XM_015946521	rna7753	zdhhc21	XP_015802007.1
Group_619_5	XM_015946412	rna7630	rin1	XP_015801898.1
Group_974_0	XM_015947029	rna8272	LOC107377452	XP_015802515.1
Group_182_5	XM_015946964	rna8215	LOC107377411	XP_015802450.1
Group_1524_0	XM_015946978	rna8203	dmrta1	XP_015802464.1
Group_758_0	XM_015946672	rna7888	LOC107377203	XP_015802158.1
Group_424_0	XM_015946689	rna7905	LOC107377216	XP_015802175.1
Group_442_8	XM_015946701	rna7918	LOC107377228	XP_015802187.1
Group_247_6	XM_015946702	rna7919	acadl	XP_015802188.1
Group_577_0	XM_015946825	rna8044	sall2	XP_015802311.1
Group_7108_0	XM_015946831	rna8049	mettl3	XP_015802317.1
Group_19_27	XM_015940695	rna38270	LOC107372451	XP_015796181.1
Group_2857_1	XM_015953694	rna14651	bnip1	XP_015809180.1
Group_6458_0	XM_015953697	rna14648	LOC107381811	XP_015809183.1
Group_525_4	XM_015975897	rna36556	LOC107396280	XP_015831383.1
Group_4598_0	XM_015975909	rna36558	gpr151	XP_015831395.1
Group_772_2	XM_015947095	rna8307	myb	XP_015802581.1
Group_290_7	XM_015947100	rna8311	hbs1l	XP_015802586.1
Group_4680_0	XM_015947128	rna8342	ccm2	XP_015802614.1
Group_111_4	XM_015947136	rna8354	sox7	XP_015802622.1
Group_1269_0	XM_015947075	rna8356	rp1l1	XP_015802561.1
Group_853_0	XM_015947165	rna8379	LOC107377518	XP_015802651.1
Group_20_8	XM_015947166	rna8380	LOC107377519	XP_015802652.1
Group_1314_0	XM_015947192	rna8404	sesn1	XP_015802678.1
Group_5371_0	XM_015947218	rna8427	serac1	XP_015802704.1
Group_2748_0	XM_015947219	rna8428	LOC107377552	XP_015802705.1
Group_414_1	XM_015947221	rna8429	LOC107377553	XP_015802707.1
Group_815_1	XM_015947078	rna8495	LOC107377463	XP_015802564.1
Group_359_5	XM_015947284	rna8497	gata4	XP_015802770.1
Group_2623_1	XM_015947393	rna8602	LOC107377643	XP_015802879.1
Group_2869_0	XM_015947396	rna8605	prep	XP_015802882.1
Group_57_14	XM_015947423	rna8632	rhob	XP_015802909.1
Group_2580_1	XM_015947424	rna8633	pum2	XP_015802910.1
Group_5478_0	XM_015947448	rna8655	rd3	XP_015802934.1
Group_763_1	XM_015947738	rna8942	LOC107377839	XP_015803224.1
Group_6202_0	XM_015948234	rna9280	gtf2a1	XP_015803720.1
Group_7291_0	XM_015948154	rna9358	chgb	XP_015803640.1
Group_339_2	XM_015948030	rna9209	elovl4	XP_015803516.1
Group_40_30	XM_015955510	rna16662	LOC107383083	XP_015810996.1
Group_40_24	XM_015955508	rna16660	cdh18	XP_015810994.1
Group_313_9	XM_015955497	rna16651	LOC107383076	XP_015810983.1
Group_121_17	XM_015955629	rna16591	LOC107383153	XP_015811115.1
