Protein stable ID	Human gene stable ID
ENSORLP00000000001	
ENSORLP00000000002	ENSG00000138443
ENSORLP00000000003	ENSG00000138443
ENSORLP00000000004	ENSG00000101220
ENSORLP00000000005	
ENSORLP00000000007	ENSG00000119004
ENSORLP00000000008	ENSG00000074696
ENSORLP00000000010	ENSG00000074696
ENSORLP00000000011	ENSG00000074696
ENSORLP00000000006	ENSG00000107140
ENSORLP00000000009	ENSG00000155755
ENSORLP00000000013	ENSG00000149150
ENSORLP00000000014	ENSG00000149150
ENSORLP00000000012	ENSG00000110628
ENSORLP00000000016	ENSG00000278570
ENSORLP00000000022	ENSG00000082126
ENSORLP00000000024	ENSG00000082126
ENSORLP00000000015	
ENSORLP00000000017	
ENSORLP00000000019	ENSG00000174885
ENSORLP00000000021	
ENSORLP00000000020	
ENSORLP00000000023	ENSG00000273703
ENSORLP00000000025	
ENSORLP00000000027	ENSG00000204257
ENSORLP00000000026	
ENSORLP00000000028	
ENSORLP00000000031	ENSG00000003393
ENSORLP00000000030	ENSG00000196126
ENSORLP00000000030	ENSG00000179344
ENSORLP00000000030	ENSG00000223865
ENSORLP00000000030	ENSG00000198502
ENSORLP00000000030	ENSG00000241106
ENSORLP00000000030	ENSG00000248993
ENSORLP00000000030	ENSG00000232629
ENSORLP00000000030	ENSG00000242574
ENSORLP00000000032	
ENSORLP00000000033	
ENSORLP00000000034	ENSG00000198018
ENSORLP00000000039	ENSG00000131626
ENSORLP00000000036	ENSG00000040933
ENSORLP00000000038	ENSG00000040933
ENSORLP00000000037	ENSG00000120053
ENSORLP00000000040	
ENSORLP00000000041	
ENSORLP00000000042	ENSG00000085733
ENSORLP00000000043	ENSG00000174885
ENSORLP00000000045	ENSG00000119946
ENSORLP00000000046	ENSG00000119946
ENSORLP00000000047	ENSG00000241935
ENSORLP00000000053	
ENSORLP00000000052	ENSG00000114346
ENSORLP00000000050	ENSG00000171160
ENSORLP00000000051	
ENSORLP00000000054	
ENSORLP00000000055	
ENSORLP00000000060	ENSG00000053524
ENSORLP00000000058	
ENSORLP00000000059	
ENSORLP00000000061	
ENSORLP00000000062	ENSG00000115159
ENSORLP00000000063	ENSG00000163918
ENSORLP00000000064	
ENSORLP00000000072	ENSG00000187122
ENSORLP00000000066	
ENSORLP00000000067	ENSG00000099849
ENSORLP00000000068	ENSG00000183570
ENSORLP00000000071	ENSG00000174672
ENSORLP00000000073	ENSG00000174672
ENSORLP00000000069	ENSG00000160233
ENSORLP00000000070	ENSG00000160233
ENSORLP00000000074	ENSG00000269891
ENSORLP00000000074	ENSG00000213390
ENSORLP00000000076	ENSG00000123191
ENSORLP00000000075	
ENSORLP00000000077	ENSG00000166016
ENSORLP00000000078	ENSG00000166016
ENSORLP00000000079	ENSG00000166016
ENSORLP00000000080	
ENSORLP00000000082	
ENSORLP00000000086	ENSG00000156515
ENSORLP00000000083	ENSG00000165905
ENSORLP00000000085	ENSG00000196123
ENSORLP00000000094	ENSG00000170558
ENSORLP00000000096	ENSG00000170558
ENSORLP00000000098	ENSG00000170558
ENSORLP00000000100	ENSG00000170558
ENSORLP00000000087	ENSG00000070770
ENSORLP00000000089	ENSG00000036448
ENSORLP00000000088	ENSG00000166188
ENSORLP00000000090	ENSG00000154118
ENSORLP00000000091	ENSG00000168143
ENSORLP00000000092	ENSG00000168143
ENSORLP00000000110	ENSG00000204262
ENSORLP00000000093	ENSG00000146166
ENSORLP00000000095	ENSG00000112245
ENSORLP00000000097	
ENSORLP00000000099	ENSG00000198331
ENSORLP00000000101	ENSG00000185627
ENSORLP00000000102	ENSG00000185627
ENSORLP00000000103	ENSG00000105364
ENSORLP00000000104	ENSG00000105364
ENSORLP00000000106	ENSG00000105364
ENSORLP00000000105	ENSG00000142082
ENSORLP00000000111	ENSG00000066044
ENSORLP00000000112	ENSG00000066044
ENSORLP00000000107	ENSG00000069696
ENSORLP00000000108	
ENSORLP00000000113	ENSG00000064989
ENSORLP00000000114	ENSG00000250644
ENSORLP00000000114	ENSG00000117984
ENSORLP00000000117	ENSG00000250644
ENSORLP00000000117	ENSG00000117984
ENSORLP00000000116	ENSG00000135823
ENSORLP00000000115	ENSG00000144369
ENSORLP00000000119	
ENSORLP00000000120	ENSG00000169554
ENSORLP00000000122	ENSG00000121989
ENSORLP00000000123	ENSG00000157766
ENSORLP00000000124	ENSG00000157766
ENSORLP00000000126	ENSG00000167182
ENSORLP00000000127	ENSG00000115947
ENSORLP00000000130	ENSG00000204406
ENSORLP00000000131	ENSG00000182087
ENSORLP00000000132	ENSG00000278845
ENSORLP00000000133	ENSG00000278845
ENSORLP00000000134	ENSG00000168781
ENSORLP00000000136	ENSG00000168781
ENSORLP00000000138	ENSG00000168280
ENSORLP00000000135	ENSG00000175221
ENSORLP00000000137	ENSG00000175221
ENSORLP00000000139	ENSG00000046604
ENSORLP00000000139	ENSG00000134757
ENSORLP00000000139	ENSG00000175065
ENSORLP00000000139	ENSG00000134760
ENSORLP00000000144	ENSG00000141279
ENSORLP00000000140	
ENSORLP00000000143	ENSG00000166963
ENSORLP00000000142	
ENSORLP00000000145	ENSG00000067369
ENSORLP00000000146	ENSG00000067369
ENSORLP00000000149	ENSG00000082153
ENSORLP00000000151	ENSG00000153339
ENSORLP00000000147	ENSG00000185127
ENSORLP00000000148	ENSG00000197345
ENSORLP00000000150	
ENSORLP00000000154	ENSG00000137822
ENSORLP00000000153	
ENSORLP00000000160	ENSG00000138356
ENSORLP00000000155	ENSG00000168564
ENSORLP00000000156	
ENSORLP00000000158	ENSG00000117834
ENSORLP00000000162	ENSG00000117834
ENSORLP00000000157	ENSG00000164326
ENSORLP00000000164	ENSG00000094804
ENSORLP00000000161	
ENSORLP00000000163	ENSG00000130147
ENSORLP00000000166	ENSG00000106546
ENSORLP00000000166	ENSG00000283321
ENSORLP00000000167	ENSG00000159251
ENSORLP00000000168	
ENSORLP00000000174	ENSG00000085872
ENSORLP00000000169	
ENSORLP00000000170	ENSG00000151690
ENSORLP00000000172	
ENSORLP00000000173	
ENSORLP00000000175	ENSG00000138386
ENSORLP00000000178	ENSG00000081800
ENSORLP00000000183	ENSG00000069248
ENSORLP00000000176	ENSG00000158747
ENSORLP00000000176	ENSG00000270136
ENSORLP00000000177	ENSG00000173436
ENSORLP00000000201	ENSG00000140575
ENSORLP00000000181	
ENSORLP00000000180	ENSG00000129932
ENSORLP00000000182	ENSG00000129932
ENSORLP00000000184	ENSG00000129932
ENSORLP00000000188	ENSG00000197530
