Group_34_14	XM_015946248	rna7464	chrnb1	XP_015801734.1
Group_619_5	XM_015946412	rna7630	rin1	XP_015801898.1
Group_974_0	XM_015947029	rna8272	LOC107377452	XP_015802515.1
Group_424_0	XM_015946689	rna7905	LOC107377216	XP_015802175.1
Group_247_6	XM_015946702	rna7919	acadl	XP_015802188.1
Group_7108_0	XM_015946831	rna8049	mettl3	XP_015802317.1
Group_2857_1	XM_015953694	rna14651	bnip1	XP_015809180.1
Group_772_2	XM_015947095	rna8307	myb	XP_015802581.1
Group_4680_0	XM_015947128	rna8342	ccm2	XP_015802614.1
Group_111_4	XM_015947136	rna8354	sox7	XP_015802622.1
Group_1269_0	XM_015947075	rna8356	rp1l1	XP_015802561.1
Group_20_8	XM_015947166	rna8380	LOC107377519	XP_015802652.1
Group_5371_0	XM_015947218	rna8427	serac1	XP_015802704.1
Group_414_1	XM_015947221	rna8429	LOC107377553	XP_015802707.1
Group_359_5	XM_015947284	rna8497	gata4	XP_015802770.1
Group_2623_1	XM_015947393	rna8602	LOC107377643	XP_015802879.1
Group_2869_0	XM_015947396	rna8605	prep	XP_015802882.1
Group_6202_0	XM_015948234	rna9280	gtf2a1	XP_015803720.1
Group_7291_0	XM_015948154	rna9358	chgb	XP_015803640.1
Group_339_2	XM_015948030	rna9209	elovl4	XP_015803516.1
Group_5736_0	XM_015955430	rna16584	slc35b3	XP_015810916.1
Group_1924_0	XM_015955425	rna16579	LOC107383022	XP_015810911.1
Group_6293_0	XM_015955386	rna16539	pex2	XP_015810872.1
Group_1579_2	XM_015955327	rna16480	pcyt1b	XP_015810813.1
Group_65_32	XM_015955322	rna16477	arx	XP_015810808.1
Group_42_5	XM_015955301	rna16464	sema5a	XP_015810787.1
Group_3884_0	XM_015955276	rna16430	sbspon	XP_015810762.1
Group_402_0	XM_015955246	rna16400	cpa6	XP_015810732.1
Group_7355_0	XM_015955232	rna16385	rrs1	XP_015810718.1
Group_435_6	XM_015955120	rna16271	LOC107382809	XP_015810606.1
Group_1858_0	XM_015955105	rna16260	LOC107382801	XP_015810591.1
Group_6971_0	XM_015954611	rna15755	LOC107382470	XP_015810097.1
Group_3476_0	XM_015954622	rna15768	rbm33	XP_015810108.1
Group_114_3	XM_015954633	rna15777	dnajb6	XP_015810119.1
Group_5939_1	XM_015954667	rna15811	tyms	XP_015810153.1
Group_2920_1	XM_015954963	rna16119	fen1	XP_015810449.1
Group_7665_0	XM_015977087	rna37776	LOC107397169	XP_015832573.1
Group_1439_0	XM_015977085	rna37774	LOC107397168	XP_015832571.1
Group_3653_0	XM_015954290	rna15547	nags	XP_015809776.1
Group_9031_0	XM_015954302	rna15535	zglp1	XP_015809788.1
Group_1537_1	XM_015954399	rna15429	cdkn2d	XP_015809885.1
Group_5722_0	XM_015954413	rna15416	rnaseh2a	XP_015809899.1
Group_3941_1	XM_015954436	rna15390	znf207	XP_015809922.1
Group_710_4	XM_015954438	rna15387	LOC107382328	XP_015809924.1
Group_2901_1	XM_015952846	rna13982	LOC107381260	XP_015808332.1
Group_262_6	XM_015952839	rna13989	irx5	XP_015808325.1
Group_262_0	XM_015952837	rna13991	irx3	XP_015808323.1
Group_590_1	XM_015952826	rna14005	tox3	XP_015808312.1
Group_2323_2	XM_015952822	rna14010	nkd1	XP_015808308.1
Group_121_22	XM_015953182	rna14149	LOC107381485	XP_015808668.1
Group_132_22	XM_015953155	rna14228	LOC107381462	XP_015808641.1
Group_5632_0	XM_015953151	rna14231	casc4	XP_015808637.1
Group_4052_0	XM_015953036	rna14351	ogfod1	XP_015808522.1
Group_870_2	XM_015953022	rna14356	LOC107381391	XP_015808508.1
Group_670_3	XM_015952998	rna14385	adam10	XP_015808484.1
Group_4_71	XM_015952989	rna14393	myo1e	XP_015808475.1
Group_380_5	XM_015952974	rna14407	crispld2	XP_015808460.1
Group_1300_0	XM_015953308	rna14432	LOC107381562	XP_015808794.1
Group_1681_1	XM_015952957	rna14435	clec3a	XP_015808443.1
Group_6943_0	XM_015952926	rna14467	LOC107381322	XP_015808412.1
Group_5766_0	XM_015952922	rna14468	tcf25	XP_015808408.1
Group_2314_2	XM_015952913	rna14478	LOC107381309	XP_015808399.1
Group_1662_0	XM_015952881	rna14508	mdga1	XP_015808367.1
Group_2057_0	XM_015953748	rna14598	zdhhc13	XP_015809234.1
Group_6621_0	XM_015953631	rna14725	senp8	XP_015809117.1
Group_229_3	XM_015953452	rna14893	itgb6	XP_015808938.1
Group_4689_0	XM_015952777	rna13920	LOC107381209	XP_015808263.1
Group_74_10	XM_015952809	rna13935	LOC107381233	XP_015808295.1
Group_69_25	XM_015953952	rna15154	LOC107382000	XP_015809438.1
Group_1749_2	XM_015953950	rna15157	phospho2	XP_015809436.1
Group_102_2	XM_015973311	rna33943	LOC107394385	XP_015828797.1
Group_421_2	XM_015973585	rna34214	LOC107394595	XP_015829071.1
Group_139_2	XM_015975678	rna36321	rock2	XP_015831164.1
Group_7500_0	XM_015973751	rna34379	LOC107394694	XP_015829237.1
Group_23_55	XM_015973832	rna34378	LOC107394748	XP_015829318.1
Group_1208_1	XM_015973792	rna34416	hey1	XP_015829278.1
Group_1018_2	XM_015973849	rna34465	rbm24	XP_015829335.1
Group_8334_0	XM_015973848	rna34466	stmnd1	XP_015829334.1
Group_491_1	XM_015973997	rna34607	LOC107394841	XP_015829483.1
Group_8328_0	XM_015973925	rna34525	susd5	XP_015829411.1
Group_1629_2	XM_015967273	rna27872	gpr173	XP_015822759.1
Group_950_3	XM_015967260	rna27886	LOC107390506	XP_015822746.1
Group_294_7	XM_015976145	rna36783	LOC107396425	XP_015831631.1
Group_2452_1	XM_015967204	rna27938	LOC107390473	XP_015822690.1
Group_577_1	XM_015967165	rna27975	sall4	XP_015822651.1
Group_541_0	XM_015967014	rna28128	ttpal	XP_015822500.1
Group_6757_0	XM_015967476	rna28199	lrrc47	XP_015822962.1
Group_472_1	XM_015967503	rna28293	LOC107390674	XP_015822989.1
Group_17_27	XM_015967509	rna28299	LOC107390677	XP_015822995.1
Group_1436_1	XM_015967532	rna28323	espn	XP_015823018.1
Group_5092_0	XM_015967537	rna28330	acot7	XP_015823023.1
Group_462_5	XM_015967580	rna28374	LOC107390715	XP_015823066.1
Group_5868_0	XM_015967581	rna28375	LOC107390717	XP_015823067.1
Group_8405_1	XM_015967588	rna28381	LOC107390719	XP_015823074.1
Group_5579_0	XM_015967764	rna28553	smc5	XP_015823250.1
Group_1254_2	XM_015967781	rna28568	larp4	XP_015823267.1
Group_102_0	XM_015967816	rna28599	LOC107390848	XP_015823302.1
