OrthoID	SpGeneId	GeneSymbol	GeneName	chr	start	end	alpha.x	p.x	DoS.x	alpha.y	p.y	DoS.y	alpha.x.1	p.x.1	DoS.x.1	alpha.y.1	p.y.1	DoS.y.1	avgalpha	lowestp	multipliedp	avgDoS
Group_0_104	24430	loc107390136		chr9	14112728	14114726	-0.666666666666667	1	-0.107142857142857	-0.777777777777778	1	-0.137254901960784	NA	NA	NA	-1	1	-0.166666666666667	-0.814814814814815	1	1	-0.137021475256769
Group_0_105	23606	prdm4	PR domain 4%2C transcript variant X1	chr18	23918200	23924537	0.25	1	0.0666666666666667	0.0952380952380952	1	0.0242424242424242	0.830357142857143	0.123494104993765	0.313131313131313	0.2	1	0.053030303030303	0.34389880952381	0.123494104993765	0.123494104993765	0.114267676767677
Group_0_118	17604	zbtb24	zinc finger and BTB domain containing 24	chr18	16212880	16226523	0.6	0.425774748355394	0.225	0.55	0.664034207426153	0.192982456140351	NA	NA	NA	0.210526315789474	1	0.0588235294117647	0.453508771929825	0.425774748355394	0.282728997566244	0.158935328517372
Group_0_124	24874	znf362b	zinc finger protein 362b [Source:ZFIN%3BAcc:ZDB-GENE-070424-35]	chr13	13856858	13870239	0.6	0.628666527980029	0.151260504201681	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.6	0.628666527980029	0.628666527980029	0.151260504201681
Group_0_132	23540	bcl6a	B-cell CLL/lymphoma 6a (zinc finger protein 51) [Source:ZFIN%3BAcc:ZDB-GENE-040426-1696]	chr16	47892551	47899370	-1.83333333333333	0.379306779612675	-0.183333333333333	-0.466666666666667	1	-0.0714285714285714	-3.5	0.217391304347826	-0.818181818181818	-1	0.511957730812013	-0.107142857142857	-1.7	0.217391304347826	0.0422150082982864	-0.295021645021645
Group_0_134	26926	si:ch211-236k19.4	si:ch211-236k19.4 [Source:ZFIN%3BAcc:ZDB-GENE-060526-122]	chr19	4805103	4806443	0.5625	1	0.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5625	1	1	0.2
Group_0_141	12778	zbtb32	zinc finger and BTB domain containing 32	chr3	16962838	16978301	-0.155555555555555	1	-0.0357142857142857	-0.846153846153846	1	-0.146666666666667	NA	NA	NA	NA	NA	NA	-0.500854700854701	1	1	-0.0911904761904763
Group_0_142	4249	hic1	hypermethylated in cancer 1%2C transcript variant X1	chr7	29154995	29157241	-0.5	1	-0.0341880341880342	-3.75	0.366666666666667	-0.15	NA	NA	NA	NA	NA	NA	-2.125	0.366666666666667	0.366666666666667	-0.0920940170940171
Group_0_143	30312	hic2	hypermethylated in cancer 2	chr19	33021551	33023302	-0.25	1	-0.0476190476190476	NA	NA	NA	-2.16666666666667	0.421739130434783	-0.196969696969697	NA	NA	NA	-1.20833333333334	0.421739130434783	0.421739130434783	-0.122294372294372
Group_0_144	1862	mynn	myoneurin%2C transcript variant X1	chr10	1826199	1833659	0.84375	0.113601013264037	0.333333333333333	0.555555555555556	0.63088594667542	0.178571428571429	NA	NA	NA	NA	NA	NA	0.699652777777778	0.113601013264037	0.0716692827963689	0.255952380952381
