Protein stable ID	Human gene stable ID
ENSONIP00000000001	ENSG00000110841
ENSONIP00000000002	ENSG00000110841
ENSONIP00000000003	ENSG00000100243
ENSONIP00000000004	ENSG00000067715
ENSONIP00000000005	ENSG00000177425
ENSONIP00000000006	ENSG00000177425
ENSONIP00000000007	ENSG00000058272
ENSONIP00000000008	ENSG00000105193
ENSONIP00000000009	ENSG00000111046
ENSONIP00000000010	ENSG00000048545
ENSONIP00000000011	ENSG00000173230
ENSONIP00000000012	ENSG00000180353
ENSONIP00000000013	ENSG00000180353
ENSONIP00000000014	ENSG00000139233
ENSONIP00000000015	ENSG00000215193
ENSONIP00000000016	ENSG00000161133
ENSONIP00000000016	ENSG00000184979
ENSONIP00000000017	ENSG00000161133
ENSONIP00000000017	ENSG00000184979
ENSONIP00000000018	ENSG00000118971
ENSONIP00000000019	ENSG00000078237
ENSONIP00000000020	ENSG00000118972
ENSONIP00000000021	ENSG00000111241
ENSONIP00000000022	ENSG00000130035
ENSONIP00000000023	
ENSONIP00000000024	
ENSONIP00000000025	ENSG00000093072
ENSONIP00000000026	ENSG00000131100
ENSONIP00000000026	ENSG00000250565
ENSONIP00000000027	
ENSONIP00000000028	
ENSONIP00000000029	
ENSONIP00000000030	
ENSONIP00000000031	
ENSONIP00000000032	
ENSONIP00000000033	ENSG00000106560
ENSONIP00000000033	ENSG00000171115
ENSONIP00000000033	ENSG00000213203
ENSONIP00000000033	ENSG00000281887
ENSONIP00000000033	ENSG00000133561
ENSONIP00000000033	ENSG00000179144
ENSONIP00000000033	ENSG00000133574
ENSONIP00000000033	ENSG00000196329
ENSONIP00000000034	
ENSONIP00000000035	ENSG00000115484
ENSONIP00000000036	
ENSONIP00000000037	ENSG00000166211
ENSONIP00000000038	
ENSONIP00000000039	ENSG00000269556
ENSONIP00000000039	ENSG00000226479
ENSONIP00000000040	ENSG00000196091
ENSONIP00000000041	ENSG00000196091
ENSONIP00000000042	ENSG00000172732
ENSONIP00000000043	ENSG00000162927
ENSONIP00000000044	ENSG00000162927
ENSONIP00000000045	ENSG00000172818
ENSONIP00000000046	ENSG00000172818
ENSONIP00000000047	
ENSONIP00000000048	ENSG00000111726
ENSONIP00000000049	
ENSONIP00000000050	
ENSONIP00000000051	ENSG00000280148
ENSONIP00000000051	ENSG00000135521
ENSONIP00000000052	ENSG00000135773
ENSONIP00000000053	
ENSONIP00000000054	
ENSONIP00000000055	ENSG00000147655
ENSONIP00000000056	ENSG00000147655
ENSONIP00000000057	ENSG00000104408
ENSONIP00000000058	ENSG00000111666
ENSONIP00000000059	ENSG00000104412
ENSONIP00000000060	ENSG00000111670
ENSONIP00000000061	ENSG00000174417
ENSONIP00000000062	ENSG00000156466
ENSONIP00000000063	ENSG00000156466
ENSONIP00000000064	ENSG00000136048
ENSONIP00000000065	ENSG00000120860
ENSONIP00000000066	ENSG00000147642
ENSONIP00000000067	ENSG00000147654
ENSONIP00000000068	
ENSONIP00000000069	
ENSONIP00000000070	ENSG00000112742
ENSONIP00000000071	ENSG00000112742
ENSONIP00000000072	
ENSONIP00000000073	ENSG00000135801
ENSONIP00000000074	ENSG00000083123
ENSONIP00000000075	ENSG00000069248
ENSONIP00000000076	ENSG00000069248
ENSONIP00000000077	ENSG00000112773
ENSONIP00000000078	ENSG00000005700
ENSONIP00000000079	ENSG00000159251
ENSONIP00000000080	ENSG00000183111
ENSONIP00000000081	ENSG00000094804
ENSONIP00000000082	ENSG00000094804
ENSONIP00000000083	
ENSONIP00000000084	ENSG00000047315
ENSONIP00000000085	ENSG00000118420
ENSONIP00000000086	ENSG00000083097
ENSONIP00000000087	ENSG00000171475
ENSONIP00000000088	ENSG00000163453
ENSONIP00000000089	ENSG00000163453
ENSONIP00000000091	ENSG00000008405
ENSONIP00000000092	ENSG00000110975
ENSONIP00000000093	ENSG00000111049
ENSONIP00000000094	ENSG00000111052
ENSONIP00000000095	ENSG00000111058
ENSONIP00000000096	ENSG00000139220
ENSONIP00000000097	ENSG00000139220
ENSONIP00000000098	
ENSONIP00000000099	ENSG00000111206
ENSONIP00000000100	
ENSONIP00000000101	ENSG00000078246
ENSONIP00000000102	ENSG00000104228
ENSONIP00000000103	ENSG00000105894
ENSONIP00000000104	ENSG00000105887
ENSONIP00000000105	ENSG00000189320
ENSONIP00000000106	ENSG00000075223
ENSONIP00000000107	ENSG00000135218
ENSONIP00000000108	ENSG00000135218
ENSONIP00000000109	ENSG00000127955
ENSONIP00000000110	ENSG00000187391
ENSONIP00000000111	ENSG00000187391
ENSONIP00000000112	
ENSONIP00000000113	ENSG00000064763
ENSONIP00000000114	ENSG00000087502
ENSONIP00000000115	ENSG00000006459
ENSONIP00000000116	ENSG00000005483
ENSONIP00000000117	ENSG00000005483
ENSONIP00000000118	ENSG00000005483
ENSONIP00000000119	ENSG00000187416
ENSONIP00000000120	ENSG00000187416
ENSONIP00000000121	ENSG00000164815
ENSONIP00000000122	ENSG00000163626
ENSONIP00000000123	ENSG00000198843
ENSONIP00000000124	ENSG00000141279
ENSONIP00000000125	ENSG00000161011
ENSONIP00000000126	ENSG00000161011
ENSONIP00000000127	ENSG00000065609
ENSONIP00000000128	ENSG00000197226
ENSONIP00000000129	ENSG00000197226
