Group_Id	Gene_Symbol	Gene_Name	AAU	CTO	NOR	NFZgenbank	PLP	astyanax	austrofundulus	cyprinodon	fundulus	gadus	kryptolebias	medaka	poecilia	spotted_gar	stickleback	takifugu	tetraodon	tilapia	xmac	zebrafish
Group_0_62	znf652	zinc finger protein 652	AAU|028053|maker-AAUscf782-pred_gff_Genewise-gene-0_0-mRNA-1	CTO|015470|maker-CTOv12scf295-augustus-gene-0_15-mRNA-1	NOR|006053|maker-NORv12scf28-pred_gff_Genewise-gene-0_130-mRNA-1	NFZgenbank|005404|rna10057	PLP|013860|maker-PLPv12scf46-augustus-gene-2_186-mRNA-1	astyanax|000691|ENSAMXP00000000707_1	austrofundulus|001419|XM_014022678_1	cyprinodon|004949|XM_015374858_1	fundulus|016952|XM_012872048_2	gadus|013855|ENSGMOP00000015233_1	kryptolebias|014292|XM_017429430_2	medaka|012402|ENSORLP00000003893_2	poecilia|003117|ENSPFOP00000008721_2	spotted_gar|011423|ENSLOCP00000014071_1	stickleback|015436|ENSGACP00000012088_2	takifugu|016261|ENSTRUP00000041939_1	tetraodon|012358|ENSTNIP00000005458_1	tilapia|000921|ENSONIP00000001165_1	xmac|008501|ENSXMAP00000008545_1	zebrafish|018845|ENSDARP00000084356_5
Group_0_63	znf341	zinc finger protein 341 [Source:ZFIN%3BAcc:ZDB-GENE-080204-99]	AAU|015355|evm-AAUscf208-processed-gene-0_15-mRNA-1	CTO|023458|evm-CTOv12scf51-processed-gene-0_112-mRNA-1	NOR|019395|evm-NORv12scf34729-processed-gene-0_82-mRNA-1	NFZgenbank|015807|rna29319	PLP|003155|evm-PLPv12scf25-processed-gene-4_122-mRNA-1	astyanax|016921|ENSAMXP00000017429_1	austrofundulus|010164|XM_014015363_1	cyprinodon|017099|XM_015396601_1	fundulus|011148|XM_021316122_1	gadus|002507|ENSGMOP00000002748_1	kryptolebias|005061|XM_017411217_2	medaka|000842|ENSORLP00000001159_1	poecilia|018022|ENSPFOP00000013950_2	spotted_gar|000943|ENSLOCP00000001060_1	stickleback|004538|ENSGACP00000006243_1	takifugu|011269|ENSTRUP00000028738_1	tetraodon|013196|ENSTNIP00000007716_1	tilapia|009200|ENSONIP00000011582_1	xmac|014113|ENSXMAP00000014159_1	zebrafish|001634|ENSDARP00000136706_1
Group_0_68	rest	RE1 silencing transcription factor	AAU|007952|evm-AAUscf26-processed-gene-2_203-mRNA-1	CTO|022179|maker-CTOv12scf369-pred_gff_Genewise-gene-0_87-mRNA-1	NOR|025495|maker-NORv12scf34618-pred_gff_Genewise-gene-0_223-mRNA-1	NFZgenbank|000740|rna1381	PLP|005574|maker-PLPv12scf307-pred_gff_Genewise-gene-0_79-mRNA-1	astyanax|004022|ENSAMXP00000004110_1	austrofundulus|019610|XM_014030693_1	cyprinodon|003193|XM_015371523_1	fundulus|008218|XM_021313913_1	gadus|004819|ENSGMOP00000005301_1	kryptolebias|021586|XM_017404504_2	medaka|019317|ENSORLP00000025388_1	poecilia|018314|ENSPFOP00000003186_2	spotted_gar|011428|ENSLOCP00000014076_1	stickleback|015930|ENSGACP00000021537_1	takifugu|017531|ENSTRUP00000045319_1	tetraodon|015663|ENSTNIP00000009119_1	tilapia|001589|ENSONIP00000001989_1	xmac|015115|ENSXMAP00000015167_1	zebrafish|008817|ENSDARP00000136293_1
Group_0_84	hnrnpa0l	heterogeneous nuclear ribonucleoprotein A0%2C like [Source:ZFIN%3BAcc:ZDB-GENE-030131-618]	AAU|024856|maker-AAUscf60-pred_gff_Genewise-gene-1_39-mRNA-1	CTO|013534|evm-CTOv12scf55-processed-gene-2_2-mRNA-1	NOR|008111|evm-NORv12scf34752-processed-gene-1_102-mRNA-1	NFZgenbank|005014|rna9351	PLP|003410|maker-PLPv12scf39-pred_gff_Genewise-gene-3_499-mRNA-1	astyanax|017178|ENSAMXP00000017683_1	austrofundulus|007005|XM_014009881_1	cyprinodon|001575|XM_015394787_1	fundulus|013824|XM_012866686_2	gadus|010700|ENSGMOP00000011798_1	kryptolebias|003955|XM_017409075_2	medaka|009319|ENSORLP00000012556_1	poecilia|014090|ENSPFOP00000002359_2	spotted_gar|016432|ENSLOCP00000020341_1	stickleback|011929|ENSGACP00000016417_1	takifugu|006060|ENSTRUP00000014892_1	tetraodon|007143|ENSTNIP00000013640_1	tilapia|000989|ENSONIP00000001253_1	xmac|008631|ENSXMAP00000008662_1	zebrafish|001671|ENSDARP00000110440_1
Group_0_105	znf668	zinc finger protein 668 [Source:ZFIN%3BAcc:ZDB-GENE-041001-46]	AAU|026167|maker-AAUscf510-pred_gff_Genewise-gene-0_47-mRNA-1	CTO|012011|maker-CTOv12scf300-pred_gff_Genewise-gene-0_105-mRNA-1	NOR|014323|maker-NORv12scf34415-pred_gff_Genewise-gene-0_168-mRNA-1	NFZgenbank|013110|rna24330	PLP|006904|maker-PLPv12scf79-pred_gff_Genewise-gene-1_59-mRNA-1	astyanax|022162|ENSAMXP00000025911_1	austrofundulus|006040|XM_014008154_1	cyprinodon|009112|XM_015382396_1	fundulus|011833|XM_012863006_2	gadus|016099|ENSGMOP00000017754_1	kryptolebias|008577|XM_017418535_2	medaka|007337|ENSORLP00000009896_1	poecilia|003600|ENSPFOP00000004684_2	spotted_gar|003214|ENSLOCP00000003806_1	stickleback|008366|ENSGACP00000011520_1	takifugu|015842|ENSTRUP00000040865_1	tetraodon|010915|ENSTNIP00000003750_1	tilapia|021182|ENSONIP00000026509_1	xmac|004418|ENSXMAP00000004427_1	zebrafish|009776|ENSDARP00000108840_1
Group_0_107	e4f1	E4F transcription factor 1%2C transcript variant X1	AAU|018091|evm-AAUscf80-processed-gene-1_176-mRNA-1	CTO|015775|evm-CTOv12scf104-processed-gene-0_146-mRNA-1	NOR|017775|maker-NORv12scf34684-pred_gff_Genewise-gene-0_185-mRNA-1	NFZgenbank|003578|rna6661	PLP|010129|evm-PLPv12scf216-processed-gene-0_73-mRNA-1	astyanax|011330|ENSAMXP00000011631_1	austrofundulus|017298|XM_014027058_1	cyprinodon|011930|XM_015387467_1	fundulus|017214|XM_021321409_1	gadus|011082|ENSGMOP00000012207_1	kryptolebias|010327|XM_017421833_2	medaka|008521|ENSORLP00000011493_1	poecilia|022209|ENSPFOP00000008936_2	spotted_gar|005253|ENSLOCP00000006337_1	stickleback|011349|ENSGACP00000015618_1	takifugu|005116|ENSTRUP00000012405_1	tetraodon|010344|ENSTNIP00000021167_1	tilapia|017176|ENSONIP00000021688_1	xmac|015061|ENSXMAP00000015110_1	zebrafish|006350|ENSDARP00000055766_5
Group_0_110	znf711	zinc finger protein 711%2C transcript variant X1	AAU|023254|maker-AAUscf291-pred_gff_Genewise-gene-0_4-mRNA-1	CTO|008676|maker-CTOv12scf191-pred_gff_Genewise-gene-0_62-mRNA-1	NOR|019250|maker-NORv12scf228-augustus-gene-0_90-mRNA-8	NFZgenbank|000204|rna380	PLP|012370|evm-PLPv12scf110-processed-gene-0_223-mRNA-1	astyanax|013838|ENSAMXP00000014240_1	austrofundulus|004871|XM_014006040_1	cyprinodon|008651|XM_015381573_1	fundulus|000092|XM_012859533_2	gadus|005943|ENSGMOP00000006506_1	kryptolebias|011526|XM_017424213_2	medaka|005767|ENSORLP00000007841_1	poecilia|018952|ENSPFOP00000012569_2	spotted_gar|014859|ENSLOCP00000018337_1	stickleback|017990|ENSGACP00000024145_1	takifugu|009911|ENSTRUP00000025193_1	tetraodon|005499|ENSTNIP00000011820_1	tilapia|017835|ENSONIP00000022509_1	xmac|009424|ENSXMAP00000009472_1	zebrafish|006679|ENSDARP00000097432_3
Group_0_137	znf143b	zinc finger protein 143b [Source:ZFIN%3BAcc:ZDB-GENE-040426-1586]	AAU|008405|evm-AAUscf990-processed-gene-0_1-mRNA-1	CTO|027858|maker-CTOv12scf231-pred_gff_Genewise-gene-0_125-mRNA-1	NOR|020254|evm-NORv12scf34728-processed-gene-1_13-mRNA-1	NFZgenbank|013402|rna24848	PLP|024117|SplitChimeric_1_evm-PLPv12scf42-processed-gene-2_273-mRNA-1	astyanax|003833|ENSAMXP00000003925_1	austrofundulus|016200|XM_014025372_1	cyprinodon|017501|XM_015397291_1	fundulus|011391|XM_021316363_1	gadus|001822|ENSGMOP00000002011_1	kryptolebias|014648|XM_017430245_2	medaka|001006|ENSORLP00000001395_1	poecilia|010644|ENSPFOP00000009078_2	spotted_gar|003611|ENSLOCP00000004318_1	stickleback|009378|ENSGACP00000012904_1	takifugu|009227|ENSTRUP00000023452_1	tetraodon|012115|ENSTNIP00000016741_1	tilapia|015506|ENSONIP00000019533_1	xmac|005146|ENSXMAP00000005182_1	zebrafish|019153|ENSDARP00000122626_1
Group_0_181	fezf2	FEZ family zinc finger 2	AAU|000028|AAUscf1029-frag-merged-region0-clust0-mRNA-1	CTO|026646|maker-CTOv12scf223-pred_gff_Genewise-gene-0_52-mRNA-1	NOR|028180|maker-NORv12scf33741-pred_gff_Genewise-gene-0_6-mRNA-1	NFZgenbank|020727|rna38271	PLP|015595|maker-PLPv12scf204-pred_gff_Genewise-gene-0_60-mRNA-1	astyanax|015825|ENSAMXP00000016312_1	austrofundulus|014229|XM_014022286_1	cyprinodon|022493|XM_015405332_1	fundulus|007781|XM_012857549_2	gadus|008546|ENSGMOP00000009413_1	kryptolebias|017388|XM_017435630_2	medaka|009462|ENSORLP00000012733_1	poecilia|010881|ENSPFOP00000000034_1	spotted_gar|010388|ENSLOCP00000012768_1	stickleback|011174|ENSGACP00000015381_1	takifugu|000384|ENSTRUP00000000906_1	tetraodon|014431|ENSTNIP00000017267_1	tilapia|003099|ENSONIP00000003886_1	xmac|007833|ENSXMAP00000007859_1	zebrafish|005753|ENSDARP00000140905_1
Group_0_190	bcl6b	B-cell CLL/lymphoma 6%2C member B%2C transcript variant X1	AAU|000700|AAUscf229-frag-merged-region6-clust0-mRNA-1	CTO|006887|maker-CTOv12scf16-pred_gff_Genewise-gene-1_202-mRNA-1	NOR|029894|maker-NORv12scf115-pred_gff_Genewise-gene-0_19-mRNA-1	NFZgenbank|020549|rna37931	PLP|025346|PLPv12scf43	astyanax|012978|ENSAMXP00000013397_1	austrofundulus|019426|XM_014030409_1	cyprinodon|007536|XM_015379468_1	fundulus|018612|XM_012874743_2	gadus|013517|ENSGMOP00000014867_1	kryptolebias|021285|XM_017404090_2	medaka|006162|ENSORLP00000008358_1	poecilia|017600|ENSPFOP00000009496_1	spotted_gar|013268|ENSLOCP00000016386_1	stickleback|019120|ENSGACP00000025574_1	takifugu|013094|ENSTRUP00000033649_1	tetraodon|016379|ENSTNIP00000005111_1	tilapia|004814|ENSONIP00000006066_1	xmac|015589|ENSXMAP00000015647_1	zebrafish|021616|ENSDARP00000091581_4
