Protein stable ID	Human gene stable ID
ENSPFOP00000011271	
ENSPFOP00000000403	ENSG00000153885
ENSPFOP00000010556	ENSG00000085552
ENSPFOP00000026715	
ENSPFOP00000025927	ENSG00000103067
ENSPFOP00000011494	ENSG00000174885
ENSPFOP00000030582	ENSG00000174885
ENSPFOP00000007193	ENSG00000136936
ENSPFOP00000001041	
ENSPFOP00000000787	ENSG00000161179
ENSPFOP00000014512	ENSG00000103067
ENSPFOP00000005099	ENSG00000111218
ENSPFOP00000011823	
ENSPFOP00000001819	ENSG00000117054
ENSPFOP00000020220	
ENSPFOP00000020729	
ENSPFOP00000000825	ENSG00000107281
ENSPFOP00000001127	ENSG00000072518
ENSPFOP00000014596	ENSG00000159461
ENSPFOP00000020222	ENSG00000176204
ENSPFOP00000025054	ENSG00000176204
ENSPFOP00000007287	ENSG00000155886
ENSPFOP00000014633	ENSG00000100522
ENSPFOP00000010642	
ENSPFOP00000023471	
ENSPFOP00000014636	ENSG00000198252
ENSPFOP00000001421	ENSG00000167771
ENSPFOP00000009412	
ENSPFOP00000000360	
ENSPFOP00000012493	ENSG00000179403
ENSPFOP00000023873	
ENSPFOP00000001823	ENSG00000142937
ENSPFOP00000029278	ENSG00000130038
ENSPFOP00000005472	ENSG00000130038
ENSPFOP00000009418	
ENSPFOP00000000469	
ENSPFOP00000023994	
ENSPFOP00000001426	ENSG00000110583
ENSPFOP00000007355	ENSG00000095380
ENSPFOP00000023171	
ENSPFOP00000010695	
ENSPFOP00000027377	ENSG00000141664
ENSPFOP00000011842	ENSG00000141664
ENSPFOP00000011548	
ENSPFOP00000031009	
ENSPFOP00000012550	ENSG00000162542
ENSPFOP00000000377	ENSG00000239732
ENSPFOP00000000377	ENSG00000173366
ENSPFOP00000026173	ENSG00000239732
ENSPFOP00000026173	ENSG00000173366
ENSPFOP00000001517	ENSG00000149541
ENSPFOP00000022705	ENSG00000112139
ENSPFOP00000014800	ENSG00000112139
ENSPFOP00000022392	ENSG00000112139
ENSPFOP00000007441	ENSG00000122705
ENSPFOP00000024995	ENSG00000122705
ENSPFOP00000022279	ENSG00000126107
ENSPFOP00000002233	ENSG00000126107
ENSPFOP00000030802	
ENSPFOP00000022842	
ENSPFOP00000014860	
ENSPFOP00000024011	
ENSPFOP00000026988	
ENSPFOP00000025289	
ENSPFOP00000030919	
ENSPFOP00000031310	
ENSPFOP00000005504	ENSG00000133773
ENSPFOP00000021870	
ENSPFOP00000012574	ENSG00000158748
ENSPFOP00000000595	ENSG00000164062
ENSPFOP00000012578	ENSG00000173436
ENSPFOP00000014823	ENSG00000156639
ENSPFOP00000001564	ENSG00000213465
ENSPFOP00000001564	ENSG00000273003
ENSPFOP00000011871	ENSG00000096872
ENSPFOP00000012633	ENSG00000052723
ENSPFOP00000021200	ENSG00000127720
ENSPFOP00000005636	ENSG00000127720
ENSPFOP00000026893	ENSG00000159921
ENSPFOP00000007664	ENSG00000159921
ENSPFOP00000014911	ENSG00000021488
ENSPFOP00000026078	ENSG00000168062
ENSPFOP00000021380	ENSG00000160293
ENSPFOP00000011200	ENSG00000160293
ENSPFOP00000000472	ENSG00000257103
ENSPFOP00000011598	ENSG00000176014
ENSPFOP00000011920	ENSG00000184434
ENSPFOP00000025604	ENSG00000184434
ENSPFOP00000002444	ENSG00000142959
ENSPFOP00000004204	ENSG00000112759
ENSPFOP00000023599	ENSG00000112759
