Group_112_1	XM_015946039	rna7423	frmd7	XP_015801525.1
Group_34_12	XM_015946247	rna7463	LOC107376921	XP_015801733.1
Group_5252_0	XM_015946259	rna7475	pop7	XP_015801745.1
Group_14_7	XM_015946319	rna7542	LOC107376976	XP_015801805.1
Group_455_4	XM_015947011	rna8289	LOC107377441	XP_015802497.1
Group_4920_1	XM_015946965	rna8214	caap1	XP_015802451.1
Group_1102_1	XM_015946695	rna7913	LOC107377224	XP_015802181.1
Group_8956_0	XM_015946624	rna8101	LOC107377181	XP_015802110.1
Group_135_14	XM_015946885	rna8114	slc16a13	XP_015802371.1
Group_5329_0	XM_015975901	rna36562	lsm11	XP_015831387.1
Group_43_41	XM_015947142	rna8357	blk	XP_015802628.1
Group_0_103	XM_015947149	rna8363	znf513	XP_015802635.1
Group_635_0	XM_015947245	rna8455	LOC107377564	XP_015802731.1
Group_2758_1	XM_015947289	rna8501	LOC107377588	XP_015802775.1
Group_7250_0	XM_015947353	rna8563	tmem18	XP_015802839.1
Group_6753_0	XM_015947432	rna8638	ttc32	XP_015802918.1
Group_817_0	XM_015947431	rna8639	LOC107377665	XP_015802917.1
Group_1592_0	XM_015947446	rna8652	LOC107377676	XP_015802932.1
Group_9209_0	XM_015947593	rna8799	LOC107377767	XP_015803079.1
Group_7090_0	XM_015947600	rna8809	ccdc25	XP_015803086.1
Group_84_12	XM_015947705	rna8904	LOC107377829	XP_015803191.1
Group_2787_1	XM_015948254	rna9490	glrx5	XP_015803740.1
Group_1502_2	XM_015948164	rna9349	trib2	XP_015803650.1
Group_5193_0	XM_015948155	rna9359	trmt6	XP_015803641.1
Group_1662_2	XM_015948098	rna9413	mdga2	XP_015803584.1
Group_894_3	XM_015947993	rna9246	itpkb	XP_015803479.1
Group_2329_1	XM_015948333	rna9521	disp1	XP_015803819.1
Group_1073_0	XM_015955468	rna16621	prtfdc1	XP_015810954.1
Group_1479_2	XM_015955461	rna16615	gpr158	XP_015810947.1
Group_836_3	XM_015955442	rna16597	acbd5	XP_015810928.1
Group_7360_0	XM_015955312	rna16457	cmbl	XP_015810798.1
Group_380_1	XM_015955288	rna16440	pi15	XP_015810774.1
Group_2234_1	XM_015955286	rna16439	gdap1	XP_015810772.1
Group_892_1	XM_015955277	rna16434	rdh10	XP_015810763.1
Group_190_9	XM_015955219	rna16371	LOC107382878	XP_015810705.1
Group_8966_0	XM_015954617	rna15760	LOC107382474	XP_015810103.1
Group_2517_1	XM_015954628	rna15773	lmbr1	XP_015810114.1
Group_84_22	XM_015954692	rna15835	LOC107382525	XP_015810178.1
Group_2611_2	XM_015954759	rna15911	puf60	XP_015810245.1
Group_119_11	XM_015954910	rna16062	olfm3	XP_015810396.1
Group_6633_0	XM_015954124	rna15721	rps3a	XP_015809610.1
Group_66_38	XM_015977098	rna37797	LOC107397179	XP_015832584.1
Group_933_1	XM_015953179	rna14150	LOC107381483	XP_015808665.1
Group_386_4	XM_015953124	rna14262	ext2	XP_015808610.1
Group_6373_0	XM_015953024	rna14362	pigb	XP_015808510.1
Group_1363_0	XM_015952978	rna14403	phlpp2	XP_015808464.1
Group_904_3	XM_015952923	rna14469	mc1r	XP_015808409.1
Group_5524_0	XM_015975215	rna35874	atmin	XP_015830701.1
Group_5521_0	XM_015975218	rna35875	cenpn	XP_015830704.1
Group_82_28	XM_015953691	rna14653	LOC107381807	XP_015809177.1
Group_4196_0	XM_015953598	rna14748	glce	XP_015809084.1
Group_68_25	XM_015952712	rna13855	LOC107381155	XP_015808198.1
Group_1503_0	XM_015952805	rna13876	LOC107381229	XP_015808291.1
Group_1650_1	XM_015952784	rna13928	LOC107381213	XP_015808270.1
Group_5149_0	XM_015952801	rna13948	cstf3	XP_015808287.1
Group_64_1	XM_015953947	rna15160	adamts18	XP_015809433.1
Group_5388_0	XM_015973432	rna34066	ints3	XP_015828918.1
Group_4790_1	XM_015973515	rna34152	exosc7	XP_015829001.1
Group_2653_1	XM_015973583	rna34211	LOC107394592	XP_015829069.1
Group_254_7	XM_015973584	rna34212	LOC107394594	XP_015829070.1
Group_7996_0	XM_015975665	rna36326	bend3	XP_015831151.1
Group_7040_0	XM_015973630	rna34257	mrpl9	XP_015829116.1
