rna0	XM_015955279
rna1	XM_015955357
rna2	XM_015955167
rna3	XM_015955051
rna4	XM_015954860
rna5	XM_015954936
rna6	XM_015944033
rna8	XM_015954529
rna9	XM_015954629
rna10	XM_015954752
rna11	XM_015954046
rna12	XM_015954189
rna13	XM_015954117
rna14	XM_015954266
rna15	XM_015954343
rna16	XM_015954421
rna17	XM_015953931
rna18	XM_015953839
rna19	XM_015953719
rna20	XM_015953522
rna21	XM_015953603
rna22	XM_015953332
rna23	XM_015953260
rna25	XM_015953142
rna26	XM_015953013
rna27	XM_015952896
rna28	XM_015952785
rna29	XM_015952676
rna30	XM_015952469
rna31	XM_015952550
rna32	XM_015952391
rna33	XM_015952281
rna34	XM_015942891
rna35	XM_015952162
rna36	XM_015951954
rna37	XM_015951818
rna38	XM_015951741
rna39	XM_015951892
rna40	XM_015952055
rna41	XM_015951541
rna43	XM_015951346
rna44	XM_015951269
rna45	XM_015951428
rna46	XM_015951145
rna47	XM_015951019
rna48	XM_015950913
rna49	XM_015950729
rna50	XM_015950808
rna51	XM_015950657
rna52	XM_015950533
rna53	XM_015950414
rna55	XM_015950103
rna56	XM_015950175
rna57	XM_015949987
rna58	XM_015949609
rna59	XM_015949873
rna60	XM_015949711
rna61	XM_015949790
rna62	XM_015949488
rna63	XM_015949249
rna64	XM_015949372
rna65	XM_015949141
rna66	XM_015949029
rna67	XM_015948954
rna68	XM_015948856
rna70	XM_015948652
rna71	XM_015948736
rna72	XM_015948373
rna73	XM_015948449
rna74	XM_015948531
rna75	XM_015948182
rna76	XM_015948256
rna77	XM_015948100
rna78	XM_015947921
rna79	XM_015947988
rna80	XM_015947794
rna81	XM_015947349
rna82	XM_015947587
rna83	XM_015947429
rna84	XM_015947507
rna85	XM_015947670
rna86	XM_015947220
rna87	XM_015955656
rna88	XM_015955550
rna89	XM_015947098
rna90	XM_015946977
rna91	XM_015946868
rna92	XM_015946414
rna94	XM_015946331
rna95	XM_015946595
rna96	XM_015946756
rna97	XM_015946531
rna98	XM_015946675
rna99	XM_015946153
rna100	XM_015946221
rna101	XM_015946027
rna102	XM_015945965
rna103	XM_015945845
rna104	XM_015969768
rna105	XM_015945558
rna106	XM_015945640
rna107	XM_015945720
rna110	XM_015945325
rna111	XM_015945169
