OrthoID	SpGeneId	GeneSymbol	GeneName	chr	start	end	p.x	dN.x	dS.x	pN.x	pS.x	DoS.x	p.y	dN.y	dS.y	pN.y	pS.y	DoS.y	deltaDoSP	deltaDoSQ	dNdSP	pNpSP	deltaDoS	deltaDoSQuantile
Group_8211_0	16639	bub1ba	BUB1 mitotic checkpoint serine/threonine kinase Ba [Source:ZFIN%3BAcc:ZDB-GENE-041014-120]	chr1	56042108	56047180	0.000811731327949425	29	10	1	8	0.632478632478632	0.521276595744681	28	18	2	0	-0.391304347826087	0.0138623775291298	0.76567357659235	0.2770421679259	0.0938366732189558	1.02378298030472	1
Group_1139_3	3169	entpd1	ectonucleoside triphosphate diphosphohydrolase 1%2C transcript variant X1	chr16	28714391	28737345	0.079075857511717	9	7	1	7	0.4375	0.476190476190476	9	11	2	0	-0.55	0.0429982446550225	1	0.737315677216418	0.120507369086655	0.9875	0.99971069000434
Group_4831_0	21991	exosc8	exosome component 8	chr15	28656645	28665342	0.627850410459106	5	13	1	8	0.166666666666667	0.0215384615384615	5	18	3	0	-0.782608695652174	0.0204282202641408	0.887225688774027	0.935894478762167	0.0338948535246893	0.949275362318841	0.999421380008679
Group_793_0	30672	mcoln1a	mucolipin 1a [Source:ZFIN%3BAcc:ZDB-GENE-040426-2704]	chr10	46426428	46444669	1	3	14	2	7	-0.0457516339869281	0.130434782608696	2	20	1	0	-0.909090909090909	0.0377397964956028	1	0.756875401797386	0.64548484933412	0.863339275103981	0.997251555041227
Group_13_56	21282	klhl43	kelch-like family member 43 [Source:ZFIN%3BAcc:ZDB-GENE-141212-285]	chr12	18405892	18414358	0.437470744265876	8	15	2	9	0.16600790513834	0.128205128205128	8	17	2	0	-0.68	0.0378652461576673	1	0.999999999999999	0.140655772280791	0.84600790513834	0.996383625054246
Group_2916_0	19380	slc35g2a	solute carrier family 35%2C member G2a [Source:ZFIN%3BAcc:ZDB-GENE-041114-202]	chr18	17813489	17818202	1	2	8	2	9	0.0181818181818182	0.307692307692307	3	9	1	0	-0.75	0.0427861890015712	1	1	0.546493595406582	0.768181818181818	0.989440185158397
Group_1923_2	1306	rnpepl1	arginyl aminopeptidase (aminopeptidase B)-like 1	chr7	36302330	36313118	1	5	24	2	8	-0.0275862068965517	0.25	8	27	1	0	-0.771428571428571	0.0280328849213673	0.953618397105276	0.807382890218798	0.592499104173064	0.743842364532019	0.986691740199624
Group_47_6	24772	sema3aa	sema domain%2C immunoglobulin domain (Ig)%2C short basic domain%2C secreted%2C (semaphorin) 3Aa [Source:ZFIN%3BAcc:ZDB-GENE-991209-3]	chr2	13563803	13598554	1	3	15	2	10	0	0.291666666666667	6	17	1	0	-0.739130434782609	0.0121296805820178	0.729820338735743	0.73155501066367	0.505985043644893	0.739130434782609	0.985245190221322
Group_1493_1	20238	ttc28	tetratricopeptide repeat domain 28 [Source:HGNC Symbol%3BAcc:HGNC:29179]	chr8	47880888	48092873	0.0607022627070878	45	46	2	10	0.327838827838828	0.0106472212377778	47	47	10	1	-0.409090909090909	0.00525071030781009	0.465657729369774	1	0.00167384198234832	0.736929736929737	0.984666570230001
Group_8438_0	15396	loc107386667		chr16	752740	758487	0.012786923076867	54	21	3	7	0.42	0.100162056993175	60	27	8	0	-0.310344827586207	0.0202221494115509	0.887034799026675	0.803191863579776	0.0110648631306727	0.730344827586207	0.984087950238681
Group_636_1	8063	cabz01032983.1	unknown	chr1	62753751	62774629	0.67282022760332	5	18	3	7	-0.0826086956521739	0.21875	6	25	1	0	-0.806451612903226	0.0265377338459702	0.930051816591501	0.999999999999999	0.7662303342597	0.723842917251052	0.98379864024302
Group_1159_1	12494	gpr61	G protein-coupled receptor 61 [Source:ZFIN%3BAcc:ZDB-GENE-081104-239]	chr13	25452381	25453775	0.0421052631578948	10	7	1	7	0.463235294117647	0.564532019704434	11	16	2	1	-0.259259259259259	0.0457154349416002	1	0.390140697620327	0.299994470677225	0.722494553376906	0.98307536525387
Group_4824_0	16037	polh	polymerase (DNA) eta	chr6	24306796	24311221	0.256548759880436	19	18	6	12	0.18018018018018	0.110444177671068	22	25	4	0	-0.531914893617021	0.00345862545646759	0.443682914689116	0.846433212453559	0.0618944589639627	0.712095073797201	0.981773470273398
