Protein stable ID	Human gene stable ID
ENSAMXP00000000001	
ENSAMXP00000000013	
ENSAMXP00000000002	
ENSAMXP00000000003	ENSG00000163817
ENSAMXP00000000004	
ENSAMXP00000000005	
ENSAMXP00000000009	ENSG00000116329
ENSAMXP00000000017	ENSG00000079215
ENSAMXP00000000006	
ENSAMXP00000000021	ENSG00000162006
ENSAMXP00000000007	
ENSAMXP00000000014	ENSG00000164591
ENSAMXP00000000008	ENSG00000072952
ENSAMXP00000000010	
ENSAMXP00000000012	ENSG00000267022
ENSAMXP00000000012	ENSG00000204920
ENSAMXP00000000012	ENSG00000167380
ENSAMXP00000000012	ENSG00000267508
ENSAMXP00000000012	ENSG00000062370
ENSAMXP00000000012	ENSG00000159882
ENSAMXP00000000012	ENSG00000149050
ENSAMXP00000000012	ENSG00000159915
ENSAMXP00000000012	ENSG00000159917
ENSAMXP00000000012	ENSG00000186026
ENSAMXP00000000012	ENSG00000159905
ENSAMXP00000000012	ENSG00000159885
ENSAMXP00000000012	ENSG00000267680
ENSAMXP00000000012	ENSG00000263002
ENSAMXP00000000012	ENSG00000179195
ENSAMXP00000000012	ENSG00000131115
ENSAMXP00000000012	ENSG00000196793
ENSAMXP00000000012	ENSG00000178386
ENSAMXP00000000012	ENSG00000267173
ENSAMXP00000000020	ENSG00000179314
ENSAMXP00000000032	ENSG00000116016
ENSAMXP00000000011	
ENSAMXP00000000019	ENSG00000204138
ENSAMXP00000000015	ENSG00000197930
ENSAMXP00000000016	
ENSAMXP00000000018	
ENSAMXP00000000026	ENSG00000155380
ENSAMXP00000000022	ENSG00000102854
ENSAMXP00000000029	ENSG00000088899
ENSAMXP00000000023	ENSG00000135723
ENSAMXP00000000024	ENSG00000178217
ENSAMXP00000000027	ENSG00000178217
ENSAMXP00000000025	ENSG00000134775
ENSAMXP00000000028	
ENSAMXP00000000031	ENSG00000066185
ENSAMXP00000000030	ENSG00000124535
ENSAMXP00000000052	
ENSAMXP00000000033	
ENSAMXP00000000034	ENSG00000177181
ENSAMXP00000000036	ENSG00000155363
ENSAMXP00000000035	ENSG00000116731
ENSAMXP00000000041	ENSG00000143442
ENSAMXP00000000039	ENSG00000134245
ENSAMXP00000000037	ENSG00000157087
ENSAMXP00000000043	ENSG00000129682
ENSAMXP00000000065	ENSG00000171132
ENSAMXP00000000038	ENSG00000196305
ENSAMXP00000000040	ENSG00000116489
ENSAMXP00000000040	ENSG00000198898
ENSAMXP00000000042	ENSG00000143079
ENSAMXP00000000044	
ENSAMXP00000000051	
ENSAMXP00000000045	ENSG00000101981
ENSAMXP00000000046	ENSG00000064703
ENSAMXP00000000047	ENSG00000101977
ENSAMXP00000000048	ENSG00000197852
ENSAMXP00000000049	ENSG00000127314
ENSAMXP00000000050	
ENSAMXP00000000053	ENSG00000023902
ENSAMXP00000000054	ENSG00000116745
ENSAMXP00000000063	ENSG00000026025
ENSAMXP00000000058	ENSG00000149257
ENSAMXP00000000056	ENSG00000135324
ENSAMXP00000000055	ENSG00000024526
ENSAMXP00000000057	ENSG00000169905
ENSAMXP00000000057	ENSG00000143337
ENSAMXP00000000059	ENSG00000169905
ENSAMXP00000000059	ENSG00000143337
