Group_1189_1	XM_015946529	rna7763	ddit4l	XP_015802015.1
Group_8357_0	XM_015946664	rna7880	LOC107377198	XP_015802150.1
Group_7157_0	XM_015946901	rna8161	msantd1	XP_015802387.1
Group_4600_0	XM_015974464	rna35078	sec63	XP_015829950.1
Group_181_0	XM_015947102	rna8313	aldh8a1	XP_015802588.1
Group_178_2	XM_015947133	rna8346	mtmr9	XP_015802619.1
Group_1710_0	XM_015947144	rna8359	LOC107377506	XP_015802630.1
Group_7841_0	XM_015947201	rna8413	gen1	XP_015802687.1
Group_1750_3	XM_015947210	rna8414	msgn1	XP_015802696.1
Group_1855_3	XM_015947214	rna8424	dynlt1	XP_015802700.1
Group_3_65	XM_015947246	rna8457	rab32	XP_015802732.1
Group_4979_0	XM_015947286	rna8499	fdft1	XP_015802772.1
Group_1396_0	XM_015947320	rna8533	parp1	XP_015802806.1
Group_320_6	XM_015947391	rna8600	eva1a	XP_015802877.1
Group_142_23	XM_015947428	rna8637	LOC107377664	XP_015802914.1
Group_6488_0	XM_015947599	rna8805	pbk	XP_015803085.1
Group_4198_0	XM_015947684	rna8891	emc7	XP_015803170.1
Group_3193_1	XM_015947685	rna8892	katnbl1	XP_015803171.1
Group_7365_0	XM_015947733	rna8936	csgr04h12orf57	XP_015803219.1
Group_1028_5	XM_015947830	rna9039	LOC107377902	XP_015803316.1
Group_637_7	XM_015947848	rna9050	LOC107377908	XP_015803334.1
Group_0_84	XM_015948163	rna9351	LOC107378121	XP_015803649.1
Group_90_14	XM_015948082	rna9367	plcb4	XP_015803568.1
Group_470_1	XM_015948104	rna9411	fkbp3	XP_015803590.1
Group_2977_1	XM_015948096	rna9417	mgat2	XP_015803582.1
Group_8544_1	XM_015955485	rna16639	LOC107383065	XP_015810971.1
Group_1221_3	XM_015955463	rna16617	ptchd3	XP_015810949.1
Group_8421_0	XM_015955459	rna16613	LOC107383045	XP_015810945.1
Group_8105_0	XM_015955406	rna16560	dap	XP_015810892.1
Group_1078_3	XM_015955308	rna16452	neto1	XP_015810794.1
Group_1542_0	XM_015955253	rna16407	prdm14	XP_015810739.1
Group_536_4	XM_015955224	rna16376	bhlhe22	XP_015810710.1
Group_514_0	XM_015955220	rna16372	tagln3	XP_015810706.1
Group_574_0	XM_015955201	rna16353	wasf3	XP_015810687.1
Group_153_21	XM_015955108	rna16264	zic1	XP_015810594.1
Group_4642_0	XM_015954606	rna15734	nphp3	XP_015810092.1
Group_2181_2	XM_015954616	rna15759	LOC107382473	XP_015810102.1
Group_19_16	XM_015954618	rna15761	htr5a	XP_015810104.1
Group_2040_1	XM_015954712	rna15857	nfx1	XP_015810198.1
Group_4514_0	XM_015954779	rna15919	pxdc1	XP_015810265.1
Group_870_4	XM_015954955	rna16116	LOC107382701	XP_015810441.1
Group_8153_1	XM_015954274	rna15565	LOC107382221	XP_015809760.1
Group_3430_0	XM_015954280	rna15561	elof1	XP_015809766.1
Group_3_5	XM_015954281	rna15558	LOC107382226	XP_015809767.1
Group_7888_0	XM_015952861	rna13966	rec114	XP_015808347.1
Group_2796_0	XM_015953281	rna14045	LOC107381551	XP_015808767.1
