OrthoID	SpGeneId	GeneSymbol	GeneName	chr	start	end	alpha	p	dN	dS	pN	pS	DoS
Group_7938_0	14409	ctc1	CTS telomere maintenance complex component 1 [Source:ZFIN%3BAcc:ZDB-GENE-061103-271]	chr1	307206	462262	0.340425531914894	0.734313941224015	47	31	5	5	0.102564102564103
Group_1088_2	14420	loc107376790		chr1	1159937	1180028	0.238095238095238	1	15	20	4	7	0.0649350649350649
Group_5098_1	20804	mrps7	mitochondrial ribosomal protein S7	chr1	2174793	2178648	0.8	1	5	1	1	0	-0.166666666666667
Group_60_28	20815	cyp17a2	uncharacterized protein LOC100702216  [Source:RefSeq peptide%3BAcc:NP_001266387]	chr1	2364017	2368736	-0.5	0.419354838709677	12	18	1	0	-0.6
Group_2978_0	20807	si:ch73-290k24.5	si:ch73-290k24.5 [Source:ZFIN%3BAcc:ZDB-GENE-110411-284]	chr1	2381776	2393978	0.0869565217391305	1	23	21	1	0	-0.477272727272727
Group_4759_0	17831	wdr55	WD repeat domain 55	chr1	2607946	2613938	-1.85714285714286	0.210526315789474	7	10	2	0	-0.588235294117647
Group_766_0-Group_766_4	951	psip1	PC4 and SFRS1 interacting protein 1%2C transcript variant X1	chr1	2617552	2633557	0.0769230769230769	1	65	30	12	6	0.0175438596491229
Group_8128_0	17825	si:ch73-132f6.5	si:ch73-132f6.5 [Source:ZFIN%3BAcc:ZDB-GENE-030131-9581]	chr1	2884037	2904321	-1.5	0.305555555555556	10	25	1	0	-0.714285714285714
Group_1423_1	17823	loc107396751		chr1	2908813	2911816	-0.333333333333333	1	3	4	1	0	-0.571428571428571
Group_73_8	17819	npy2rl	neuropeptide Y receptor Y2%2C like [Source:ZFIN%3BAcc:ZDB-GENE-111115-4]	chr1	3047301	3053481	-8	0.485714285714286	1	3	3	1	-0.5
Group_157_2	9905	slc4a11	solute carrier family 4%2C sodium borate transporter%2C member 11 [Source:ZFIN%3BAcc:ZDB-GENE-090313-183]	chr1	3698351	3865632	-0.846153846153846	0.648093841642229	13	16	3	2	-0.151724137931034
Group_3109_1	9910	tmem236	transmembrane protein 236	chr1	3933214	3936958	-2.5	0.263157894736842	4	14	1	0	-0.777777777777778
Group_273_4	30464	si:ch73-106g13.1	si:ch73-106g13.1 [Source:ZFIN%3BAcc:ZDB-GENE-110408-58]	chr1	5256149	5261156	0.708333333333333	0.35	12	7	2	4	0.298245614035088
Group_1097_2	10976	loc107376814		chr1	5339139	5356606	0.75	0.180349675705713	22	11	2	4	0.333333333333333
Group_925_0	30459	rnf150b	ring finger protein 150b [Source:ZFIN%3BAcc:ZDB-GENE-050417-470]	chr1	5695963	5718338	0	1	3	6	1	2	0
Group_2894_0	10982	si:ch211-149b19.3	si:ch211-149b19.3 [Source:ZFIN%3BAcc:ZDB-GENE-110411-37]	chr1	5736581	5745414	-1.625	0.245098039215686	8	7	3	0	-0.466666666666667
