OrthoID	SpGeneId	GeneSymbol	GeneName	chr	start	end	p.x	dN.x	dS.x	pN.x	pS.x	DoS.x	p.y	dN.y	dS.y	pN.y	pS.y	DoS.y	diffDosP	diffDosQ	dNdSP	pNpSP	diffDoS	diffDoSQuantile
Group_0_0	7152	loc107388826		chr2	14886407	14889718	0.290297649404364	33	38	2	6	0.214788732394366	0.342262701108024	36	42	3	1	-0.288461538461538	0.256394458900097	0.803647039581238	1	0.300622988196907	0.503250270855904	0.84796044499382
Group_0_105	23606	prdm4	PR domain 4%2C transcript variant X1	chr18	23918200	23924537	1	14	19	2	3	0.0242424242424242	0.123494104993765	14	19	1	8	0.313131313131313	0.491387886538624	0.986509027832013	1	0.56017926063151	-0.288888888888889	0.0694684796044499
Group_0_110	196	loc107378318		chr3	2103367	2105036	0.530443756449949	2	13	1	3	-0.116666666666667	0.0584795321637427	3	14	2	0	-0.823529411764706	0.311749352365494	0.860323984865571	1	0.386476230771233	0.706862745098039	0.942645241038319
Group_0_120	752	zbtb14	zinc finger and BTB domain containing 14	chr10	47809	73046	0.251270468661773	2	16	2	4	-0.222222222222222	0.157894736842105	2	16	1	0	-0.888888888888889	0.283495249300548	0.832312975510582	1	0.876109960519607	0.666666666666667	0.927812113720643
Group_0_125	3446	znf362a	zinc finger protein 362a [Source:ZFIN%3BAcc:ZDB-GENE-061103-547]	chr14	26349561	26371438	1	6	10	2	3	-0.025	0.4	7	12	1	0	-0.631578947368421	0.311820483597565	0.860323984865571	1	1	0.606578947368421	0.902843016069221
Group_0_130	14187	znf131	zinc finger protein 131%2C transcript variant X2	chr19	28864940	28869648	1	10	20	1	3	0.0833333333333333	0.379310344827586	10	18	1	0	-0.642857142857143	0.435893372300632	0.951639241765419	1	0.819476976777521	0.726190476190476	0.949814585908529
Group_0_131	29894	bcl6b	B-cell CLL/lymphoma 6%2C member B%2C transcript variant X1	chr1	33917626	33921778	1	14	12	4	4	0.0384615384615384	1	16	14	2	1	-0.133333333333333	0.43355115241767	0.950509126570717	1	1	0.171794871794871	0.571322620519159
Group_0_132	23540	bcl6a	B-cell CLL/lymphoma 6a (zinc finger protein 51) [Source:ZFIN%3BAcc:ZDB-GENE-040426-1696]	chr16	47892551	47899370	1	3	11	2	5	-0.0714285714285714	0.217391304347826	4	18	1	0	-0.818181818181818	0.0690965673924247	0.486424840612494	1	0.782527924740067	0.746753246753247	0.955253399258344
Group_0_147	26632	loc107376145		chr6	61055767	61062243	0.316770186335404	8	11	3	1	-0.328947368421053	0.217391304347826	9	12	2	0	-0.571428571428571	0.728586566040632	1	1	1	0.242481203007518	0.647466007416564
Group_0_153	29822	zbtb39	zinc finger and BTB domain containing 39	chr13	29903178	29915920	0.746977664483782	22	24	6	5	-0.067193675889328	1	24	25	1	2	0.156462585034014	0.191439628060178	0.729945614141305	1	1	-0.223656260923342	0.100123609394314
Group_0_159	24736	loc107387938		chr2	11901284	11902432	1	9	3	5	2	0.0357142857142857	1	12	5	1	0	-0.294117647058823	0.134378742771406	0.641885209336297	1	1	0.329831932773109	0.731520395550062
Group_0_162	7432	zbtb40	zinc finger and BTB domain containing 40	chr14	2652327	2808551	0.0877867075960542	61	52	2	7	0.317600786627335	1	61	55	1	0	-0.474137931034483	0.0624782831674527	0.46568893758819	0.93683827151042	0.64548484933412	0.791738717661818	0.972805933250927
Group_0_163	20103	znf236	zinc finger protein 236 [Source:ZFIN%3BAcc:ZDB-GENE-041111-195]	chr3	28755261	28864162	1	22	49	5	11	-0.00264084507042256	1	26	62	1	2	-0.0378787878787878	0.0136585325913078	0.213544848907474	0.981692156560932	1	0.0352379428083652	0.389616810877627
Group_0_164	1000	znf721	zinc finger protein 721	chr19	34631715	34647717	0.131008159674742	65	44	2	5	0.310615989515072	0.739378207057921	73	51	7	3	-0.111290322580645	0.395221147368115	0.920701699422347	0.999999999999999	0.233813693084654	0.421906312095717	0.803213844252163
Group_0_166	13122	znf628	zinc finger protein 628	chr3	47155421	47164855	0.758657700127174	25	42	5	7	-0.0435323383084577	0.272229822161423	28	56	2	1	-0.333333333333333	0.0553496952323478	0.429861191482104	0.735732319628391	0.897051202372999	0.289800995024875	0.694684796044499
Group_0_169	22055	loc107379038		chr3	34166026	34171850	0.617627357659087	28	31	1	3	0.224576271186441	1	28	37	1	1	-0.0692307692307692	0.703738404429932	1	0.757415102248992	1	0.29380704041721	0.69814585908529
Group_0_17	19888	loc107395477		NORv12scf34063	175117	190214	1	14	13	2	1	-0.148148148148148	1	15	13	1	0	-0.464285714285714	0.716999497856888	1	1	1	0.316137566137566	0.720148331273177
Group_0_174	1889	si: zfos-932h1.3	si: zfos-932h1.3 [Source:ZFIN%3BAcc:ZDB-GENE-141222-4]	chr2	8987732	8993232	0.357900671348181	30	28	9	4	-0.175066312997347	1	32	31	4	3	-0.0634920634920635	0.517131391079558	0.993061489429055	1	0.960804258976703	-0.111574249505284	0.193325092707046
Group_0_176-Group_0_92	5363	znf664	zinc finger protein 664 [Source:HGNC Symbol%3BAcc:HGNC:25406]	chr8	33604435	33608151	0.505401526483564	22	13	9	3	-0.121428571428571	1	27	15	3	1	-0.107142857142857	0.199897256694166	0.741003141672078	1	1	-0.014285714285714	0.302348578491965
Group_0_18	8111	hnrnpa0l	heterogeneous nuclear ribonucleoprotein A0%2C like [Source:ZFIN%3BAcc:ZDB-GENE-030131-618]	chr1	64201494	64210370	0.76150929203357	30	33	5	7	0.0595238095238095	1	33	37	2	2	-0.0285714285714286	0.218765653938395	0.77072822695219	0.999999999999999	1	0.0880952380952381	0.462793572311496
Group_0_22	7295	zxda	zinc finger%2C X-linked%2C duplicated A [Source:HGNC Symbol%3BAcc:HGNC:13198]	chr14	1492647	1541611	0.734120994404781	53	47	4	5	0.0855555555555556	1	58	47	1	1	0.0523809523809524	0.197303976092311	0.736928269695799	0.85617307711602	1	0.0331746031746032	0.38442521631644
Group_0_31	11093	prdm9	PR domain containing 9 [Source:ZFIN%3BAcc:ZDB-GENE-040426-1319]	chr16	34296493	34303921	0.771160589500843	21	30	7	8	-0.0549019607843138	0.305159450350013	22	32	3	1	-0.342592592592593	0.0841628678271537	0.539779315405452	1	0.656407733880705	0.287690631808279	0.692707045735476
Group_0_33	3509	znf574	zinc finger protein 574 [Source:ZFIN%3BAcc:ZDB-GENE-100922-259]	chr14	24805650	24832140	0.0694882679335295	18	23	1	9	0.339024390243902	1	19	30	1	3	0.137755102040816	0.270841199642241	0.815456140918209	0.781613181174449	1	0.201269288203086	0.603708281829419
Group_0_36	19395	znf341	zinc finger protein 341 [Source:ZFIN%3BAcc:ZDB-GENE-080204-99]	chr13	38788687	38796747	1	28	28	6	5	-0.0454545454545454	1	32	35	1	1	-0.0223880597014925	0.0642079045480616	0.470737047844828	0.947170060001444	1	-0.0230664857530529	0.291718170580964
Group_0_38	20101	znf407	zinc finger protein 407	chr3	29346397	29565892	0.781798908169862	36	50	7	8	-0.048062015503876	1	41	49	7	8	-0.0111111111111111	0.967865581038247	1	0.732373424423453	1	-0.0369509043927649	0.273671199011125
Group_0_4	8665	ctcf	CCCTC-binding factor (zinc finger protein) [Source:ZFIN%3BAcc:ZDB-GENE-040624-5]	chr8	60808570	60827265	0.656292179204679	8	28	2	5	-0.0634920634920635	1	8	28	1	5	0.0555555555555556	0.955913678728476	1	1	1	-0.119047619047619	0.185166872682324
Group_0_40	26190	znf513	zinc finger protein 513 [Source:HGNC Symbol%3BAcc:HGNC:26498]	chr14	50593210	50598172	1	8	15	1	3	0.0978260869565217	1	9	16	1	3	0.11	0.999270152883315	1	0.999999999999999	1	-0.0121739130434783	0.304326328800989
Group_0_43	14337	znf646	zinc finger protein 646 [Source:ZFIN%3BAcc:ZDB-GENE-160627-3]	chr16	18071108	18077479	0.733065400032963	41	26	5	4	0.0563847429519071	0.570561017929439	44	31	1	2	0.253333333333333	0.27783965174421	0.823158115860128	0.892419139799697	1	-0.196948590381426	0.116687268232386
Group_0_6	31371	prdm15	PR domain 15%2C transcript variant X3	chr15	10365354	10393999	0.503473767973794	15	29	5	6	-0.113636363636364	1	15	30	1	3	0.0833333333333333	0.340934483677922	0.888180850127351	1	0.905130514386065	-0.196969696969697	0.116440049443758
Group_0_65	31138	loc107379935		chr7	36086828	36095698	0.665154093401399	19	21	4	2	-0.191666666666667	1	22	22	2	1	-0.166666666666667	0.745302326267952	1	0.99169729949871	1	-0.025	0.287762669962917
Group_0_69	12687	znf521	zinc finger protein 521%2C transcript variant X1	chr5	34337110	34454813	0.660003279861156	8	29	1	9	0.116216216216216	0.0687950733327931	7	32	3	2	-0.42051282051282	0.134168082800939	0.641666273149946	0.909393829142652	0.148453688749753	0.536729036729036	0.869715698393078
Group_0_70	30252	si:ch211-216l23.1	si:ch211-216l23.1 [Source:ZFIN%3BAcc:ZDB-GENE-060503-121]	chr4	8411393	8519594	1	15	45	1	6	0.107142857142857	1	16	53	1	6	0.0890269151138716	0.989417190097065	1	0.973174469606865	1	0.0181159420289854	0.360939431396786
Group_0_72	6773	zbtb48	zinc finger and BTB domain containing 48	chr13	4915627	4924737	1	20	17	3	3	0.0405405405405406	0.658914728682171	19	22	3	2	-0.136585365853658	0.857482348694716	1	0.650183319262043	1	0.177125906394199	0.578244746600742
Group_0_73	8341	znf366	zinc finger protein 366 [Source:ZFIN%3BAcc:ZDB-GENE-110408-46]	chr19	30447182	30455900	1	27	24	5	5	0.0294117647058824	1	29	30	1	2	0.15819209039548	0.196565089707609	0.736069376815139	0.837464215765697	1	-0.128780325689598	0.175278121137206
Group_0_74	17042	znf710b	zinc finger protein 710b [Source:ZFIN%3BAcc:ZDB-GENE-120503-2]	chr11	10753708	10793816	0.53781512605042	3	10	2	2	-0.269230769230769	0.45	3	11	1	1	-0.285714285714286	0.876817408315002	1	1	1	0.016483516483517	0.356983930778739
Group_0_81	23539	zbtb11	zinc finger and BTB domain containing 11	chr16	48366230	48383101	0.253194893313746	17	28	5	3	-0.247222222222222	0.347202064183196	17	32	3	2	-0.253061224489796	0.811557229721404	1	0.923521870313992	1	0.005839002267574	0.341161928306551
Group_0_84	685	zbtb45	zinc finger and BTB domain containing 45 [Source:HGNC Symbol%3BAcc:HGNC:23715]	chr10	48776072	48796476	0.0275689223057644	2	15	3	1	-0.632352941176471	0.166666666666667	2	15	1	0	-0.882352941176471	0.61934884369261	1	1	1	0.25	0.657107540173053
Group_0_85	6053	znf652	zinc finger protein 652	chr16	16528739	16561440	0.675719460369071	5	14	2	10	0.0964912280701754	0.318181818181818	6	15	1	0	-0.714285714285714	0.0268003755894113	0.293999571067295	1	0.505985043644893	0.810776942355889	0.979233621755253
Group_1_13	31586	nlrc3	NLR family%2C CARD domain containing 3	chr17	14499768	14515618	1	15	25	6	11	0.0220588235294117	0.718317664939587	18	31	4	5	-0.0770975056689342	0.313424267161049	0.863025181367429	0.999999999999999	0.974001747497567	0.0991563291983459	0.476885043263288
Group_1_19	1880	nlrc3l	NLR family%2C CARD domain containing 3-like [Source:ZFIN%3BAcc:ZDB-GENE-121214-346]	chr7	15323619	15329701	0.157214790913892	17	25	7	3	-0.295238095238095	0.431818181818182	18	25	1	0	-0.581395348837209	0.0748260191657406	0.51015357725434	1	1	0.286157253599114	0.690482076637824
Group_1_20	30945	si:dkey-17e16.8	si:dkey-17e16.8 [Source:ZFIN%3BAcc:ZDB-GENE-091204-248]	chr15	15306932	15309880	1	25	18	4	2	-0.0852713178294573	1	27	20	1	0	-0.425531914893617	0.264470900489763	0.810483603841815	1	1	0.34026059706416	0.741409147095179
Group_1_7	18170	nod2	nucleotide-binding oligomerization domain containing 2 [Source:ZFIN%3BAcc:ZDB-GENE-061108-4]	chr11	5521839	5533941	0.154815206878301	24	16	3	7	0.3	0.15207104118243	28	18	1	4	0.408695652173913	0.525313900080098	0.995641194260867	1	1	-0.108695652173913	0.196786155747837
Group_1_8	11561	nlrx1	NLR family member X1 [Source:ZFIN%3BAcc:ZDB-GENE-071119-3]	chr6	60205433	60243886	1	14	27	2	3	-0.0585365853658537	1	17	25	3	5	0.0297619047619048	0.824910088555669	1	0.712053390685095	1	-0.0882984901277585	0.212360939431397
Group_10_10	21927	p2ry12	purinergic receptor P2Y%2C G-protein coupled%2C 12 [Source:ZFIN%3BAcc:ZDB-GENE-110208-4]	chr7	32877219	32881160	0.336415461624027	20	7	3	3	0.240740740740741	1	22	8	1	0	-0.266666666666667	0.250511844937427	0.795467057374716	1	1	0.507407407407408	0.850927070457355
Group_10_15	31987	cu694531.2	unknown	chr15	15358266	15370464	0.357805215094553	20	23	9	5	-0.177740863787375	0.427304324275526	25	25	2	5	0.214285714285714	0.165081886827137	0.683944826030453	0.898514453481306	0.279541380072366	-0.392026578073089	0.0420271940667491
Group_10_18	28793	loc107384460		chr5	40591342	40592196	0.164835164835165	4	8	2	0	-0.666666666666667	0.4	5	9	1	0	-0.642857142857143	NA	NA	0.999999999999999	NA	-0.0238095238095239	0.289493201483313
Group_10_27	32176	lpar5b	lysophosphatidic acid receptor 5b [Source:ZFIN%3BAcc:ZDB-GENE-081022-116]	chr16	11416459	11432254	1	18	20	1	1	-0.0263157894736842	0.0993031358885017	17	22	3	0	-0.564102564102564	0.556729587927362	1	0.917137548629404	0.819476976777521	0.53778677462888	0.870457354758962
Group_10_65	14005	si:dkey-163m14.2	si:dkey-163m14.2 [Source:ZFIN%3BAcc:ZDB-GENE-120215-47]	chr8	21792050	21793147	1	10	5	4	2	0	1	11	7	1	0	-0.388888888888889	0.251785137469205	0.797558616897979	1	1	0.388888888888889	0.780222496909765
Group_10_7	1189	p2ry13	purinergic receptor P2Y13 [Source:HGNC Symbol%3BAcc:HGNC:4537]	chr7	32891647	32892576	0.5	1	5	2	2	-0.333333333333333	1	2	5	1	1	-0.214285714285714	0.813347908129874	1	1	1	-0.119047619047619	0.185908529048208
Group_10_72	23553	gpr17	G protein-coupled receptor 17	chr16	47842521	47848775	0.568627450980392	2	10	2	4	-0.166666666666667	0.2	2	12	1	0	-0.857142857142857	0.232989303592477	0.78206141104077	1	0.876109960519607	0.69047619047619	0.938442521631644
Group_10_75	17932	si:ch211-184m13.4	si:ch211-184m13.4 [Source:ZFIN%3BAcc:ZDB-GENE-070912-160]	chr9	26931745	26932970	0.264251537935748	12	6	1	3	0.416666666666667	1	13	7	1	1	0.15	0.772990436109824	1	1	1	0.266666666666667	0.673176761433869
Group_10_78	22998	cysltr3	cysteinyl leukotriene receptor 3 [Source:ZFIN%3BAcc:ZDB-GENE-131127-536]	chr1	20901606	20920562	0.327833519137867	16	4	4	3	0.228571428571429	1	16	5	3	1	0.0119047619047619	0.758095963324609	1	1	1	0.216666666666667	0.620766378244747
Group_100_13	25405	slc2a9	solute carrier family 2 member 9%2C transcript variant X2	chr14	19433600	19641176	1	6	15	1	2	-0.0476190476190476	0.36734569778048	6	15	3	3	-0.214285714285714	0.794698978331599	1	1	1	0.166666666666666	0.562422744128554
Group_100_18	29025	slc2a11l	solute carrier family 2 (facilitated glucose transporter)%2C member 11-like [Source:ZFIN%3BAcc:ZDB-GENE-061215-118]	chr8	36414386	36421362	1	12	9	4	3	0	0.693261873462096	13	13	5	3	-0.125	0.959924360812342	1	0.846245390368641	1	0.125	0.511742892459827
Group_100_2	30588	slc2a3b	solute carrier family 2 (facilitated glucose transporter)%2C member 3b [Source:ZFIN%3BAcc:ZDB-GENE-121031-5]	chr3	47240935	47248478	0.426986506746627	11	9	3	6	0.216666666666667	0.343185550082102	12	12	1	4	0.3	0.599382992630551	1	0.978019009152955	1	-0.083333333333333	0.220519159456119
Group_100_25	7545	slc2a5	solute carrier family 2 member 5	chr13	26492174	26498276	0.110769230769231	7	17	2	0	-0.708333333333333	1	7	19	1	4	0.0692307692307692	0.257505929423942	0.804112944515013	1	0.277101667269385	-0.777564102564102	0.00173053152039555
Group_100_6	8193	slc2a8	solute carrier family 2 (facilitated glucose transporter)%2C member 8 [Source:ZFIN%3BAcc:ZDB-GENE-030829-25]	chr15	3492850	3498831	1	6	15	2	4	-0.0476190476190476	0.234432234432234	7	18	2	1	-0.386666666666667	0.545431340787148	1	1	0.812524269315369	0.339047619047619	0.740420271940668
Group_1000_1	10420	tmem30c	transmembrane protein 30C [Source:ZFIN%3BAcc:ZDB-GENE-040426-1127]	chr9	16515049	16562155	1	36	29	9	7	-0.00865384615384612	0.0360232452517961	39	33	6	0	-0.458333333333333	0.0476027691516296	0.408188502879502	0.999999999999999	0.147547862544639	0.449679487179487	0.812608158220025
Group_1002_2	25849	loc107386313		chr15	9767422	9770007	0.592017178224075	17	8	2	2	0.18	1	18	9	1	0	-0.333333333333333	0.492904528294326	0.986509027832013	1	1	0.513333333333333	0.853646477132262
Group_1003_1	27550	lonrf1	LON peptidase N-terminal domain and ring finger 1 [Source:ZFIN%3BAcc:ZDB-GENE-101021-4]	chr14	469940	494456	0.58	13	10	1	2	0.231884057971014	1	13	11	1	0	-0.458333333333333	0.566452537595739	1	1	1	0.690217391304347	0.938195302843016
Group_1003_2	4921	lonrf1l	LON peptidase N-terminal domain and ring finger 1%2C like [Source:ZFIN%3BAcc:ZDB-GENE-081104-397]	chr8	4981620	5004905	1	13	12	5	4	-0.0355555555555556	0.605911330049261	13	12	3	1	-0.23	0.590184293023248	1	1	0.962108904873034	0.194444444444444	0.597280593325093
Group_1003_3	6210	lonrf3	LON peptidase N-terminal domain and ring finger 3 [Source:HGNC Symbol%3BAcc:HGNC:21152]	chr2	77286455	77304825	0.439038934217607	22	16	3	5	0.203947368421053	1	22	18	1	1	0.05	0.3067789348649	0.855122513047922	0.976638124323512	1	0.153947368421053	0.546600741656366
