OrthoID	SpGeneId	GeneSymbol	GeneName	chr	start	end	alpha.x	p.x	DoS.x	alpha.y	p.y	DoS.y	alpha.x.1	p.x.1	DoS.x.1	alpha.y.1	p.y.1	DoS.y.1	avgalpha	lowestp	multipliedp	avgDoS
Group_0_121	17775	e4f1	E4F transcription factor 1%2C transcript variant X1	chr6	45124842	45130242	0.885799404170804	3.34065874491805e-05	0.489035087719298	0.725714285714286	0.0888757251915969	0.312039312039312	NA	NA	NA	0.845679012345679	0.109192869037124	0.433544303797468	0.819064234076923	3.34065874491805e-05	3.24197415604766e-07	0.411539567852026
Group_0_122	20254	znf143b	zinc finger protein 143b [Source:ZFIN%3BAcc:ZDB-GENE-040426-1586]	chr8	48761263	48779568	-3.125	0.378737541528239	-0.304878048780488	NA	NA	NA	NA	NA	NA	-3.125	0.378737541528239	-0.304878048780488	-3.125	0.378737541528239	0.143442125362855	-0.304878048780488
Group_0_131	29894	bcl6b	B-cell CLL/lymphoma 6%2C member B%2C transcript variant X1	chr1	33917626	33921778	-0.371428571428571	0.742459408492422	-0.0787878787878787	-1.31111111111111	0.219846736330936	-0.206293706293706	-3.2	0.310148674854557	-0.333333333333333	-2.68181818181818	0.104072398190045	-0.551020408163265	-1.89108946608947	0.104072398190045	0.00526863642549285	-0.292358831644546
Group_0_142	4249	hic1	hypermethylated in cancer 1%2C transcript variant X1	chr7	29154995	29157241	-0.660714285714286	0.519968983178626	-0.0885167464114832	-0.979166666666667	0.311420465150557	-0.120204603580563	NA	NA	NA	NA	NA	NA	-0.819940476190476	0.311420465150557	0.16192898260535	-0.104360674996023
Group_0_143	30312	hic2	hypermethylated in cancer 2	chr19	33021551	33023302	-1.16666666666667	0.587041023573531	-0.116666666666667	-1.16666666666667	0.487860100051751	-0.116666666666667	-2.125	0.410282258064516	-0.195402298850575	NA	NA	NA	-1.48611111111111	0.410282258064516	0.117502332908762	-0.142911877394636
Group_0_145	28180	fezf2	FEZ family zinc finger 2	NORv12scf33741	5482	9474	-1.27272727272727	0.42899517982944	-0.201923076923077	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.27272727272727	0.42899517982944	0.42899517982944	-0.201923076923077
Group_0_147	26632	loc107376145		chr6	61055767	61062243	-0.344444444444445	0.786333661981491	-0.0738095238095239	-2.81818181818182	0.157657703479131	-0.288372093023256	-2	0.610508033000434	-0.25	-1.88	0.612737983437206	-0.239795918367347	-1.76065656565657	0.157657703479131	0.0463754620331029	-0.212994383800032
Group_0_152	31171	loc107378317		chr3	2101802	2102320	-0.5	1	-0.0952380952380952	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.5	1	1	-0.0952380952380952
Group_0_155	2748	loc107376917		chr2	60641747	60653694	0.55	0.23044603125641	0.195555555555556	0.572222222222222	0.225236359428444	0.208924949290061	0.80952380952381	0.282988871224165	0.386363636363636	0.541666666666667	0.328927765890056	0.192118226600985	0.618353174603175	0.225236359428444	0.00483145150043184	0.24574059195256
Group_0_163	20103	znf236	zinc finger protein 236 [Source:ZFIN%3BAcc:ZDB-GENE-041111-195]	chr3	28755261	28864162	0.687782805429864	0.0141811349910803	0.2375	0.355311355311355	0.319151557003167	0.104525862068966	0.65	0.648275087467456	0.216666666666667	0.525641025641026	0.13442521842858	0.162698412698413	0.554683796595561	0.0141811349910803	0.000394410112840508	0.180347735358512
Group_0_164	1000	znf721	zinc finger protein 721	chr19	34631715	34647717	0.568965517241379	0.0114482522159846	0.198795180722892	0.473451327433628	0.354577670359716	0.150562851782364	0.661016949152542	0.110132255778005	0.261494252873563	0.550847457627119	0.0549207369592856	0.190058479532164	0.563570312863667	0.0114482522159846	2.45528246395157e-05	0.200227691227746
Group_0_168	2541	znf319	zinc finger protein 319 [Source:ZFIN%3BAcc:ZDB-GENE-090406-2]	chr4	5915102	5916889	0.87109375	0.0501522447328258	0.267707082833133	NA	NA	NA	0.4	1	0.0941176470588235	NA	NA	NA	0.635546875	0.0501522447328258	0.0501522447328258	0.180912364945978
Group_0_169	22055	loc107379038		chr3	34166026	34171850	0.754901960784314	0.0143015009419849	0.318181818181818	0.458333333333333	0.506330425584668	0.151724137931034	0.122448979591837	1	0.0326086956521739	0.720930232558139	0.0694902154653689	0.294303797468354	0.514153626566906	0.0143015009419849	0.000503198458958177	0.199204612308345
Group_0_178	14323	znf668	zinc finger protein 668 [Source:ZFIN%3BAcc:ZDB-GENE-041001-46]	chr16	18066547	18069674	0.376811594202899	0.70899773919608	0.0984848484848485	0.555555555555556	0.4833647672036	0.151515151515151	0.290909090909091	1	0.0749414519906323	NA	NA	NA	0.407758746889182	0.4833647672036	0.342704527154392	0.108313817330211
Group_0_28	1817	loc107386735		chr12	10779062	10786998	0.628947368421053	0.0650466669941956	0.219770114942529	0.503759398496241	0.238281516915204	0.148888888888889	NA	NA	NA	0.696476964769648	0.193958976081292	0.240862230552952	0.609727910562314	0.0650466669941956	0.00300625133855727	0.20317374479479
Group_0_32	3484	znf526	zinc finger protein 526 [Source:ZFIN%3BAcc:ZDB-GENE-100922-260]	chr14	24766200	24774857	0.435294117647059	0.205391882543109	0.14176245210728	0.588888888888889	0.155524517046339	0.217569786535304	0.78021978021978	0.0778429265997079	0.342995169082126	0.394230769230769	0.433038671760734	0.124317768344451	0.549658388996624	0.0778429265997079	0.001076782464184	0.20666129401729
Group_0_33	3509	znf574	zinc finger protein 574 [Source:ZFIN%3BAcc:ZDB-GENE-100922-259]	chr14	24805650	24832140	0.554195804195804	0.196512030596433	0.185380116959064	0.766666666666667	0.0125508619188236	0.317241379310345	0.63768115942029	0.620114122499984	0.229166666666667	0.632802937576499	0.0663303304543902	0.222365591397849	0.647836641964815	0.0125508619188236	0.000101448698076916	0.238538438583481
Group_0_38	20101	znf407	zinc finger protein 407	chr3	29346397	29565892	-0.406947890818859	0.33414952703424	-0.0847764280175756	-0.956663055254604	0.0907112186031374	-0.165417759460472	-0.69041769041769	0.220456399342629	-0.130092592592593	-0.3125	0.6470917267908	-0.0675675675675675	-0.591632159122788	0.0907112186031374	0.00432404703347769	-0.111963586909552
Group_0_4	8665	ctcf	CCCTC-binding factor (zinc finger protein) [Source:ZFIN%3BAcc:ZDB-GENE-040624-5]	chr8	60808570	60827265	0.503267973856209	0.396064112431153	0.130952380952381	0.473684210526316	0.712007880561015	0.122033898305085	0.568421052631579	0.488566238469898	0.15	0.323308270676692	1	0.0746527777777778	0.467170376922699	0.396064112431153	0.137776055082187	0.119409764258811
Group_0_6	31371	prdm15	PR domain 15%2C transcript variant X3	chr15	10365354	10393999	0.53921568627451	0.204535627700981	0.169753086419753	0.0984848484848485	1	0.024904214559387	0.081081081081081	1	0.0204545454545454	0.459558823529412	0.51798693434875	0.136911281489595	0.294585109842463	0.204535627700981	0.105946782757928	0.0880057819808201
Group_0_60	1280	znf648	zinc finger protein 648 [Source:ZFIN%3BAcc:ZDB-GENE-120215-149]	chr16	45483371	45503970	-0.310924369747899	0.752799186314429	-0.0661896243291593	-0.371428571428571	0.765874590184647	-0.0787878787878788	NA	NA	NA	-2.29411764705882	0.147683688860159	-0.288888888888889	-0.992156862745097	0.147683688860159	0.0851469965954759	-0.144622130668642
Group_0_62	21600	znf408	zinc finger protein 408 [Source:ZFIN%3BAcc:ZDB-GENE-130530-589]	chr9	36569085	36596075	0.648148148148148	0.26924465211476	0.236486486486487	NA	NA	NA	0.518518518518519	0.637127578304049	0.180645161290323	0.4	0.696837600063407	0.125	0.522222222222222	0.26924465211476	0.119537747038021	0.180710549258937
Group_0_64	26151	loc107374395		chr10	19920050	19940867	0.333333333333333	0.768259656263672	0.0833333333333333	NA	NA	NA	0.5	1	0.133333333333333	NA	NA	NA	0.416666666666667	0.768259656263672	0.768259656263672	0.108333333333333
