OrthoID	SpGeneId	GeneSymbol	GeneName	chr	start	end	alpha	p	dN	dS	pN	pS	DoS
Group_7938_0	14409	ctc1	CTS telomere maintenance complex component 1 [Source:ZFIN%3BAcc:ZDB-GENE-061103-271]	chr1	307206	462262	0.813333333333333	0.0534066704402823	50	28	2	6	0.391025641025641
Group_1122_1	14413	camta2	calmodulin binding transcription activator 2 [Source:HGNC Symbol%3BAcc:HGNC:18807]	chr1	937520	983667	-2.6	0.549294041650005	20	36	2	1	-0.309523809523809
Group_1088_2	14420	loc107376790		chr1	1159937	1180028	0.604395604395604	0.219203839232871	14	18	4	13	0.202205882352941
Group_141_12	19265	olgc8	Oryzias latipes membrane guanylyl cyclase (olgc8)%2C mRNA. [Source:RefSeq mRNA%3BAcc:NM_001104651]	chr1	2028162	2041629	0.342857142857143	1	5	23	1	7	0.0535714285714286
Group_60_28	20815	cyp17a2	uncharacterized protein LOC100702216  [Source:RefSeq peptide%3BAcc:NP_001266387]	chr1	2364017	2368736	-1.66666666666667	0.576418242491657	12	16	2	1	-0.238095238095238
Group_2978_0	20807	si:ch73-290k24.5	si:ch73-290k24.5 [Source:ZFIN%3BAcc:ZDB-GENE-110411-284]	chr1	2381776	2393978	0.181818181818182	1	22	18	6	6	0.05
Group_1440_2	17832	zgc:101853	zgc:101853 [Source:ZFIN%3BAcc:ZDB-GENE-041212-13]	chr1	2504645	2506471	0.407407407407407	1	9	16	1	3	0.11
Group_4759_0	17831	wdr55	WD repeat domain 55	chr1	2607946	2613938	-0.428571428571429	0.444444444444444	7	10	1	0	-0.588235294117647
Group_766_0-Group_766_4	951	psip1	PC4 and SFRS1 interacting protein 1%2C transcript variant X1	chr1	2617552	2633557	0.296875	0.564109110295913	64	27	10	6	0.0782967032967034
Group_199_10	950	zgc:158659	zgc:158659 [Source:ZFIN%3BAcc:ZDB-GENE-070112-492]	chr1	2644917	2675101	0.2	1	6	24	1	5	0.0333333333333334
Group_8128_0	17825	si:ch73-132f6.5	si:ch73-132f6.5 [Source:ZFIN%3BAcc:ZDB-GENE-030131-9581]	chr1	2884037	2904321	0.52	0.477409647615105	10	16	3	10	0.153846153846154
Group_1423_1	17823	loc107396751		chr1	2908813	2911816	-1	0.428571428571429	2	4	1	0	-0.666666666666667
Group_1423_3	17822	zgc:194355	zgc:194355 [Source:ZFIN%3BAcc:ZDB-GENE-081022-106]	chr1	2913381	2915373	0	1	3	3	2	2	0
Group_407_3	17821	rbm46	RNA binding motif protein 46	chr1	2920023	2942032	-0.0833333333333333	1	6	13	1	2	-0.0175438596491228
Group_73_8	17819	npy2rl	neuropeptide Y receptor Y2%2C like [Source:ZFIN%3BAcc:ZDB-GENE-111115-4]	chr1	3047301	3053481	-1	1	1	2	1	1	-0.166666666666667
Group_157_2	9905	slc4a11	solute carrier family 4%2C sodium borate transporter%2C member 11 [Source:ZFIN%3BAcc:ZDB-GENE-090313-183]	chr1	3698351	3865632	-6.55555555555556	0.133746490809895	9	17	4	1	-0.453846153846154
Group_32_10	9902	fgb	fibrinogen beta chain	chr1	4159110	4165368	0.857142857142857	0.138981791155704	14	8	1	4	0.436363636363636
Group_634_3	9906	trim2b	tripartite motif containing 2b [Source:ZFIN%3BAcc:ZDB-GENE-090312-70]	chr1	4297731	4304065	-0.666666666666667	0.627850410459106	6	15	2	3	-0.114285714285714
Group_1160_2	10967	lgals2b	lectin%2C galactoside-binding%2C soluble%2C 2b [Source:ZFIN%3BAcc:ZDB-GENE-040426-1590]	chr1	4518905	4520484	-0.333333333333333	1	1	4	1	3	-0.05
Group_1056_3	10961	gtpbp1	GTP binding protein 1 [Source:HGNC Symbol%3BAcc:HGNC:4669]	chr1	4522678	4533793	0.644444444444444	0.634208950115513	9	16	1	5	0.193333333333333
Group_273_4	30464	si:ch73-106g13.1	si:ch73-106g13.1 [Source:ZFIN%3BAcc:ZDB-GENE-110408-58]	chr1	5256149	5261156	0.272727272727273	1	11	8	3	3	0.0789473684210527
Group_1040_2	10999	arfip1	ADP-ribosylation factor interacting protein 1 (arfaptin 1) [Source:ZFIN%3BAcc:ZDB-GENE-040426-2690]	chr1	5321537	5335968	-2.25	0.543859649122807	4	13	2	2	-0.264705882352941
Group_1097_2	10976	loc107376814		chr1	5339139	5356606	0.476190476190476	0.649736423730232	21	11	3	3	0.15625
Group_2477_1	10979	ifi30	interferon%2C gamma-inducible protein 30 [Source:ZFIN%3BAcc:ZDB-GENE-030131-8447]	chr1	5491167	5501512	0.833333333333333	0.265734265734266	6	3	1	3	0.416666666666667
Group_2894_0	10982	si:ch211-149b19.3	si:ch211-149b19.3 [Source:ZFIN%3BAcc:ZDB-GENE-110411-37]	chr1	5736581	5745414	0.9	0.118881118881119	6	3	1	5	0.5
Group_317_3	10983	abcg2a	ATP-binding cassette%2C sub-family G (WHITE)%2C member 2a [Source:ZFIN%3BAcc:ZDB-GENE-050517-35]	chr1	5761153	5782276	-0.733333333333333	0.621385479509049	3	13	2	5	-0.0982142857142857
Group_19_40	11001	cdkl2	cyclin dependent kinase like 2 [Source:HGNC Symbol%3BAcc:HGNC:1782]	chr1	5813317	5815953	-5	0.266798418972332	7	14	3	1	-0.416666666666667
Group_67_27	1593	fbxw7	F-box and WD repeat domain containing 7 [Source:HGNC Symbol%3BAcc:HGNC:16712]	chr1	6104196	6113074	-0.833333333333333	0.612616099071208	4	11	2	3	-0.133333333333333
Group_2757_1	11005	otud4	OTU deubiquitinase 4	chr1	6188106	6207119	0.5	0.602234243743678	34	17	2	2	0.166666666666667
Group_377_5	30462	ednrab	endothelin receptor type Ab [Source:ZFIN%3BAcc:ZDB-GENE-040426-2364]	chr1	6265968	6271593	0.633333333333333	0.382801878630577	15	11	2	4	0.243589743589744
Group_4268_0	30465	rfwd3	ring finger and WD repeat domain 3	chr1	6801480	6829760	-0.105263157894737	1	19	21	1	1	-0.025
Group_306_3	5762	trpc5a	transient receptor potential cation channel%2C subfamily C%2C member 5a [Source:ZFIN%3BAcc:ZDB-GENE-040812-1]	chr1	7007555	7128529	0.0285714285714286	1	5	17	2	7	0.00505050505050506
Group_1329_1	5113	loc107376899		chr1	7797211	7810493	0.223376623376623	0.651035975947802	77	26	23	10	0.0506031185642836
Group_339_2	5115	dysf	dysferlin%2C transcript variant X1	chr1	7984480	8096182	0.194373401534527	0.802085045065315	23	45	7	17	0.0465686274509804
Group_4734_0	5116	tkfc	triokinase and FMN cyclase	chr1	8562457	8571153	0.611111111111111	0.633363737711564	6	14	1	6	0.157142857142857
Group_3795_1	5117	si:dkey-9k7.3	si:dkey-9k7.3 [Source:ZFIN%3BAcc:ZDB-GENE-160728-12]	chr1	8571263	8590944	0.357142857142857	0.68801848668367	14	12	3	4	0.10989010989011
Group_2093_0	15035	gigyf1	GRB10 interacting GYF protein 1%2C transcript variant X1	chr1	8828637	8841817	0.423076923076923	0.672173627262615	13	15	2	4	0.130952380952381
Group_4563_0	15036	wrap53	WD repeat containing%2C antisense to TP53	chr1	8851629	8863103	0.481481481481482	1	9	14	1	3	0.141304347826087
Group_923_2	15037	efnb3a	ephrin-B3a [Source:ZFIN%3BAcc:ZDB-GENE-100316-1]	chr1	8903454	9014288	-1	1	1	8	1	4	-0.0888888888888889
Group_1096_0	30705	kdm6ba	lysine (K)-specific demethylase 6B%2C a [Source:ZFIN%3BAcc:ZDB-GENE-091005-1]	chr1	9890506	9899628	0.420118343195266	0.442848436719512	39	49	6	13	0.127392344497608
Group_2151_1	15050	tdrd7	tudor domain containing 7 [Source:HGNC Symbol%3BAcc:HGNC:30831]	chr1	9923651	9956098	0.411764705882353	0.401833128718048	17	20	6	12	0.126126126126126
Group_1941_0	15041	dctn1a	dynactin 1a [Source:ZFIN%3BAcc:ZDB-GENE-070117-2205]	chr1	9962813	9979669	0.45	0.709781128516196	12	33	2	10	0.1
Group_2543_1	1484	rpgrip1	retinitis pigmentosa GTPase regulator interacting protein 1 [Source:ZFIN%3BAcc:ZDB-GENE-091204-394]	chr1	9987603	10007177	0.428571428571429	0.508439030294056	28	16	6	6	0.136363636363636
Group_5_44	15052	ct573322.1	unknown	chr1	10017841	10024791	-1.30769230769231	0.623931623931624	13	10	3	1	-0.184782608695652
Group_6173_0	15044	mrpl48	mitochondrial ribosomal protein L48	chr1	10309942	10321394	0.8125	0.352380952380952	16	3	1	1	0.342105263157895
Group_4566_0	15059	amfr	autocrine motility factor receptor%2C E3 ubiquitin protein ligase%2C transcript variant X2	chr1	10489201	10515278	-0.295454545454545	1	11	19	3	4	-0.0619047619047619
Group_47_25	20334	sema4f	ssemaphorin 4F [Source:HGNC Symbol%3BAcc:HGNC:10734]	chr1	10567130	10683017	0.61	0.398648997060795	25	13	3	4	0.229323308270677
Group_4042_0	20331	nagk	N-acetylglucosamine kinase	chr1	10872779	10876054	-3.66666666666667	0.151515151515152	3	7	2	0	-0.7
Group_507_2	20332	si:cabz01007807.1	si:cabz01007807.1 [Source:ZFIN%3BAcc:ZDB-GENE-160728-149]	chr1	10876802	10932734	0.35632183908046	0.54287033075289	58	32	7	6	0.105982905982906
Group_105_8	26678	arhgef40	Rho guanine nucleotide exchange factor (GEF) 40 [Source:ZFIN%3BAcc:ZDB-GENE-110623-2]	chr1	11136239	11163058	0	1	33	33	6	6	0
Group_866_1	26679	znf219	zinc finger protein 219 [Source:ZFIN%3BAcc:ZDB-GENE-110623-1]	chr1	11163062	11212531	0.615384615384615	0.619945245931896	26	30	1	3	0.214285714285714
Group_5_27	26682	btr12	bloodthirsty-related gene family%2C member 12 [Source:ZFIN%3BAcc:ZDB-GENE-060929-548]	chr1	11300387	11315313	0	1	6	3	4	2	0
Group_5_30	26683	si:dkey-46i9.6	si:dkey-46i9.6 [Source:ZFIN%3BAcc:ZDB-GENE-160114-63]	chr1	11325158	11329765	-0.0476190476190477	1	7	11	4	6	-0.0111111111111111
Group_1040_3	26692	arfip1	ADP ribosylation factor interacting protein 1%2C transcript variant X1	chr1	11417092	11436273	-0.037037037037037	1	9	14	2	3	-0.00869565217391305
Group_67_19	31448	plrg1	pleiotropic regulator 1	chr1	11597093	11610013	-4	0.210526315789474	3	15	1	0	-0.833333333333333
