OrthoID	SpGeneId	GeneSymbol	GeneName	chr	start	end
Group_360_1	007174	mipb	major intrinsic protein of lens fiber b [Source:ZFIN%3BAcc:ZDB-GENE-050706-86]	chr13	33755782	33756829
Group_57_0	007189	rho	rhodopsin [Source:ZFIN%3BAcc:ZDB-GENE-990415-271]	chr13	33355475	33388717
Group_189_4	007195	brpf1	bromodomain and PHD finger containing 1	chr13	32927318	32940574
Group_5896_0	029881	zgc:194312	zgc:194312 [Source:ZFIN%3BAcc:ZDB-GENE-081022-102]	chr1	33592989	33596885
Group_240_0	029887	acadvl	acyl-CoA dehydrogenase%2C very long chain	chr1	33600585	33626247
Group_5046_0	031879	daxx	death-domain associated protein	chr12	15278876	15284056
Group_5061_0	031941	ccdc58	coiled-coil domain containing 58	chr10	14472961	14475405
Group_0_86	000018	zbtb47a	zinc finger and BTB domain containing 47a [Source:ZFIN%3BAcc:ZDB-GENE-081104-121]	chr10	14637075	14643559
Group_7751_0	028079	siva1	SIVA1 apoptosis inducing factor	chr18	29474644	29476934
Group_1376_2	028080	adssl1	adenylosuccinate synthase like 1	chr18	29469425	29473636
Group_3221_0	028090	katnbl1	katanin p80 subunit B-like 1 [Source:ZFIN%3BAcc:ZDB-GENE-030131-4155]	chr18	28888129	28894611
Group_566_0	008847	ttc39a	tetratricopeptide repeat domain 39A%2C transcript variant X1	chr17	11229074	11254069
Group_4779_0	009260	cdan1	codanin 1 [Source:ZFIN%3BAcc:ZDB-GENE-110411-280]	chr18	19482969	19503774
Group_16_25	009256	pak2a	p21 protein (Cdc42/Rac)-activated kinase 2a [Source:ZFIN%3BAcc:ZDB-GENE-021011-2]	chr18	19583917	19595218
Group_1128_0	012028	atxn1b	ataxin 1b [Source:ZFIN%3BAcc:ZDB-GENE-061218-2]	chr3	54238934	54241529
Group_10_58	031859	gpr20	G protein-coupled receptor 20 [Source:HGNC Symbol%3BAcc:HGNC:4475]	chr3	53874107	53879449
Group_5450_0	012063	frrs1l	ferric chelate reductase 1 like	chr3	53464837	53519487
Group_112_11	000049	epb41l4b	erythrocyte membrane protein band 4.1 like 4B [Source:HGNC Symbol%3BAcc:HGNC:19818]	chr3	52734567	52762803
Group_0_74	017042	znf710b	zinc finger protein 710b [Source:ZFIN%3BAcc:ZDB-GENE-120503-2]	chr11	10753708	10793816
Group_1677_2	017045	idh2	isocitrate dehydrogenase (NADP(+)) 2%2C mitochondrial [Source:HGNC Symbol%3BAcc:HGNC:5383]	chr11	10796750	10800402
Group_2607_0	017046	tmed3	transmembrane p24 trafficking protein 3 [Source:ZFIN%3BAcc:ZDB-GENE-030131-8335]	chr11	10802010	10802466
Group_122_8	017043	si:ch211-107o10.3	si:ch211-107o10.3 [Source:ZFIN%3BAcc:ZDB-GENE-030131-4716]	chr11	10804468	10806476
Group_4649_0	032011	ercc5	excision repair cross-complementation group 5	chr11	37689936	37697374
Group_40_5	013775	hoxb1a	homeobox B1a [Source:ZFIN%3BAcc:ZDB-GENE-990415-101]	chr18	9104082	9105790
Group_40_25	013776	hoxa2b	homeobox A2b [Source:ZFIN%3BAcc:ZDB-GENE-990415-98]	chr18	9131732	9134091
Group_40_20	013777	hoxb3a	homeobox B3a [Source:ZFIN%3BAcc:ZDB-GENE-990415-104]	chr18	9139671	9155322
Group_1554_0	018897	gdf11	growth differentiation factor 11 [Source:ZFIN%3BAcc:ZDB-GENE-040427-2]	chr14	13898794	13914160
Group_19_10	021836	mapk15	mitogen-activated protein kinase 15%2C transcript variant X1	chr1	43894267	43903582
Group_105_14	021902	plekhg1	pleckstrin homology and RhoGEF domain containing G1%2C transcript variant X1	chr1	45423390	45456498
Group_5911_1	005596	mgat3a	mannosyl (beta-1%2C4-)-glycoprotein beta-1%2C4-N-acetylglucosaminyltransferase a [Source:ZFIN%3BAcc:ZDB-GENE-050522-249]	chr8	6115436	6207780
Group_7112_0	005615	ncf4	neutrophil cytosolic factor 4	chr8	5773878	5781654
Group_200_2	031720	bnipl	BCL2 interacting protein like [Source:HGNC Symbol%3BAcc:HGNC:16976]	chr12	6516149	6529672
Group_1567_2	031722	rfx5	regulatory factor X5	chr12	6498878	6503278
Group_192_15	017889	oxtrl	oxytocin receptor like [Source:ZFIN%3BAcc:ZDB-GENE-110805-1]	chr14	28958300	28972352
Group_1721_2	032108	necap2	NECAP endocytosis associated 2 [Source:ZFIN%3BAcc:ZDB-GENE-050522-67]	chr14	9296493	9311234
Group_5086_0	000094	sgut1	SGT1 homolog%2C MIS12 kinetochore complex assembly cochaperone [Source:ZFIN%3BAcc:ZDB-GENE-041114-56]	chr5	48914354	48976257
Group_7174_0	017282	mest	mesoderm specific transcript	chr2	16483752	16484156
Group_1581_2	019174	popdc3	popeye domain containing 3	chr3	32897387	32902195
Group_279_1	027060	sim1a	single-minded family bHLH transcription factor 1a [Source:ZFIN%3BAcc:ZDB-GENE-020829-1]	chr3	31158011	31377303
Group_7370_0	027062	fbl	fibrillarin	chr3	31542377	31551611
Group_2760_1	027085	pi4kb	phosphatidylinositol 4-kinase%2C catalytic%2C beta [Source:ZFIN%3BAcc:ZDB-GENE-061013-96]	chr3	31929037	31943698
Group_130_4	010542	ppid	peptidylprolyl isomerase D	chr2	49044337	49055768
Group_5248_0	030154	alpk1	alpha kinase 1%2C transcript variant X1	chr14	57205288	57238955
Group_89_20	010482	kcnj16	potassium voltage-gated channel subfamily J member 16 [Source:HGNC Symbol%3BAcc:HGNC:6262]	chr15	42646392	42647519
Group_6111_0	003973	scly	selenocysteine lyase	chr8	11712418	11716073
Group_4654_1	003987	pmchl	pro-melanin-concentrating hormone%2C like [Source:ZFIN%3BAcc:ZDB-GENE-030131-7863]	chr8	10459740	10477636
