Human gene stable ID	Protein stable ID
	
ENSG00000198888	ENSDARP00000087869
ENSG00000198763	ENSDARP00000087870
ENSG00000198804	ENSDARP00000087871
ENSG00000198712	ENSDARP00000087872
	ENSDARP00000087873
ENSG00000198899	ENSDARP00000087874
ENSG00000198938	ENSDARP00000087875
ENSG00000198840	ENSDARP00000087876
ENSG00000212907	ENSDARP00000087877
ENSG00000198886	ENSDARP00000087878
ENSG00000198786	ENSDARP00000087879
ENSG00000198695	ENSDARP00000087880
ENSG00000198727	ENSDARP00000087881
ENSG00000275948	
ENSG00000271982	
ENSG00000212615	
ENSG00000239690	
ENSG00000277947	
ENSG00000199927	
ENSG00000277492	
ENSG00000201541	
ENSG00000202059	
ENSG00000199405	
ENSG00000206834	
ENSG00000207407	
ENSG00000201847	
ENSG00000212195	
ENSG00000223088	
ENSG00000277027	
ENSG00000207411	
ENSG00000199716	
ENSG00000223080	
ENSG00000199471	
ENSG00000202382	
ENSG00000202151	
ENSG00000251779	
ENSG00000252098	
ENSG00000199755	
ENSG00000238777	
ENSG00000251745	
ENSG00000252178	
ENSG00000238962	
ENSG00000251747	
ENSG00000275108	
ENSG00000252469	
ENSG00000238789	
ENSG00000252548	
ENSG00000252597	
ENSG00000275268	
ENSG00000251868	
ENSG00000252057	
ENSG00000252700	
ENSG00000238842	
ENSG00000239115	
ENSG00000252429	
ENSG00000275635	
ENSG00000238924	
ENSG00000253043	
ENSG00000251919	
ENSG00000238987	
ENSG00000238417	
ENSG00000238374	
ENSG00000238441	
ENSG00000251914	
ENSG00000252749	
ENSG00000252532	
ENSG00000238406	
ENSG00000251981	
ENSG00000238880	
ENSG00000252003	
ENSG00000239151	
ENSG00000238735	
ENSG00000238457	
ENSG00000238357	
ENSG00000238562	
ENSG00000252413	
ENSG00000200259	
ENSG00000200530	
ENSG00000212413	
ENSG00000274978	
ENSG00000212518	
ENSG00000212429	
ENSG00000212451	
ENSG00000252707	
ENSG00000202339	
ENSG00000199920	
ENSG00000202538	
ENSG00000222750	
ENSG00000200062	
ENSG00000201821	
ENSG00000222795	
ENSG00000201609	
ENSG00000200034	
ENSG00000202157	
ENSG00000200785	
ENSG00000199436	
ENSG00000207008	
ENSG00000252192	
ENSG00000202231	
ENSG00000277184	
ENSG00000206897	
ENSG00000199282	
ENSG00000206775	
ENSG00000212377	
ENSG00000212270	
ENSG00000201209	
ENSG00000202440	
ENSG00000238649	
ENSG00000238423	
ENSG00000223004	
ENSG00000201544	
ENSG00000201467	
ENSG00000212293	
ENSG00000280498	
ENSG00000221639	
ENSG00000221148	
ENSG00000212607	
ENSG00000221093	
ENSG00000221719	
ENSG00000281910	
ENSG00000201816	
ENSG00000200087	
ENSG00000199977	
ENSG00000222145	
ENSG00000199212	
ENSG00000201348	
ENSG00000200084	
ENSG00000272253	
ENSG00000199874	
ENSG00000199354	
ENSG00000199426	
ENSG00000202528	
ENSG00000201135	
ENSG00000201852	
ENSG00000202070	
ENSG00000283313	
ENSG00000252556	
ENSG00000252186	
ENSG00000252688	
ENSG00000201308	
ENSG00000200917	
ENSG00000005156	ENSDARP00000068915
ENSG00000005156	ENSDARP00000139641
	ENSDARP00000133917
	ENSDARP00000141923
	ENSDARP00000139916
ENSG00000164463	ENSDARP00000133956
	ENSDARP00000130731
ENSG00000100330	ENSDARP00000136452
ENSG00000115290	ENSDARP00000089458
	ENSDARP00000132913
ENSG00000131188	ENSDARP00000104769
ENSG00000109381	ENSDARP00000094160
ENSG00000109381	ENSDARP00000019238
	ENSDARP00000003450
	ENSDARP00000122265
ENSG00000169184	ENSDARP00000100417
ENSG00000103197	ENSDARP00000131915
ENSG00000103197	ENSDARP00000143378
ENSG00000169758	ENSDARP00000135049
ENSG00000137216	ENSDARP00000134798
ENSG00000172992	ENSDARP00000082563
	ENSDARP00000105796
	ENSDARP00000076115
	ENSDARP00000144189
ENSG00000160584	ENSDARP00000106696
	ENSDARP00000139356
	ENSDARP00000097978
	ENSDARP00000134915
	ENSDARP00000061676
