OrthoID	SpGeneId	GeneSymbol	GeneName	chr	start	end	alpha	p	dN	dS	pN	pS	DoS
Group_7938_0	14409	ctc1	CTS telomere maintenance complex component 1 [Source:ZFIN%3BAcc:ZDB-GENE-061103-271]	chr1	307206	462262	0.306122448979592	0.568599869246817	49	34	7	7	0.0903614457831325
Group_249_7	14418	slc25a11	solute carrier family 25 member 11	chr1	1054206	1072083	-6.5	0.298245614035088	2	15	1	1	-0.382352941176471
Group_1088_2	14420	loc107376790		chr1	1159937	1180028	-0.740740740740741	0.381857841493066	21	47	7	9	-0.128676470588235
Group_141_12	19265	olgc8	Oryzias latipes membrane guanylyl cyclase (olgc8)%2C mRNA. [Source:RefSeq mRNA%3BAcc:NM_001104651]	chr1	2028162	2041629	-2	0.451748251748252	16	48	1	1	-0.25
Group_5098_1	20804	mrps7	mitochondrial ribosomal protein S7	chr1	2174793	2178648	0.0833333333333334	1	12	11	1	0	-0.478260869565217
Group_60_28	20815	cyp17a2	uncharacterized protein LOC100702216  [Source:RefSeq peptide%3BAcc:NP_001266387]	chr1	2364017	2368736	-0.157894736842105	1	19	33	2	3	-0.0346153846153847
Group_2978_0	20807	si:ch73-290k24.5	si:ch73-290k24.5 [Source:ZFIN%3BAcc:ZDB-GENE-110411-284]	chr1	2381776	2393978	-1.68571428571429	0.19104991394148	35	47	2	0	-0.573170731707317
Group_199_10	950	zgc:158659	zgc:158659 [Source:ZFIN%3BAcc:ZDB-GENE-070112-492]	chr1	2644917	2675101	-1.25	0.451849667165983	5	45	1	4	-0.1
Group_8128_0	17825	si:ch73-132f6.5	si:ch73-132f6.5 [Source:ZFIN%3BAcc:ZDB-GENE-030131-9581]	chr1	2884037	2904321	-2.76923076923077	0.291497975708502	26	49	2	1	-0.32
Group_1423_1	17823	loc107396751		chr1	2908813	2911816	-1.72727272727273	0.206349206349206	11	15	2	0	-0.576923076923077
Group_1423_3	17822	zgc:194355	zgc:194355 [Source:ZFIN%3BAcc:ZDB-GENE-081022-106]	chr1	2913381	2915373	-0.777777777777778	0.384615384615385	9	16	1	0	-0.64
Group_73_8	17819	npy2rl	neuropeptide Y receptor Y2%2C like [Source:ZFIN%3BAcc:ZDB-GENE-111115-4]	chr1	3047301	3053481	-9.5	0.076555023923445	4	14	3	1	-0.527777777777778
Group_157_2	9905	slc4a11	solute carrier family 4%2C sodium borate transporter%2C member 11 [Source:ZFIN%3BAcc:ZDB-GENE-090313-183]	chr1	3698351	3865632	-8.17647058823529	0.00461617072595558	17	39	8	2	-0.496428571428571
Group_3109_1	9910	tmem236	transmembrane protein 236	chr1	3933214	3936958	-2.85714285714286	0.132890365448505	14	27	2	0	-0.658536585365854
Group_32_10	9902	fgb	fibrinogen beta chain	chr1	4159110	4165368	-0.5	1	18	27	1	1	-0.1
Group_2749_0	9898	rnf175	ring finger protein 175 [Source:ZFIN%3BAcc:ZDB-GENE-040426-1104]	chr1	4265444	4274910	-0.5	1	6	9	2	2	-0.1
Group_1056_3	10961	gtpbp1	GTP binding protein 1 [Source:HGNC Symbol%3BAcc:HGNC:4669]	chr1	4522678	4533793	-0.230769230769231	0.457627118644068	26	32	1	0	-0.551724137931034
Group_273_4	30464	si:ch73-106g13.1	si:ch73-106g13.1 [Source:ZFIN%3BAcc:ZDB-GENE-110408-58]	chr1	5256149	5261156	0.0131578947368421	1	19	25	3	4	0.00324675324675328
Group_1097_2	10976	loc107376814		chr1	5339139	5356606	-0.0648148148148149	1	36	46	5	6	-0.0155210643015521
Group_925_0	30459	rnf150b	ring finger protein 150b [Source:ZFIN%3BAcc:ZDB-GENE-050417-470]	chr1	5695963	5718338	-0.6	1	5	16	1	2	-0.0952380952380952
Group_2894_0	10982	si:ch211-149b19.3	si:ch211-149b19.3 [Source:ZFIN%3BAcc:ZDB-GENE-110411-37]	chr1	5736581	5745414	-3.84615384615385	0.072072072072072	13	21	3	0	-0.617647058823529
Group_317_3	10983	abcg2a	ATP-binding cassette%2C sub-family G (WHITE)%2C member 2a [Source:ZFIN%3BAcc:ZDB-GENE-050517-35]	chr1	5761153	5782276	0.58	0.64631122719358	10	21	1	5	0.155913978494624
Group_12_47	10985	tec	tec protein tyrosine kinase	chr1	5863471	5900813	0.822222222222222	0.19364448857994	27	24	1	5	0.362745098039216
Group_377_5	30462	ednrab	endothelin receptor type Ab [Source:ZFIN%3BAcc:ZDB-GENE-040426-2364]	chr1	6265968	6271593	-2	0.561877667140825	14	21	2	1	-0.266666666666667
Group_2384_1	30466	glg1	golgi glycoprotein 1	chr1	6758866	6792012	-0.40625	0.423076923076923	32	45	1	0	-0.584415584415584
Group_306_3	5762	trpc5a	transient receptor potential cation channel%2C subfamily C%2C member 5a [Source:ZFIN%3BAcc:ZDB-GENE-040812-1]	chr1	7007555	7128529	0.355555555555556	1	18	58	1	5	0.0701754385964912
Group_1659_1	4099	tmem55bb	transmembrane protein 55Bb [Source:ZFIN%3BAcc:ZDB-GENE-121214-195]	chr1	7655020	7670015	-0.181818181818182	0.48	11	13	1	0	-0.541666666666667
Group_1329_1	5113	loc107376899		chr1	7797211	7810493	0.0945945945945946	1	148	67	6	3	0.0217054263565892
Group_339_2	5115	dysf	dysferlin%2C transcript variant X1	chr1	7984480	8096182	-3.53508771929825	0.00516643112533506	38	94	11	6	-0.359180035650624
Group_4734_0	5116	tkfc	triokinase and FMN cyclase	chr1	8562457	8571153	-3	0.159772697238007	12	32	3	2	-0.327272727272727
Group_5011_0	15046	pop7	POP7 homolog%2C ribonuclease P/MRP subunit	chr1	8790005	8791834	-2.5	0.263157894736842	4	14	1	0	-0.777777777777778
Group_2093_0	15035	gigyf1	GRB10 interacting GYF protein 1%2C transcript variant X1	chr1	8828637	8841817	0.354166666666667	1	16	31	1	3	0.0904255319148936
Group_4563_0	15036	wrap53	WD repeat containing%2C antisense to TP53	chr1	8851629	8863103	-1.17391304347826	0.60984393757503	23	25	2	1	-0.1875
Group_2151_1	15050	tdrd7	tudor domain containing 7 [Source:HGNC Symbol%3BAcc:HGNC:30831]	chr1	9923651	9956098	-0.121951219512195	1	41	46	6	6	-0.0287356321839081
Group_1941_0	15041	dctn1a	dynactin 1a [Source:ZFIN%3BAcc:ZDB-GENE-070117-2205]	chr1	9962813	9979669	-0.504761904761905	0.723560865998083	35	79	4	6	-0.0929824561403509
Group_2543_1	1484	rpgrip1	retinitis pigmentosa GTPase regulator interacting protein 1 [Source:ZFIN%3BAcc:ZDB-GENE-091204-394]	chr1	9987603	10007177	0.0961538461538461	1	52	47	2	2	0.0252525252525253
Group_5_44	15052	ct573322.1	unknown	chr1	10017841	10024791	-2	0.608621667612025	20	20	3	1	-0.25
Group_5_19	15043	zgc:92594	zgc:92594 [Source:ZFIN%3BAcc:ZDB-GENE-040718-482]	chr1	10295543	10308284	0.490196078431373	1	51	26	1	1	0.162337662337662
Group_6173_0	15044	mrpl48	mitochondrial ribosomal protein L48	chr1	10309942	10321394	-1	0.485057471264368	14	14	2	0	-0.5
Group_4566_0	15059	amfr	autocrine motility factor receptor%2C E3 ubiquitin protein ligase%2C transcript variant X2	chr1	10489201	10515278	-1.13333333333333	0.333333333333333	15	32	1	0	-0.680851063829787
